idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
32,1,32,170247.0,5.45,-1.139,-1.139,0.224,14.0,15.0,-1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.171,1.171,0.354,20.5,13.581,38.40067251942826,-0.9203516138279579,38.413000000000004,5.6973740517300175,-0.11327473095745749,5.6985,0.0005176110267386891,38.40121935882399,0.38726437930444585,-0.8972451130713334,0.8972451130713334,balanced
33,1,33,170452.0,5.655,-1.104,-1.104,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.40067251942826,-0.9203516138279579,38.413000000000004,0.0,-0.0,0.0,0.0,38.40121935882399,0.38726437930444585,-0.8972451130713334,0.8972451130713334,balanced
34,1,34,170453.0,5.656,-1.104,-1.104,0.206,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.139,1.139,0.349,20.0,13.332,38.415669734970024,-0.9206406224678161,38.428000000000004,0.014997215541762655,-0.00028900863985813116,0.015,0.0,38.41621674555216,0.3874156232951172,-0.8975250975806255,0.8975250975806255,balanced
35,1,35,170801.0,6.004,-1.211,-1.211,-0.053,14.0,15.0,-1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.233,1.233,0.424,20.5,13.717,43.460542682580005,-1.0272846212347517,43.474000000000004,5.044872947609979,-0.10664399876693573,5.045999999999999,-0.0003700955805854008,43.4611529493783,0.438292239200188,-1.0011334916626995,1.0011334916626995,balanced
36,1,36,171034.0,6.237,-0.994,-0.994,0.292,15.0,14.0,1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.211,1.211,0.406,20.5,13.774,46.83853427673021,-1.085893834252586,46.852500000000006,3.3779915941502034,-0.05860921301783417,3.3785000000000003,0.0011210195284379744,46.83917919815992,0.47235858553895177,-1.0577100993946256,1.0577100993946256,balanced
37,1,37,171196.0,6.399,-0.744,-0.744,0.733,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-0.744,0.744,0.197,20.0,13.512,49.268329410308574,-1.117447104113049,49.282500000000006,2.429795133578367,-0.03155326986046294,2.43,0.001795606226331615,49.26899287800464,0.4968625024004953,-1.087801314714788,1.087801314714788,balanced
38,1,38,171384.0,6.587,-0.717,-0.717,0.527,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-0.744,0.744,0.158,20.0,13.557,52.08810860653484,-1.1527356933390833,52.102500000000006,2.819779196226264,-0.03528858922603448,2.82,0.000167105992212223,52.08879279750265,0.5252993094555868,-1.121393188717829,1.121393188717829,balanced
39,1,39,171617.0,6.82,-0.213,-0.21299999999999997,1.099,15.0,14.0,1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-0.717,0.717,0.173,20.5,13.913,55.46658526080962,-1.1652954114992742,55.48100000000001,3.378476654274784,-0.012559718160190768,3.3785000000000003,0.0026036582595978745,55.46727639756111,0.5593702680400372,-1.1319200180596465,1.1319200180596465,balanced
40,1,40,171826.0,7.029,0.083,0.08300000000000002,1.211,16.0,16.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-0.213,0.213,-0.062,19.0,13.063,58.810581752102514,-1.1604512169480439,58.82500000000001,3.3439964912928883,0.004844194551230249,3.344,0.0015449086680332583,58.81126936865105,0.5930933993356065,-1.1250636851379472,1.1250636851379472,balanced
41,1,41,172032.0,7.235,0.306,0.306,1.166,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.083,-0.083,-0.173,20.0,13.712,61.90053768393013,-1.143948509190551,61.915000000000006,3.0899559318276157,0.01650270775749284,3.09,0.0012595741850962314,61.901214811140505,0.6242545401496238,-1.1067017016218845,1.1067017016218845,balanced
42,1,42,172237.0,7.44,0.619,0.619,1.291,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.306,-0.306,-0.241,20.0,13.76,64.97535823249598,-1.1107281221180834,64.99000000000001,3.0748205485658433,0.033220387072467744,3.0749999999999997,0.0017765465231682123,64.97601481379778,0.6552629439033644,-1.071631149033377,1.071631149033377,balanced
43,1,43,172446.0,7.649,0.905,0.905,1.318,15.0,15.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.619,-0.619,-0.359,20.0,13.811,68.10996716617674,-1.061212135924054,68.12500000000001,3.13460893368076,0.049515986194029304,3.135,0.0015922301948018442,68.11059338540878,0.686874195972552,-1.0202290245907732,1.0202290245907732,balanced
