seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,speed_proxy,stiction
1.0,3.0,6.315,6.724,0.409,-12.092,-5.928,6.164000000000001,-8.996333333333334,3.5546666666666664,5.321860514268796,10.0,8.0,2.0,9.0,8.0,1.0,11.0,7.666666666666667,3.3333333333333335,11.0,9.0,9.333333333333334,10.0,9.333333333333334,10.0,1.6666666666666667,1.0,-6.251,-3.902,6.251,3.902,1.547,0.742,15.0,15.5,9.268333333333333,9.605,0.020440781563942384,0.3103257294558595,0.07717095409702762,0.17548456905633136,0.3103257294558595,-0.2331547753588319,0.0,0.8,balanced,high,left_curve,3.647485673919344,-0.48209730879225426,3.6804999999999994,16.341581671934733,-1.0902130601293054,19.989067345854078,-1.5723103689215596,barely_moving,left_faster,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.6601466992665037,0.0
1.0,3.0,6.928,7.342,0.414,-3.121,0.849,3.9699999999999998,-1.101,9.908666666666667,9.909642610440937,10.0,8.333333333333334,1.6666666666666667,10.0,9.0,1.0,9.0,10.333333333333334,-1.3333333333333333,8.0,10.0,9.666666666666666,9.0,9.666666666666666,9.0,-0.6666666666666666,-1.0,1.7076666666666664,4.036,-1.7076666666666664,-4.036,-0.8566666666666666,-1.451,14.833333333333334,14.5,9.281666666666666,9.119,0.02097489218149719,0.10200332361647237,0.357118256078945,0.2183804832158246,0.357118256078945,0.25511493246247263,0.0,0.8,balanced,high,straight,3.827981676713363,-0.004988837803373638,3.8285,19.989067345854078,-1.5723103689215596,23.817049022567442,-1.5772992067249332,barely_moving,left_faster,straight,0.0,4.5,0.15000000000000002,hesitating_straight,1.0,1.0,0.6642512077294687,0.0
1.0,3.0,7.546,7.939,0.393,2.104,0.693,-1.411,1.6026666666666667,5.075,5.828480047719703,8.333333333333334,10.0,-1.6666666666666667,8.0,11.0,-3.0,7.333333333333333,11.333333333333334,-4.0,8.0,12.0,9.333333333333334,10.0,9.333333333333334,10.0,-2.0,-2.0,6.722,7.078,-6.722,-7.078,-1.9923333333333335,-1.955,14.833333333333334,14.5,9.388333333333334,9.226,0.007829180637006905,0.5490313577738825,0.8744881796939683,0.7072241525855495,0.8744881796939683,0.32545682192008585,0.0,0.8,right,high,drift_right,3.6519463609892178,0.07750440869236863,3.653,23.817049022567442,-1.5772992067249332,27.46899538355666,-1.4997947980325645,barely_moving,right_faster,straight,0.0,4.5,0.15000000000000002,hesitating_straight,1.0,1.0,0.6997455470737913,0.0
1.0,3.0,8.143,8.557,0.414,-2.552,-6.786,-4.234,-4.8373333333333335,-6.553666666666667,6.6947193867007355,8.333333333333334,10.333333333333334,-2.0,9.0,11.0,-2.0,9.333333333333334,10.0,-0.6666666666666666,9.0,9.0,9.666666666666666,9.0,9.666666666666666,9.0,-0.3333333333333333,0.0,2.7226666666666666,-0.107,-2.7226666666666666,0.107,-0.47100000000000003,0.404,14.666666666666666,14.0,9.399666666666667,9.037,0.023207229691341615,0.9151581797283754,0.7663447021431765,0.8510746143258118,0.9151581797283754,-0.14881347758519892,0.0,0.8,balanced,high,left_curve,4.014923079847431,-0.4225840169145348,4.0375,27.46899538355666,-1.4997947980325645,31.48391846340409,-1.9223788149470993,barely_moving,right_faster,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.676328502415459,0.0
1.0,4.0,8.701,9.158,0.457,-6.785789,-8.462,-1.6762109999999995,-8.18919725,-6.177219,6.448115614025853,9.0,9.0,0.0,9.0,9.0,0.0,11.0,9.0,2.0,11.0,9.0,10.0,10.0,10.0,10.0,1.0,1.0,-2.702868,-3.919,2.702868,3.919,1.01899325,1.255,15.0,15.0,9.6938195,9.742,0.015853866244405927,0.7010061043715536,0.35977171522715684,0.5606885567321309,0.7010061043715536,-0.3412343891443968,0.0,0.8,balanced,high,left_curve,4.0661254364215615,-0.6189376328345177,4.113,31.48391846340409,-1.9223788149470993,35.55004389982565,-2.5413164477816172,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.787746170678337,0.0
1.0,3.0,9.362,9.771,0.409,-7.441,-3.617,3.824,-5.678333333333334,2.5050000000000003,3.462236415960066,10.333333333333334,8.333333333333334,2.0,10.0,9.0,1.0,10.666666666666666,9.333333333333334,1.3333333333333333,10.0,10.0,10.0,10.0,10.0,10.0,0.6666666666666666,0.0,-2.226,-0.91,2.226,0.91,0.5663333333333334,0.116,14.666666666666666,14.5,9.613999999999999,9.55,0.014680128325927222,0.24624616892399986,0.18535369059275789,0.20249051044279656,0.24624616892399986,-0.06089247833124198,0.0,0.8,balanced,high,left_curve,3.8710852827207187,-0.3246636702631378,3.8854999999999995,35.55004389982565,-2.5413164477816172,39.42112918254637,-2.865980118044755,barely_moving,left_faster,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.6845965770171151,0.0
1.0,3.0,9.936,10.393,0.457,-1.98,-0.335,1.6449999999999998,-0.9433333333333334,6.190333333333332,6.280073486831185,9.666666666666666,9.333333333333334,0.3333333333333333,9.0,9.0,0.0,8.666666666666666,10.666666666666666,-2.0,9.0,11.0,9.666666666666666,10.0,9.666666666666666,10.0,-1.0,-1.0,3.03,4.552,-3.03,-4.552,-1.0403333333333333,-1.425,14.5,15.0,9.617333333333333,9.957,0.010156132850216382,0.24051920158694196,0.49627329852239604,0.3690973201033972,0.49627329852239604,0.2557540969354541,0.0,0.8,balanced,high,straight,4.228876354731986,-0.031650077307074885,4.229000000000001,39.42112918254637,-2.865980118044755,43.65000553727836,-2.8976301953518298,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,1.0,1.0,0.6236323851203501,0.0
1.0,3.0,10.593,11.001,0.408,-0.504,-1.237,-0.7330000000000001,-0.8490000000000001,1.375333333333333,1.7560286633955229,9.666666666666666,9.666666666666666,0.0,10.0,10.0,0.0,8.666666666666666,10.666666666666666,-2.0,8.0,10.0,9.666666666666666,9.0,9.666666666666666,9.0,-1.0,-1.0,4.519333333333333,4.262,-4.519333333333333,-4.262,-1.2266666666666666,-1.085,14.333333333333334,14.0,9.627666666666666,9.463,0.002653206661145766,0.6086893824525772,0.8077928155426467,0.7098791141655044,0.8077928155426467,0.1991034330900695,0.0,0.8,right,high,drift_right,3.9773328273356894,-0.07130124561130691,3.9779999999999998,43.65000553727836,-2.8976301953518298,47.62733836461405,-2.9689314409631367,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,1.0,1.0,0.7107843137254902,0.0
1.0,3.0,11.206,11.575,0.369,-2.11,-3.869,-1.7590000000000003,-2.975,-2.431,2.573195225136769,9.0,10.0,-1.0,10.0,9.0,1.0,9.0,10.333333333333334,-1.3333333333333333,10.0,10.0,9.666666666666666,10.0,9.666666666666666,10.0,-0.6666666666666666,0.0,2.9696666666666665,2.122,-2.9696666666666665,-2.122,-0.6526666666666667,-0.394,14.5,14.5,9.830333333333334,9.861,0.00855227084984258,0.8716829092187396,0.9028600579570226,0.8922217837700778,0.9028600579570226,0.031177148738283034,0.0,0.8,right,high,left_curve,3.397501134940417,-0.2001285728448559,3.4035,47.62733836461405,-2.9689314409631367,51.02483949955447,-3.1690600138079925,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.7723577235772359,0.0
1.0,3.0,11.807,12.22,0.413,-5.02,-5.949,-0.9290000000000003,-5.478666666666666,-3.4563333333333333,3.4811601993205272,10.0,10.333333333333334,-0.3333333333333333,10.0,11.0,-1.0,9.666666666666666,9.666666666666666,0.0,9.0,9.0,9.666666666666666,9.0,9.666666666666666,9.0,0.0,0.0,0.282,-0.4,-0.282,0.4,0.10966666666666668,0.26,13.833333333333334,13.5,9.536666666666667,9.371,0.00543972370715488,0.8573489056863974,0.7233125547600934,0.7935700855288156,0.8573489056863974,-0.13403635092630406,0.0,0.8,balanced,high,left_curve,4.210957437499982,-0.4211230698875612,4.231999999999999,51.02483949955447,-3.1690600138079925,55.235796937054445,-3.5901830836955537,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.738498789346247,0.0
1.0,3.0,12.424,12.794,0.37,-6.374,-7.051,-0.6770000000000005,-6.692333333333333,-2.3973333333333335,2.406057494464059,9.666666666666666,9.333333333333334,0.3333333333333333,11.0,9.0,2.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,-1.258,-1.585,1.258,1.585,0.43133333333333335,0.49,14.5,14.0,10.037999999999998,9.769,0.003559272831882223,0.6395203918714599,0.459993979774082,0.550106987948893,0.6395203918714599,-0.1795264120973779,0.0,0.8,balanced,high,left_curve,3.4701010516689417,-0.41626441078697707,3.495,55.235796937054445,-3.5901830836955537,58.705897988723386,-4.006447494482531,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.7702702702702704,0.0
1.0,3.0,13.026,13.439,0.413,-7.226,-6.146,1.08,-6.688,-0.40599999999999997,1.115694701370705,10.333333333333334,10.333333333333334,0.0,10.0,10.0,0.0,10.333333333333334,9.0,1.3333333333333333,10.0,10.0,9.666666666666666,10.0,9.666666666666666,10.0,0.6666666666666666,0.0,-1.9226666666666665,-1.625,1.9226666666666665,1.625,0.533,0.403,13.666666666666666,14.0,9.642000000000001,9.876,0.0033472680438662986,0.32523125330396085,0.132993171196328,0.22376963711131378,0.32523125330396085,-0.19223808210763285,0.0,0.8,balanced,high,left_curve,4.3116114636618015,-0.486314392295081,4.3389999999999995,58.705897988723386,-4.006447494482531,63.017509452385184,-4.492761886777612,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.7506053268765134,0.0
1.0,3.0,13.644,14.013,0.369,-5.601,-5.021,0.5800000000000001,-5.3053333333333335,1.4749999999999999,1.4754907658131922,10.333333333333334,9.333333333333334,1.0,11.0,10.0,1.0,10.333333333333334,10.333333333333334,0.0,10.0,10.0,10.333333333333334,10.0,10.333333333333334,10.0,0.0,0.0,-0.6126666666666667,-0.226,0.6126666666666667,0.226,0.08766666666666667,-0.017,14.166666666666666,13.5,10.043666666666667,9.673,0.0035107816126080786,0.07809684688848485,-0.005691370075002327,0.0335768587923578,0.07809684688848485,-0.08378821696348718,0.0,0.8,balanced,mild,left_curve,3.757149961239703,-0.33985317460676767,3.7725,63.017509452385184,-4.492761886777612,66.77465941362489,-4.83261506138438,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.7994579945799459,0.0
1.0,3.0,14.245,14.659,0.414,-4.473,-3.594,0.879,-4.0249999999999995,1.9213333333333333,1.9226863152024218,9.666666666666666,10.333333333333334,-0.6666666666666666,9.0,10.0,-1.0,10.333333333333334,10.333333333333334,0.0,11.0,11.0,10.333333333333334,11.0,10.333333333333334,11.0,0.0,0.0,0.5666666666666667,1.06,-0.5666666666666667,-1.06,-0.22266666666666668,-0.351,14.0,14.5,10.046333333333333,10.382,0.0038398827048517995,-0.03022435799845414,-0.02404736093586322,-0.029527621735108565,0.034311146271008335,0.006176997062590919,0.0,0.8,balanced,low,left_curve,4.028558337015438,-0.26816313372005124,4.0375,66.77465941362489,-4.83261506138438,70.80321775064033,-5.100778195104431,barely_moving,balanced,left_arc,1.0,4.5,0.15000000000000002,hesitating_left_arc,1.0,1.0,0.7246376811594203,0.0
