TRK tick=22713 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=22910 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=23107 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=23304 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=23501 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=23698 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=23895 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=24092 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=24289 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=24486 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=24683 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=24880 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
TRK tick=25076 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
OK EXP_STOP
TRK tick=25274 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
TRK tick=25471 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
TRK tick=25668 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
TRK tick=25865 exp_id=11 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.500 lpr=0.500 y=4.761 el=36 er=26 ed=10 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=164 txdrop=0
OK EXP_STREAM
OK STOP
