tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,dl,dr,cl,cr,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
73009,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73009 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
73206,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73206 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
73403,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73403 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
73601,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73601 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
73798,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73798 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
73995,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=73995 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
74192,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=74192 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
74389,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=74389 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
74586,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=74586 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
74783,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=74783 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
