t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
2147,2.1470,2.20,-25.00,-0.1100,5,9,14,4,96,136,1830,1838,925.656,-193.770,1.655,958.077,49.513,0.4938
2151,2.1510,2.20,-47.50,-0.1100,6,11,17,5,2,2,1832,1840,926.702,-193.740,1.655,959.123,49.553,0.2618
2253,2.2530,-1.40,-13.80,-0.1000,6,10,16,4,113,75,1945,1915,975.632,-199.062,-6.207,1008.327,48.351,0.4825
2438,2.4380,5.70,5.00,-0.0900,-2,9,7,11,153,67,2098,1982,1028.249,-222.488,-24.000,1065.638,54.071,0.3113
2438,2.4380,5.70,29.60,-0.1000,-5,9,4,14,92,70,2190,2052,1065.502,-242.759,-28.552,1107.840,58.283,4.2412
2574,2.5740,6.50,51.20,-0.1100,-6,10,4,16,89,134,2279,2186,1120.622,-261.998,-19.241,1165.846,64.892,0.4293
2579,2.5790,6.50,40.90,-0.1200,-5,10,5,15,11,22,2290,2208,1128.886,-264.519,-16.966,1174.430,65.870,1.7279
2693,2.6930,2.90,-12.20,-0.1300,5,10,15,5,64,162,2354,2370,1187.954,-261.102,3.310,1233.521,68.864,0.5190
2811,2.8110,-0.60,-34.90,-0.1200,5,9,14,4,106,116,2460,2486,1245.817,-255.654,5.379,1291.637,68.255,0.4925
2819,2.8190,-0.60,-46.20,-0.1200,5,10,15,5,14,10,2474,2496,1252.081,-255.155,4.552,1297.920,68.189,0.7854
2877,2.8770,-4.20,-26.80,-0.1100,6,11,17,5,55,32,2529,2528,1274.857,-255.237,-0.207,1320.635,66.521,0.3927
3027,3.0270,-3.30,-2.50,-0.0800,4,10,14,6,152,89,2681,2617,1336.273,-269.689,-13.241,1383.624,62.889,0.4206
3027,3.0270,-3.30,13.00,-0.0800,-6,10,4,16,42,23,2723,2640,1352.532,-274.713,-17.172,1400.613,61.910,1.7017
3146,3.1460,0.30,24.70,-0.0700,-6,11,5,17,13,9,2736,2649,1358.009,-276.493,-18.000,1406.372,61.940,0.0484
3146,3.1460,0.30,6.70,-0.0800,-4,10,6,14,102,136,2838,2785,1419.180,-288.345,-10.966,1468.680,62.266,6.2308
3335,3.3350,-2.10,-2.20,-0.0700,2,9,11,7,80,147,2918,2932,1478.532,-285.342,2.897,1528.068,60.088,0.3144
3335,3.3350,-2.10,-13.60,-0.0700,5,9,14,4,79,83,2997,3015,1520.854,-282.588,3.724,1570.451,58.534,4.2412
3464,3.4640,-2.40,-22.10,-0.0600,5,9,14,4,126,87,3123,3102,1576.457,-286.812,-4.345,1626.166,56.199,0.4323
3472,3.4720,-2.40,-24.20,-0.0500,5,10,15,5,7,3,3130,3105,1579.065,-287.048,-5.172,1628.781,56.090,0.3272
3582,3.5820,1.20,9.00,-0.0600,-5,10,5,15,139,55,3269,3160,1625.970,-306.527,-22.552,1679.559,57.153,0.4617
3705,3.7050,4.50,25.80,-0.0700,-5,9,4,14,110,125,3379,3285,1683.983,-327.011,-19.448,1740.892,61.980,0.5002
3709,3.7090,4.50,38.80,-0.0700,-6,10,4,16,12,19,3391,3304,1691.701,-329.519,-18.000,1748.983,62.617,2.0289
3795,3.7950,5.70,9.50,-0.0900,-6,10,4,16,49,102,3440,3406,1730.935,-334.360,-7.034,1788.319,66.543,0.4597
3989,3.9890,-4.70,-10.10,-0.1000,5,9,14,4,59,160,3499,3566,1786.600,-320.624,13.862,1845.461,61.845,0.2955
3989,3.9890,-4.70,-33.90,-0.0900,5,9,14,4,78,85,3577,3651,1827.758,-309.356,15.310,1887.991,58.349,4.2673
4187,4.1870,-1.20,-51.80,-0.0800,5,10,15,5,120,78,3697,3729,1879.249,-303.380,6.621,1939.815,57.263,0.2618
4188,4.1880,-1.20,-7.40,-0.0700,5,10,15,5,112,54,3809,3783,1922.516,-307.454,-5.379,1983.265,56.353,43.4587
4387,4.3870,0.30,25.80,-0.0700,-5,9,4,14,103,154,3912,3937,1989.525,-301.388,5.172,2050.546,56.705,0.3381
4388,4.3880,0.30,-1.80,-0.0700,1,9,10,8,55,110,3967,4047,2030.932,-289.082,16.552,2093.742,56.932,43.1969
4587,4.5870,0.70,-22.50,-0.0800,6,10,16,4,121,80,4088,4127,2083.032,-281.696,8.069,2146.360,57.574,0.2644
4588,4.5880,0.70,8.20,-0.0900,-5,9,4,14,110,49,4198,4176,2124.527,-284.999,-4.552,2187.983,58.083,41.6261
4787,4.7870,1.90,31.20,-0.0900,-5,9,4,14,102,151,4300,4327,2190.448,-278.552,5.586,2254.182,60.279,0.3328
4787,4.7870,1.90,-2.80,-0.0900,1,9,10,8,55,114,4355,4441,2232.576,-265.032,17.793,2298.402,61.746,4.4244
4988,4.9880,0.50,-28.20,-0.1000,5,9,14,4,126,95,4481,4536,2289.296,-253.616,11.379,2356.257,62.251,0.2878
4988,4.9880,0.50,1.10,-0.1000,0,9,9,9,102,53,4583,4589,2329.865,-252.737,1.241,2396.835,62.605,4.0579
5187,5.1870,0.20,23.00,-0.1100,-4,9,5,13,83,159,4666,4748,2390.464,-234.250,16.966,2460.190,62.826,0.3184
5188,5.1880,0.20,-7.60,-0.1100,4,9,13,5,51,112,4717,4860,2427.573,-213.181,29.586,2502.863,62.975,42.6733
5387,5.3870,0.60,-30.60,-0.1200,5,9,14,4,139,87,4856,4947,2483.574,-194.087,18.828,2562.026,63.595,0.2973
5388,5.3880,0.60,3.40,-0.1200,-2,9,7,11,112,50,4968,4997,2525.753,-189.653,6.000,2604.435,64.039,42.4115
5517,5.5170,1.50,28.90,-0.1300,-5,9,4,14,107,133,5075,5130,2587.350,-177.256,11.379,2667.246,65.684,0.4871
5521,5.5210,1.50,41.40,-0.1400,-6,11,5,17,2,4,5077,5134,2588.887,-176.935,11.793,2668.816,65.725,0.3927
5616,5.6160,0.40,-2.40,-0.1400,1,10,11,9,64,137,5141,5271,2635.817,-153.130,26.897,2721.436,66.092,0.5539
5734,5.7340,-0.60,-25.40,-0.1400,5,9,14,4,109,147,5250,5418,2690.878,-114.920,34.759,2788.453,65.390,0.5680
5742,5.7420,-0.60,-42.60,-0.1400,6,10,16,4,6,6,5256,5424,2693.459,-113.129,34.759,2791.595,65.357,0.3927
5848,5.8480,-4.20,-8.40,-0.1300,5,9,14,4,128,86,5384,5510,2743.785,-88.509,26.069,2847.469,61.254,0.5285
5966,5.9660,-4.30,10.10,-0.1100,-5,9,4,14,146,68,5530,5578,2798.970,-78.847,9.931,2903.337,57.053,0.4748
5975,5.9750,-4.30,24.00,-0.1100,-6,10,4,16,4,2,5534,5580,2800.519,-78.587,9.517,2904.903,56.936,0.1745
6080,6.0800,-0.70,1.10,-0.1000,-1,10,9,11,91,125,5625,5705,2854.725,-62.477,16.552,2961.448,56.245,0.5386
6199,6.1990,1.70,-11.50,-0.1000,5,9,14,4,104,122,5729,5827,2910.225,-41.974,20.276,3020.588,58.000,0.4972
6207,6.2070,1.70,-17.80,-0.1000,6,10,16,4,12,12,5741,5839,2916.119,-39.796,20.276,3026.869,58.186,0.7854
6305,6.3050,0.80,1.00,-0.1000,-1,9,8,10,124,73,5865,5912,2966.953,-31.085,9.724,3078.438,58.907,0.5263
6493,6.4930,4.50,12.00,-0.1100,-4,8,4,12,123,106,5988,6018,3026.553,-24.603,6.207,3138.205,63.610,0.3189
6494,6.4940,4.50,2.40,-0.1200,-2,9,7,11,72,88,6060,6106,3067.865,-17.677,9.517,3179.964,66.897,41.8879
6622,6.6220,4.30,-4.90,-0.1300,2,9,11,7,105,113,6165,6219,3123.855,-6.619,11.172,3236.876,71.176,0.4459
6631,6.6310,4.30,-6.70,-0.1400,3,10,13,7,7,5,6172,6224,3126.942,-6.032,10.759,3240.008,71.412,0.3491
6741,6.7410,2.80,2.40,-0.1400,-2,9,7,11,119,92,6291,6316,3181.956,-1.052,5.172,3295.182,74.110,0.5022
6930,6.9300,3.00,7.20,-0.1500,-5,9,4,14,106,122,6397,6438,3240.994,7.753,8.483,3354.791,77.234,0.3158
6930,6.9300,3.00,-10.20,-0.1500,5,9,14,4,61,100,6458,6538,3281.397,19.760,16.552,3396.883,79.440,4.2150
7059,7.0590,2.40,-23.20,-0.1600,5,9,14,4,117,83,6575,6621,3333.036,28.418,9.517,3449.196,81.633,0.4059
7067,7.0670,2.40,-26.40,-0.1600,6,11,17,5,0,1,6575,6622,3333.294,28.462,9.724,3449.458,81.643,0.0327
7178,7.1780,5.40,9.20,-0.1800,-5,10,5,15,152,69,6727,6691,3390.663,20.962,-7.448,3507.059,87.088,0.5212
7295,7.2950,5.40,27.30,-0.1900,-5,9,4,14,113,124,6840,6815,3452.457,15.368,-5.172,3568.830,92.927,0.5303
7304,7.3040,5.40,44.30,-0.2000,-5,10,5,15,3,5,6843,6820,3454.544,15.194,-4.759,3570.915,93.125,0.2327
7385,7.3850,7.20,6.90,-0.2100,-5,10,5,15,51,104,6894,6924,3494.885,19.582,6.207,3611.174,98.210,0.5010
7582,7.5820,-3.10,-13.20,-0.2400,5,9,14,4,67,161,6961,7085,3548.691,45.425,25.655,3670.777,94.982,0.3030
7582,7.5820,-3.10,-24.60,-0.2300,5,9,14,4,100,96,7061,7181,3595.261,66.970,24.828,3722.015,92.208,5.1313
7773,7.7730,1.80,-30.30,-0.2200,4,8,12,4,127,71,7188,7252,3645.719,78.844,13.241,3773.825,93.836,0.2714
7773,7.7730,1.80,5.10,-0.2300,-4,9,5,13,100,42,7288,7294,3682.886,79.649,1.241,3810.982,95.003,3.7176
7902,7.9020,2.70,31.60,-0.2400,-5,9,4,14,86,115,7374,7409,3735.088,86.282,7.241,3863.546,97.482,0.4079
7911,7.9110,2.70,38.20,-0.2400,-6,10,4,16,4,8,7378,7417,3738.199,86.723,8.069,3866.684,97.630,0.3491
8021,8.0210,0.60,-3.90,-0.2400,2,10,12,8,60,141,7438,7558,3785.957,108.818,24.828,3919.303,98.181,0.4784
8209,8.2090,-4.50,-25.40,-0.2500,5,9,14,4,102,132,7540,7690,3838.449,140.402,31.034,3980.375,93.375,0.3259
8210,8.2100,-4.50,-7.40,-0.2400,5,9,14,4,87,70,7627,7760,3874.901,159.392,27.517,4021.351,90.150,41.1025
8339,8.3390,-4.20,6.10,-0.2200,-3,9,6,12,110,96,7737,7856,3923.929,181.860,24.621,4075.136,86.200,0.4181
8347,8.3470,-4.20,9.50,-0.2200,-5,11,6,16,0,1,7737,7857,3924.167,181.970,24.828,4075.398,86.181,0.0327
8458,8.4580,-3.60,-12.50,-0.2100,6,10,16,4,86,145,7823,8002,3972.443,218.394,37.034,4135.754,82.384,0.5448
8580,8.5800,-4.40,-23.80,-0.2000,5,9,14,4,134,103,7957,8105,4025.837,249.997,30.621,4197.617,77.624,0.5086
8584,8.5840,-4.40,-32.80,-0.1900,5,9,14,4,21,11,7978,8116,4033.196,254.001,28.552,4205.970,76.981,2.0944
8686,8.6860,-1.90,5.50,-0.1900,-3,10,7,13,124,51,8102,8167,4077.755,264.656,13.448,4251.760,75.462,0.4492
8804,8.8040,-0.90,28.00,-0.1800,-5,9,4,14,124,105,8226,8272,4136.882,274.569,9.517,4311.705,74.520,0.5081
8812,8.8120,-0.90,44.90,-0.1800,-6,10,4,16,5,5,8231,8277,4139.464,275.002,9.517,4314.322,74.479,0.3272
8918,8.9180,1.20,6.90,-0.1900,-5,9,4,14,76,124,8307,8401,4188.836,292.436,19.448,4366.671,75.576,0.4940
9036,9.0360,0.40,-13.60,-0.2000,5,9,14,4,63,146,8370,8547,4232.751,325.074,36.621,4421.385,75.958,0.4637
9045,9.0450,0.40,-28.90,-0.2000,6,10,16,4,2,3,8372,8550,4233.799,325.859,36.828,4422.694,75.967,0.1454
9141,9.1410,-3.20,-17.00,-0.1900,5,10,15,5,114,79,8486,8629,4277.738,350.806,29.586,4473.143,73.146,0.5263
9264,9.2640,-6.70,-9.70,-0.1800,5,9,14,4,137,73,8623,8702,4330.494,366.278,16.345,4527.745,66.732,0.4470
9268,9.2680,-6.70,4.20,-0.1800,-1,10,9,11,23,9,8646,8711,4338.642,368.226,13.448,4536.066,65.754,2.0944
9369,9.3690,-3.10,4.30,-0.1700,-2,10,8,12,83,103,8729,8814,4385.061,382.939,17.586,4584.689,63.121,0.4821
9488,9.4880,-0.60,-0.80,-0.1600,0,9,9,9,99,125,8828,8939,4439.056,405.820,22.966,4643.329,62.507,0.4928
9496,9.4960,-0.60,-4.70,-0.1600,3,11,14,8,1,2,8829,8941,4439.778,406.129,23.172,4644.114,62.499,0.0982
9554,9.5540,-3.10,-13.10,-0.1500,6,11,17,5,62,54,8891,8995,4468.030,417.268,21.517,4674.439,60.856,0.5236
9786,9.7860,4.70,-18.90,-0.1400,5,9,14,4,171,97,9062,9092,4537.781,424.854,6.207,4744.365,66.605,0.3024
9787,9.7870,4.70,18.90,-0.1500,-4,8,4,12,180,68,9242,9160,4599.882,405.908,-16.966,4809.073,71.925,64.9262
9975,9.9750,9.60,37.80,-0.1600,-5,8,3,13,108,90,9350,9250,4648.375,387.594,-20.690,4860.183,80.570,0.2757
9975,9.9750,9.60,8.50,-0.1800,-5,9,4,14,44,77,9394,9327,4679.130,380.005,-13.862,4891.417,85.853,3.1678
10104,10.1040,9.10,-13.60,-0.2100,5,9,14,4,92,100,9486,9427,4728.259,369.377,-12.207,4941.050,93.803,0.3897
10113,10.1130,9.10,-19.10,-0.2200,5,10,15,5,6,4,9492,9431,4730.814,368.804,-12.621,4943.635,94.217,0.2909
10223,10.2230,8.90,7.10,-0.2400,-5,10,5,15,138,71,9630,9502,4779.789,344.405,-26.483,4997.693,102.682,0.4974
10411,10.4110,10.30,20.60,-0.2600,-5,9,4,14,108,123,9738,9625,4835.299,320.407,-23.379,5057.194,113.495,0.3217
10411,10.4110,10.30,-6.30,-0.2900,1,9,10,8,57,102,9795,9727,4875.677,310.288,-14.069,5098.149,120.938,4.1626
10540,10.5400,9.60,-26.40,-0.3200,5,9,14,4,116,80,9911,9807,4923.413,291.468,-21.517,5148.743,129.495,0.3978
10549,10.5490,9.60,-29.80,-0.3200,5,10,15,5,14,7,9925,9814,4928.475,289.323,-22.966,5154.164,130.412,0.6109
10659,10.6590,12.50,4.80,-0.3600,-5,10,5,15,132,59,10057,9873,4967.841,258.490,-38.069,5202.982,141.235,0.4546
10847,10.8470,14.10,23.40,-0.3900,-5,9,4,14,106,117,10163,9990,5015.196,224.345,-35.793,5259.605,155.458,0.3105
10848,10.8480,14.10,-6.00,-0.4200,0,9,9,9,56,102,10219,10092,5052.287,206.033,-26.276,5299.723,165.535,41.3643
10976,10.9760,13.40,-28.10,-0.4600,5,9,14,4,138,91,10357,10183,5100.789,170.795,-36.000,5358.043,179.428,0.4684
10985,10.9850,13.40,-33.60,-0.4700,6,10,16,4,4,1,10361,10184,5101.840,170.014,-36.621,5359.316,179.732,0.1454
11090,11.0900,16.90,9.90,-0.5200,-6,10,4,16,152,61,10513,10245,5133.466,124.086,-55.448,5412.671,195.942,0.5311
11208,11.2080,18.10,32.20,-0.5700,-4,8,4,12,113,127,10626,10372,5171.670,74.204,-52.552,5472.394,215.463,0.5325
11216,11.2160,18.10,48.80,-0.5800,-6,11,5,17,1,1,10627,10373,5171.989,73.788,-52.552,5472.891,215.625,0.0654
11302,11.3020,19.80,7.60,-0.6400,-6,10,4,16,56,115,10683,10488,5206.109,44.806,-40.345,5515.012,230.790,0.5206
11495,11.4950,8.90,-14.50,-0.6900,3,9,12,6,64,170,10747,10658,5264.233,25.455,-18.414,5575.536,240.267,0.3174
11495,11.4950,8.90,-31.10,-0.7100,5,9,14,4,76,102,10823,10760,5309.633,14.945,-13.034,5621.575,247.477,4.6600
11700,11.7000,12.80,-43.60,-0.7400,5,9,14,4,122,78,10945,10838,5358.133,-4.786,-22.138,5672.634,259.077,0.2554
11700,11.7000,12.80,0.50,-0.7700,-4,9,5,13,121,48,11066,10886,5393.355,-31.561,-37.241,5715.778,268.880,4.4244
11890,11.8900,15.80,22.60,-0.8000,-4,8,4,12,103,97,11169,10983,5434.342,-64.144,-38.483,5766.160,283.136,0.2756
11890,11.8900,15.80,1.00,-0.8400,-5,9,4,14,55,85,11224,11068,5465.331,-83.716,-32.276,5801.427,293.116,3.6652
12020,12.0200,15.40,-15.20,-0.8900,4,9,13,5,104,104,11328,11172,5511.371,-112.794,-32.276,5853.926,307.576,0.4189
12028,12.0280,15.40,-17.90,-0.9000,5,9,14,4,14,11,11342,11183,5516.867,-116.349,-32.897,5860.236,309.314,0.8181
12139,12.1390,15.70,8.60,-0.9500,-5,9,4,14,130,70,11472,11253,5553.690,-153.573,-45.310,5910.643,323.483,0.4717
12261,12.2610,16.50,22.80,-0.9900,-4,9,5,13,98,112,11570,11365,5594.280,-190.655,-42.414,5963.357,339.098,0.4506
12265,12.2650,16.50,31.70,-1.0000,-5,9,4,14,12,19,11582,11384,5600.408,-195.975,-40.966,5971.138,341.403,2.0289
12366,12.3660,15.20,0.10,-1.0500,-5,10,5,15,56,113,11638,11497,5639.040,-217.542,-29.172,6013.834,353.003,0.4381
12484,12.4840,14.40,-19.00,-1.0800,5,9,14,4,68,159,11706,11656,5697.502,-228.213,-10.345,6071.396,367.782,0.5036
12493,12.4930,14.40,-33.30,-1.0900,6,10,16,4,5,5,11711,11661,5700.078,-228.683,-10.345,6073.932,368.433,0.2909
12598,12.5980,10.80,-11.20,-1.1200,4,9,13,5,111,89,11822,11750,5750.678,-242.144,-14.897,6125.364,378.244,0.4987
12717,12.7170,6.90,1.10,-1.1400,-4,9,5,13,127,72,11949,11822,5797.393,-265.207,-26.276,6177.085,384.503,0.4378
12725,12.7250,6.90,10.30,-1.1500,-5,10,5,15,2,2,11951,11824,5798.332,-265.671,-26.276,6178.124,384.629,0.1309
12822,12.8220,10.50,1.10,-1.1800,-4,10,6,14,73,111,12024,11935,5844.037,-280.887,-18.414,6225.489,393.408,0.4966
12945,12.9450,10.80,-4.20,-1.2000,-1,9,8,10,78,146,12102,12081,5902.511,-285.330,-4.345,6283.093,404.396,0.4768
12949,12.9490,10.80,-15.90,-1.2100,5,9,14,4,13,22,12115,12103,5911.666,-285.727,-2.483,6292.094,406.113,2.2907
13056,13.0560,7.20,-6.80,-1.2300,2,9,11,7,120,89,12235,12192,5965.723,-294.189,-8.897,6346.378,412.971,0.5114
13178,13.1780,5.30,2.10,-1.2400,-4,8,4,12,128,87,12363,12279,6019.441,-311.001,-17.379,6402.425,418.170,0.4614
13182,13.1820,5.30,17.30,-1.2500,-5,10,5,15,1,1,12364,12280,6019.940,-311.158,-17.379,6402.946,418.219,0.1309
13284,13.2840,7.80,-6.90,-1.2700,2,10,12,8,67,121,12431,12401,6068.870,-316.479,-6.207,6451.709,424.898,0.4825
13402,13.4020,7.00,-20.30,-1.2800,5,9,14,4,102,115,12533,12516,6125.574,-319.964,-3.517,6508.096,431.822,0.4814
13411,13.4110,7.00,-30.30,-1.2900,5,10,15,5,7,7,12540,12523,6129.232,-320.189,-3.517,6511.734,432.268,0.4072
13516,13.5160,5.90,2.70,-1.3100,-5,9,4,14,121,68,12661,12591,6177.140,-332.564,-14.483,6560.952,437.355,0.4712
13635,13.6350,6.70,20.10,-1.3200,-5,9,4,14,93,113,12754,12704,6230.194,-342.248,-10.345,6614.514,443.647,0.4532
13643,13.6430,6.70,33.10,-1.3200,-6,10,4,16,3,5,12757,12709,6232.257,-342.609,-9.931,6616.594,443.891,0.2618
13740,13.7400,4.90,-1.50,-1.3400,-2,10,8,12,58,120,12815,12829,6278.797,-340.254,2.897,6663.024,447.872,0.4804
13929,13.9290,-1.50,-19.90,-1.3400,5,9,14,4,85,142,12900,12971,6336.283,-325.184,14.690,6722.432,446.316,0.3144
13929,13.9290,-1.50,-16.90,-1.3400,5,9,14,4,84,78,12984,13049,6377.532,-315.321,13.448,6764.829,445.206,4.2412
14058,14.0580,-1.60,-14.40,-1.3300,5,9,14,4,139,74,13123,13123,6433.295,-315.321,-0.000,6820.571,443.649,0.4323
14066,14.0660,-1.60,-14.10,-1.3300,7,11,18,4,2,1,13125,13124,6434.081,-315.324,-0.207,6821.356,443.627,0.0982
14177,14.1770,2.00,23.70,-1.3300,-5,9,4,14,180,68,13305,13192,6493.676,-341.087,-23.379,6886.243,445.893,0.5849
14295,14.2950,8.00,42.60,-1.3400,-5,8,3,13,125,110,13430,13302,6548.743,-368.522,-26.483,6947.167,454.455,0.5214
14304,14.3040,8.00,62.60,-1.3400,-5,10,5,15,3,5,13433,13307,6550.625,-369.443,-26.069,6949.241,454.746,0.2327
14405,14.4050,11.30,13.40,-1.3700,-5,9,4,14,63,120,13496,13427,6597.055,-381.257,-14.276,6996.221,464.134,0.4743
14524,14.5240,10.50,-12.80,-1.4100,4,9,13,5,60,149,13556,13576,6651.628,-377.308,4.138,7050.021,474.105,0.4598
14532,14.5320,10.50,-32.50,-1.4100,5,10,15,5,5,6,13561,13582,6654.500,-377.090,4.345,7052.853,474.630,0.3600
14638,14.6380,6.90,-8.50,-1.4400,2,9,11,7,110,80,13671,13662,6704.215,-378.706,-1.862,7102.234,480.606,0.4693
14757,14.7570,3.10,5.10,-1.4500,-5,9,4,14,124,80,13795,13742,6756.647,-388.865,-10.966,7155.563,483.494,0.4488
14765,14.7650,3.10,15.30,-1.4500,-6,10,4,16,2,2,13797,13744,6757.675,-389.065,-10.966,7156.609,483.551,0.1309
14862,14.8620,6.70,1.70,-1.4700,-4,10,6,14,74,107,13871,13851,6804.937,-392.484,-4.138,7203.671,489.079,0.4885
14984,14.9840,6.30,-5.90,-1.4900,0,9,9,9,83,143,13954,13994,6863.488,-383.968,8.276,7262.480,495.572,0.4850
14989,14.9890,6.30,-16.30,-1.4900,5,9,14,4,14,21,13968,14015,6872.519,-382.420,9.724,7271.588,496.577,1.8326
15094,15.0940,2.70,-5.40,-1.5000,2,9,11,7,119,86,14087,14101,6926.120,-379.708,2.897,7325.197,499.106,0.5111
15283,15.2830,5.20,3.90,-1.5100,-5,8,3,13,132,88,14219,14189,6983.378,-385.935,-6.207,7382.556,504.326,0.3047
15284,15.2840,5.20,-0.60,-1.5200,-2,8,6,10,69,89,14288,14278,7024.715,-387.428,-2.069,7423.750,508.075,41.3643
15411,15.4110,5.00,-4.00,-1.5300,0,9,9,9,88,110,14376,14388,7076.503,-385.183,2.483,7475.389,512.592,0.4082
15420,15.4200,5.00,-4.90,-1.5400,0,10,10,10,7,7,14383,14395,7080.165,-385.024,2.483,7479.040,512.912,0.4072
15525,15.5250,1.80,-5.30,-1.5400,2,10,12,8,86,97,14469,14492,7127.909,-381.050,4.759,7526.926,514.417,0.4563
15642,15.6420,1.70,-5.40,-1.5400,2,9,11,7,110,104,14579,14596,7183.828,-377.613,3.517,7582.926,516.079,0.4788
15651,15.6510,1.70,-5.60,-1.5400,2,10,12,8,7,5,14586,14601,7186.965,-377.442,3.103,7586.067,516.172,0.3491
15756,15.7560,2.20,2.60,-1.5400,-3,9,6,12,111,103,14697,14704,7242.972,-376.026,1.448,7642.050,518.323,0.5336
15875,15.8750,2.40,6.70,-1.5500,-5,8,3,13,101,118,14798,14822,7300.091,-371.064,4.966,7699.334,520.724,0.4818
15883,15.8830,2.40,9.70,-1.5500,-5,10,5,15,3,5,14801,14827,7302.176,-370.868,5.379,7701.427,520.811,0.2618
15941,15.9410,2.10,-2.70,-1.5500,0,10,10,10,36,66,14837,14893,7328.336,-365.504,11.586,7728.112,521.790,0.4604
16169,16.1690,-0.10,-12.30,-1.5600,5,9,14,4,122,118,14959,15011,7390.063,-353.775,10.759,7790.944,521.680,0.2756
16169,16.1690,-0.10,11.20,-1.5600,-4,8,4,12,137,80,15096,15091,7446.864,-354.801,-1.034,7847.755,521.581,5.6810
16288,16.2880,0.60,23.00,-1.5500,-5,8,3,13,94,101,15190,15192,7497.914,-354.432,0.414,7898.803,522.116,0.4290
16296,16.2960,0.60,31.90,-1.5600,-5,10,5,15,1,1,15191,15193,7498.438,-354.429,0.414,7899.326,522.121,0.0654
16402,16.4020,-0.10,-5.40,-1.5600,2,10,12,8,64,135,15255,15328,7548.736,-340.854,15.103,7951.424,522.030,0.4915
