t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_imu_mm,y_imu_mm,x_enc_mm,y_enc_mm,theta_enc_deg,v_mps
4878,4.8780,0.20,-0.60,1.2900,2,60,82,78,136,131,4086,4080,2137.728,16.546,2135.585,-59.093,1.241,0.3163
5099,5.0990,0.30,0.40,1.2500,-2,68,78,82,141,137,4227,4217,2210.508,16.229,2208.335,-56.990,2.069,0.3293
5321,5.3210,0.30,-0.20,1.2100,0,74,80,80,122,127,4349,4344,2275.695,15.887,2273.499,-55.225,1.034,0.2936
5542,5.5420,-0.00,-1.00,1.2200,5,80,85,75,111,117,4460,4461,2335.385,15.731,2333.188,-54.794,-0.207,0.2701
5543,5.5430,-0.00,-1.00,1.2200,5,80,85,75,111,117,4571,4578,2395.075,15.731,2392.872,-55.656,-1.448,0.0000
5674,5.6740,-0.10,-1.40,1.2300,6,87,93,81,70,70,4641,4648,2431.727,15.763,2429.512,-56.583,-1.448,0.2798
5806,5.8060,-0.30,-0.80,1.2500,5,57,85,75,85,84,4726,4732,2475.971,15.917,2473.744,-57.621,-1.241,0.3352
5807,5.8070,-0.30,-0.80,1.2500,5,57,85,75,85,84,4811,4816,2520.215,16.149,2517.979,-58.500,-1.034,0.0000
6019,6.0190,0.20,2.60,1.2200,-9,64,71,89,157,147,4968,4963,2599.802,16.218,2597.566,-58.500,1.034,0.3754
6240,6.2400,0.60,1.40,1.1300,-7,70,73,87,137,136,5105,5099,2671.271,15.720,2669.023,-57.080,1.241,0.3234
6241,6.2410,0.60,1.40,1.1300,-7,70,73,87,137,136,5242,5235,2742.738,14.971,2740.475,-55.403,1.448,0.0000
6462,6.4620,0.60,0.30,1.0400,-4,75,76,84,131,129,5373,5364,2810.803,14.258,2808.514,-53.437,1.862,0.3080
6593,6.5930,0.50,-1.10,0.9600,1,83,84,82,79,79,5452,5443,2852.165,13.861,2849.857,-52.093,1.862,0.3158
6594,6.5940,0.50,-1.10,0.9600,1,83,84,82,79,79,5531,5522,2893.528,13.500,2891.199,-50.749,1.862,0.0000
6726,6.7260,0.60,-0.40,0.8900,-1,42,79,81,89,90,5620,5612,2940.388,13.050,2938.039,-49.311,1.655,0.3550
6937,6.9370,0.60,-0.90,0.8000,0,54,80,80,146,146,5766,5758,3016.829,12.250,3014.453,-47.102,1.655,0.3623
6938,6.9380,0.60,-0.90,0.7200,0,75,80,80,0,0,5766,5758,3016.829,12.250,3014.453,-47.102,1.655,0.0000
7159,7.1590,0.50,-1.00,0.6500,1,79,81,79,124,124,5890,5882,3081.752,11.627,3079.352,-45.227,1.655,0.2938
7380,7.3800,0.40,-0.90,0.5900,1,82,83,81,119,121,6009,6003,3144.582,11.133,3142.164,-43.639,1.241,0.2843
7601,7.6010,0.40,-0.40,0.5300,-1,83,82,84,136,136,6145,6139,3215.790,10.636,3213.356,-42.096,1.241,0.3222
7602,7.6020,0.40,-0.40,0.5300,-1,83,82,84,136,136,6281,6275,3286.997,10.139,3284.549,-40.554,1.241,0.0000
7733,7.7330,0.40,0.10,0.4700,-2,88,86,90,88,86,6369,6361,3332.549,9.821,3330.088,-39.402,1.655,0.3477
7865,7.8650,0.70,0.70,0.4100,-6,42,74,86,92,88,6461,6449,3379.671,9.369,3377.181,-37.701,2.483,0.3570
7866,7.8660,0.70,0.70,0.4100,-6,42,74,86,92,88,6553,6537,3426.791,8.793,3424.245,-35.320,3.310,0.0000
7988,7.9880,0.70,0.40,0.3000,-5,59,75,85,90,88,6643,6625,3473.388,8.224,3470.757,-32.461,3.724,0.3820
7992,7.9920,0.70,0.40,0.2700,-5,79,75,85,1,1,6644,6626,3473.912,8.217,3471.280,-32.427,3.724,0.1309
8120,8.1200,0.80,0.20,0.2300,-6,58,74,86,84,84,6728,6710,3517.890,7.641,3515.169,-29.570,3.724,0.3436
8333,8.3330,0.60,-0.60,0.1400,-2,65,78,82,139,146,6867,6856,3592.498,6.730,3589.680,-25.665,2.276,0.3503
8545,8.5450,0.30,-0.60,0.0900,0,71,80,80,135,135,7002,6991,3663.181,6.175,3660.310,-22.858,2.276,0.3334
8546,8.5460,0.30,-0.60,0.0900,0,71,80,80,135,135,7137,7126,3733.866,5.805,3730.940,-20.051,2.276,0.0000
8758,8.7580,0.00,-0.80,0.0800,3,76,83,77,116,122,7253,7248,3796.174,5.642,3793.222,-18.251,1.034,0.2939
8980,8.9800,-0.20,-1.10,0.1200,5,80,85,75,113,119,7366,7367,3856.912,5.748,3853.958,-17.813,-0.207,0.2736
9201,9.2010,-0.40,-0.90,0.1900,6,83,89,77,121,124,7487,7491,3921.052,6.083,3918.096,-18.392,-0.828,0.2902
9332,9.3320,-0.50,-0.30,0.2500,4,88,92,84,83,82,7570,7573,3964.247,6.423,3961.290,-18.938,-0.621,0.3297
9333,9.3330,-0.50,-0.30,0.2500,4,88,92,84,83,82,7653,7655,4007.442,6.800,4004.485,-19.328,-0.414,0.0000
9464,9.4640,-0.60,-0.70,0.3200,6,30,86,74,89,88,7742,7743,4053.779,7.244,4050.823,-19.579,-0.207,0.3537
9676,9.6760,-0.30,1.70,0.3600,-3,45,77,83,150,145,7892,7888,4131.007,7.851,4128.052,-19.160,0.828,0.3643
9677,9.6770,-0.30,1.70,0.3600,-3,45,77,83,150,145,8042,8033,4208.237,8.255,4205.262,-17.348,1.862,0.0000
9898,9.8980,-0.10,1.60,0.3800,-4,57,76,84,132,129,8174,8162,4276.566,8.494,4273.542,-14.758,2.483,0.3092
10119,10.1190,-0.40,-0.20,0.4400,3,65,83,77,131,136,8305,8298,4346.466,8.799,4343.402,-12.360,1.448,0.3163
10120,10.1200,-0.40,-0.20,0.4400,3,65,83,77,131,136,8436,8434,4416.365,9.287,4413.293,-11.224,0.414,0.0000
10340,10.3400,-0.50,-0.60,0.5200,6,70,86,74,134,135,8570,8569,4486.787,9.840,4483.716,-10.843,0.207,0.3201
10341,10.3410,-0.50,-0.60,0.5200,6,70,86,74,134,135,8704,8704,4557.208,10.455,4554.140,-10.716,0.000,0.0000
10561,10.5610,-0.60,-0.70,0.6100,6,75,86,74,119,122,8823,8826,4620.299,11.060,4617.232,-11.058,-0.621,0.2868
10692,10.6920,-0.60,-0.40,0.7000,5,84,89,79,69,68,8892,8894,4656.163,11.436,4653.098,-11.381,-0.414,0.2738
10824,10.8240,-0.50,0.20,0.7800,3,39,83,77,77,75,8969,8969,4695.955,11.818,4692.891,-11.525,0.000,0.3015
10825,10.8250,-0.50,0.20,0.7800,3,39,83,77,77,75,9046,9044,4735.747,12.165,4732.684,-11.381,0.414,0.0000
10946,10.9460,-0.50,0.80,0.8500,2,57,82,78,83,81,9129,9125,4778.680,12.540,4775.617,-10.916,0.828,0.3548
10951,10.9510,-0.50,0.80,0.8800,2,77,82,78,1,1,9130,9126,4779.204,12.544,4776.140,-10.909,0.828,0.1047
11080,11.0800,-0.50,0.50,0.9100,2,57,82,78,82,84,9212,9210,4822.661,12.923,4819.596,-10.438,0.414,0.3369
11202,11.2020,-0.50,0.20,0.9800,3,69,83,77,82,82,9294,9292,4865.594,13.298,4862.530,-10.128,0.414,0.3519
11207,11.2070,-0.50,0.20,0.9800,3,69,83,77,82,82,9376,9374,4908.528,13.673,4905.464,-9.818,0.414,8.5870
11326,11.3260,-0.40,0.30,1.0300,2,34,82,78,76,74,9452,9448,4947.797,13.981,4944.732,-9.392,0.828,0.3300
11538,11.5380,-0.20,1.30,1.0600,-2,49,78,82,140,133,9592,9581,5019.267,14.355,5016.177,-7.457,2.276,0.3371
11539,11.5390,-0.20,1.30,1.0600,-2,49,78,82,140,133,9732,9714,5090.738,14.605,5087.550,-3.716,3.724,0.0000
11760,11.7600,0.00,0.60,1.0500,-1,58,79,81,139,136,9871,9850,5162.732,14.731,5159.367,1.349,4.345,0.3258
11891,11.8910,-0.00,-0.30,1.0500,2,70,82,78,82,84,9953,9934,5206.191,14.731,5202.712,4.485,3.931,0.3317
12023,12.0230,-0.10,-0.60,1.0600,4,32,84,76,77,79,10030,10013,5247.032,14.766,5243.466,7.137,3.517,0.3094
12024,12.0240,-0.10,-0.60,1.0600,4,32,84,76,77,79,10107,10092,5287.872,14.838,5284.239,9.496,3.103,0.0000
12146,12.1460,-0.10,-1.30,1.0800,6,52,86,74,78,79,10185,10171,5328.975,14.909,5325.285,11.647,2.897,0.3369
12151,12.1510,-0.10,-1.30,1.0800,6,73,86,74,2,1,10187,10172,5329.760,14.911,5326.069,11.688,3.103,0.1571
12280,12.2800,-0.20,-0.70,1.0900,4,60,84,76,74,71,10261,10243,5367.721,15.010,5363.963,13.949,3.724,0.2943
12492,12.4920,-0.10,0.80,1.1100,-1,67,79,81,123,120,10384,10363,5431.338,15.177,5427.423,18.424,4.345,0.3001
12704,12.7040,0.00,0.30,1.1000,0,72,80,80,127,128,10511,10491,5498.097,15.235,5493.999,23.362,4.138,0.3149
12826,12.8260,-0.00,0.60,1.1000,-1,80,79,81,73,74,10584,10565,5536.581,15.235,5532.388,26.069,3.931,0.3154
12831,12.8310,-0.00,0.60,1.1000,-1,93,92,94,1,1,10585,10566,5537.105,15.235,5532.910,26.105,3.931,0.1047
12960,12.9600,-0.10,0.40,1.1100,0,62,80,80,87,86,10672,10652,5582.396,15.274,5578.089,29.292,4.138,0.3511
13172,13.1720,-0.10,0.20,1.1200,1,67,81,79,144,142,10816,10794,5657.271,15.405,5652.749,34.964,4.552,0.3532
13294,13.2940,-0.10,-0.10,1.1200,2,77,82,78,77,73,10893,10867,5696.541,15.474,5691.871,38.363,5.379,0.3219
13299,13.2990,-0.10,-0.10,1.1300,2,90,92,88,2,2,10895,10869,5697.588,15.475,5692.914,38.462,5.379,0.2094
13419,13.4190,0.30,0.30,1.1200,-1,53,79,81,79,79,10974,10948,5738.952,15.403,5734.096,42.339,5.379,0.3447
13631,13.6310,0.30,-0.50,1.0800,1,61,81,79,143,143,11117,11091,5813.826,15.011,5808.641,49.359,5.379,0.3532
13843,13.8430,-0.00,-1.10,1.0800,5,68,85,75,117,121,11234,11212,5876.134,14.848,5870.715,54.752,4.552,0.2939
13844,13.8440,-0.00,-1.10,1.0800,5,68,85,75,117,121,11351,11333,5938.442,14.848,5932.861,59.248,3.724,0.0000
14056,14.0560,-0.20,-0.90,1.1100,5,74,85,75,114,118,11465,11451,5999.179,14.954,5993.497,62.755,2.897,0.2865
14277,14.2770,-0.10,0.30,1.1200,1,76,81,79,128,125,11593,11576,6065.414,15.127,6059.629,66.461,3.517,0.2997
14278,14.2780,-0.10,0.30,1.1400,1,90,91,89,0,0,11593,11576,6065.414,15.127,6059.629,66.461,3.517,0.0000
14498,14.4980,0.20,-0.30,1.1100,1,86,87,85,151,146,11744,11722,6143.169,15.060,6137.190,71.931,4.552,0.3534
14499,14.4990,0.20,-0.30,1.1100,1,86,87,85,151,146,11895,11868,6220.923,14.788,6214.641,78.801,5.586,0.0000
14630,14.6300,0.20,-0.10,1.0900,1,88,89,87,92,91,11987,11959,6268.832,14.621,6262.314,83.551,5.793,0.3657
14762,14.7620,0.20,0.30,1.0600,-1,28,79,81,87,89,12074,12048,6314.908,14.460,6308.172,88.036,5.379,0.3491
14763,14.7630,0.20,0.30,1.0600,-1,28,79,81,87,89,12161,12137,6360.984,14.299,6354.061,92.190,4.966,0.0000
14975,14.9750,0.30,1.30,1.0200,-5,42,75,85,147,144,12308,12281,6437.167,13.967,6429.922,99.195,5.586,0.3594
15197,15.1970,0.20,0.40,0.9900,-2,53,78,82,137,137,12445,12418,6508.900,13.654,6501.314,106.178,5.586,0.3231
15418,15.4180,-0.10,-1.30,1.0000,5,62,85,75,120,128,12565,12546,6573.826,13.597,6566.017,111.564,3.931,0.2938
15550,15.5500,-0.20,-2.00,1.0200,8,74,88,72,64,68,12629,12614,6608.383,13.688,6600.509,113.684,3.103,0.2618
15682,15.6820,-0.50,-1.90,1.0500,10,42,90,70,65,69,12694,12683,6643.464,13.902,6635.551,115.330,2.276,0.2658
15893,15.8930,-0.50,0.80,1.1200,2,54,82,78,127,121,12821,12804,6708.388,14.469,6700.395,118.611,3.517,0.3077
15894,15.8940,-0.50,0.80,1.1200,2,54,82,78,127,121,12948,12925,6773.311,15.035,6765.152,123.296,4.759,0.0000
16115,16.1150,0.00,1.50,1.1100,-4,62,76,84,133,122,13081,13047,6840.070,15.326,6831.557,130.155,7.034,0.3021
16336,16.3360,0.30,0.40,1.0600,-2,68,78,82,125,123,13206,13170,6904.996,15.156,6895.966,138.338,7.448,0.2938
16337,16.3370,0.30,0.40,1.0600,-2,68,78,82,125,123,13331,13293,6969.921,14.816,6960.313,146.987,7.862,0.0000
16558,16.5580,0.40,-0.20,1.0000,-1,73,79,81,119,120,13450,13413,7032.490,14.434,7022.311,155.434,7.655,0.2831
16558,16.5580,0.40,-0.20,0.9300,-1,87,86,88,1,0,13451,13413,7032.752,14.432,7022.570,155.470,7.862,0.0000
16689,16.6890,0.50,0.30,0.8600,-3,90,87,93,77,75,13528,13488,7072.544,14.120,7061.970,161.055,8.276,0.3038
16821,16.8210,0.60,1.70,0.8000,-8,34,72,88,83,78,13611,13566,7114.692,13.715,7103.624,167.499,9.310,0.3193
16822,16.8220,0.60,1.70,0.8000,-8,34,72,88,83,78,13694,13644,7156.839,13.274,7145.155,174.693,10.345,0.0000
16944,16.9440,0.70,2.10,0.7000,-10,52,70,90,84,86,13778,13730,7201.342,12.769,7188.966,182.527,9.931,0.3648
16949,16.9490,0.70,2.10,0.6600,-10,72,70,90,2,3,13780,13733,7202.651,12.753,7190.256,182.750,9.724,0.2618
17078,17.0780,0.30,-1.00,0.6400,2,47,82,78,70,76,13850,13809,7240.872,12.419,7227.997,188.798,8.483,0.2963
17201,17.2010,0.30,-2.20,0.5900,6,62,86,74,63,70,13913,13879,7275.691,12.237,7262.498,193.498,7.034,0.2831
17205,17.2050,0.30,-2.20,0.5900,6,62,86,74,63,70,13976,13949,7310.510,12.055,7297.106,197.325,5.586,8.7048
17309,17.3090,-0.30,-3.20,0.5700,13,57,93,67,42,48,14018,13997,7334.072,12.055,7320.580,199.365,4.345,0.2266
17521,17.5210,-0.70,-2.70,0.6800,14,67,94,66,97,101,14115,14098,7385.906,12.507,7372.294,202.918,3.517,0.2445
17522,17.5220,-0.70,-2.70,0.6800,14,67,94,66,97,101,14212,14199,7437.739,13.140,7424.054,205.725,2.690,0.0000
17734,17.7340,-1.10,-1.10,0.8400,11,74,91,69,96,97,14308,14296,7488.260,13.934,7474.530,208.005,2.483,0.2383
17955,17.9550,-0.60,1.30,0.9300,0,78,80,80,110,100,14418,14396,7543.231,14.750,7529.404,211.378,4.552,0.2488
17956,17.9560,-0.60,1.30,0.9300,0,78,80,80,110,100,14528,14496,7598.206,15.325,7584.121,216.729,6.621,0.0000
18177,18.1770,-0.20,1.40,0.9600,-2,80,78,82,109,107,14637,14603,7654.754,15.720,7640.269,223.452,7.034,0.2559
18308,18.3080,-0.20,1.60,0.9900,-3,86,83,89,64,62,14701,14665,7687.740,15.835,7672.992,227.610,7.448,0.2518
18309,18.3090,-0.20,1.60,0.9900,-3,86,83,89,64,62,14765,14727,7720.727,15.951,7705.685,232.004,7.862,0.0000
18441,18.4410,0.00,1.10,1.0100,-2,46,78,82,66,66,14831,14793,7755.284,16.011,7739.918,236.731,7.862,0.2618
18562,18.5620,0.00,0.90,1.0000,-2,61,78,82,68,71,14899,14864,7791.674,16.011,7775.992,241.514,7.241,0.3007
18567,18.5670,0.00,0.90,1.0000,-2,61,78,82,68,71,14967,14935,7828.064,16.011,7812.116,245.905,6.621,7.2780
18696,18.6960,-0.50,-0.60,1.0100,6,39,86,74,63,67,15030,15002,7862.098,16.159,7845.951,249.585,5.793,0.2638
18818,18.8180,-0.60,-1.90,1.1000,11,56,91,69,69,65,15099,15067,7897.177,16.496,7880.826,253.378,6.621,0.2876
18822,18.8220,-0.60,-1.90,1.1000,11,56,91,69,69,65,15168,15132,7932.257,16.863,7915.643,257.674,7.448,8.7703
18942,18.9420,-0.40,-1.30,1.1600,8,45,88,72,56,55,15224,15187,7961.315,17.117,7944.451,261.493,7.655,0.2422
19064,19.0640,-0.40,0.40,1.2200,2,60,82,78,70,66,15294,15253,7996.919,17.366,7979.703,266.491,8.483,0.2918
19068,19.0680,-0.40,0.40,1.2500,2,77,82,78,2,2,15296,15255,7997.966,17.373,7980.739,266.645,8.483,0.2618
19197,19.1970,0.00,-0.40,1.2600,2,46,82,78,67,66,15363,15321,8032.785,17.494,8015.168,271.843,8.690,0.2699
19320,19.3200,0.00,-0.10,1.2500,2,62,82,78,60,58,15423,15379,8063.678,17.494,8045.689,276.621,9.103,0.2512
19324,19.3240,0.00,-0.10,1.2500,2,62,82,78,60,58,15483,15437,8094.570,17.494,8076.174,281.619,9.517,7.7231
19428,19.4280,-0.10,-1.50,1.2500,6,62,86,74,38,40,15521,15477,8114.990,17.512,8096.326,284.922,9.103,0.1963
19557,19.5570,-0.20,-2.10,1.2700,9,74,89,71,52,54,15573,15531,8142.741,17.585,8123.742,289.214,8.690,0.2151
19682,19.6820,-0.50,-2.10,1.3000,11,71,91,69,68,68,15641,15599,8178.345,17.802,8158.938,294.593,8.690,0.2848
19894,19.8940,-0.20,1.30,1.3300,-2,72,78,82,138,130,15779,15729,8248.506,18.231,8228.135,306.194,10.345,0.3310
19895,19.8950,-0.20,1.30,1.3300,-2,72,78,82,138,130,15917,15859,8318.668,18.476,8296.967,319.789,12.000,0.0000
20116,20.1160,0.30,1.50,1.2800,-6,74,74,86,136,130,16053,15989,8388.306,18.415,8364.924,335.005,13.241,0.3151
20247,20.2470,0.40,1.20,1.2100,-5,80,75,85,79,73,16132,16062,8428.099,18.172,8403.558,344.539,14.483,0.3038
20248,20.2480,0.40,1.20,1.1800,-5,91,86,96,0,0,16132,16062,8428.099,18.172,8403.558,344.539,14.483,0.0000
20380,20.3800,0.90,1.20,1.1400,-8,66,72,88,82,78,16214,16140,8469.984,17.697,8444.038,355.307,15.310,0.3173
20502,20.5020,0.90,1.40,1.0000,-9,75,71,89,78,79,16292,16219,8511.082,17.051,8483.701,366.088,15.103,0.3369
20506,20.5060,0.90,1.40,1.0000,-9,75,71,89,78,79,16370,16298,8552.179,16.406,8523.403,376.727,14.897,10.2756
20635,20.6350,0.80,0.10,0.9000,-4,31,76,84,75,79,16445,16377,8592.492,15.808,8562.439,386.809,14.069,0.3125
20757,20.7570,0.80,-1.10,0.7900,0,49,80,80,81,82,16526,16459,8635.161,15.212,8603.851,397.108,13.862,0.3498
20761,20.7610,0.80,-1.10,0.7500,-1,69,79,81,0,0,16526,16459,8635.161,15.212,8603.851,397.108,13.862,0.0000
20881,20.8810,0.70,-0.20,0.7000,-3,59,77,83,73,71,16599,16530,8672.857,14.718,8640.420,406.272,14.276,0.3142
21093,21.0930,0.60,0.30,0.6200,-4,65,76,84,127,127,16726,16657,8739.350,13.964,8704.863,422.670,14.276,0.3137
21315,21.3150,0.30,-1.00,0.5800,2,69,82,78,124,135,16850,16792,8807.154,13.431,8770.894,438.082,12.000,0.3054
21536,21.5360,-0.30,-1.80,0.6300,8,72,88,72,118,129,16968,16921,8871.818,13.431,8834.400,450.268,9.724,0.2926
21667,21.6670,-0.40,-2.20,0.7000,10,78,90,70,80,79,17048,17000,8913.443,13.686,8875.416,457.373,9.931,0.3178
21668,21.6680,-0.40,-2.20,0.7300,11,90,101,79,0,0,17048,17000,8913.443,13.686,8875.416,457.373,9.931,0.0000
21799,21.7990,-0.30,0.60,0.7500,1,62,81,79,90,83,17138,17083,8958.734,13.962,8919.926,465.747,11.379,0.3457
22011,22.0110,0.20,1.50,0.7200,-5,65,75,85,148,140,17286,17223,9034.132,14.028,8993.619,481.689,13.034,0.3557
22232,22.2320,0.40,-0.00,0.6700,-1,68,79,81,137,139,17423,17362,9106.388,13.650,9064.073,497.732,12.621,0.3270
22233,22.2330,0.40,-0.00,0.6700,-1,68,79,81,137,139,17560,17501,9178.643,13.145,9134.640,513.265,12.207,0.0000
22454,22.4540,0.50,-0.40,0.6000,-1,68,79,81,168,161,17728,17662,9264.772,12.469,9218.588,532.539,13.655,0.3897
22675,22.6750,0.70,-0.10,0.5000,-3,68,77,83,160,157,17888,17819,9347.758,11.600,9299.125,552.568,14.276,0.3755
22807,22.8070,0.70,0.30,0.4000,-5,74,75,85,86,87,17974,17906,9393.046,11.046,9343.038,563.657,14.069,0.3431
22939,22.9390,0.60,-1.00,0.3100,0,62,80,80,82,85,18056,17991,9436.763,10.551,9385.504,574.055,13.448,0.3312
22940,22.9400,0.60,-1.00,0.3100,0,62,80,80,82,85,18138,18076,9480.481,10.093,9428.080,583.993,12.828,0.0000
23061,23.0610,0.60,-1.50,0.2300,2,70,82,78,86,86,18224,18162,9525.508,9.621,9471.986,593.990,12.828,0.3721
23066,23.0660,0.60,-1.50,0.2300,2,70,82,78,86,86,18310,18248,9570.535,9.150,9515.891,603.987,12.828,9.0059
23195,23.1950,0.30,-1.20,0.1700,2,20,82,78,87,86,18397,18334,9615.825,8.794,9560.034,614.122,13.034,0.3511
23407,23.4070,0.20,-0.70,0.1400,1,34,81,79,155,154,18552,18488,9696.721,8.441,9638.813,632.510,13.241,0.3816
23530,23.5300,0.20,-0.20,0.1100,-1,51,79,81,82,87,18634,18575,9740.964,8.286,9681.970,642.255,12.207,0.3597
23534,23.5340,0.20,-0.20,0.1100,-1,51,79,81,82,87,18716,18662,9785.208,8.132,9725.297,651.219,11.172,11.0610
23656,23.6560,0.30,-0.30,0.0800,-1,22,79,81,77,76,18793,18738,9825.263,7.957,9764.579,659.051,11.379,0.3283
23867,23.8670,0.00,-0.40,0.0800,1,37,81,79,144,144,18937,18882,9900.661,7.760,9838.495,673.928,11.379,0.3573
23868,23.8680,0.00,-0.40,0.0800,1,60,81,79,0,1,18937,18883,9900.923,7.760,9838.752,673.979,11.172,0.0000
24080,24.0800,-0.30,-0.70,0.1200,4,63,84,76,149,150,19086,19033,9979.201,7.965,9915.573,689.007,10.966,0.3692
