t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
7026,7.0260,-0.30,-0.60,-0.2000,0,9,9,9,99,106,6624,6619,3466.760,18.522,0.4835
7149,7.1490,-0.30,-1.60,-0.1900,1,9,10,8,108,109,6732,6728,3523.569,18.225,0.4619
7153,7.1530,-0.30,-1.50,-0.1900,0,9,9,9,17,16,6749,6744,3532.208,18.180,2.1598
7255,7.2550,-0.30,-0.60,-0.1900,0,10,10,10,91,90,6840,6834,3579.594,17.932,0.4646
7372,7.3720,-0.30,-0.20,-0.1800,1,9,10,8,116,114,6956,6948,3639.807,17.616,0.5146
7381,7.3810,-0.30,0.10,-0.1800,0,10,10,10,4,4,6960,6952,3641.901,17.605,0.2327
7486,7.4860,-0.30,-0.90,-0.1800,1,9,10,8,105,108,7065,7060,3697.663,17.313,0.5311
7605,7.6050,-0.40,-1.50,-0.1700,0,9,9,9,112,103,7177,7163,3753.949,16.920,0.4730
7613,7.6130,-0.40,-1.90,-0.1700,0,11,11,11,1,1,7178,7164,3754.473,16.917,0.0654
7671,7.6710,-0.40,-1.00,-0.1700,0,11,11,11,57,60,7235,7224,3785.102,16.703,0.5281
7820,7.8200,-0.30,-0.30,-0.1600,0,9,9,9,134,127,7369,7351,3853.431,16.345,0.4586
7820,7.8200,-0.30,0.90,-0.1600,-1,10,9,11,33,32,7402,7383,3870.448,16.256,1.7017
7938,7.9380,0.10,1.80,-0.1600,-1,10,9,11,12,11,7414,7394,3876.469,16.267,0.0510
7938,7.9380,0.10,-0.20,-0.1600,0,9,9,9,110,116,7524,7510,3935.636,16.370,5.9167
8057,8.0570,0.10,-1.10,-0.1600,0,8,8,8,113,112,7637,7622,3994.540,16.473,0.4950
8065,8.0650,0.10,-1.60,-0.1600,1,9,10,8,12,12,7649,7634,4000.824,16.484,0.7854
8172,8.1720,0.20,2.30,-0.1600,-1,10,9,11,95,88,7744,7722,4048.733,16.651,0.4478
8290,8.2900,0.30,4.50,-0.1700,-1,9,8,10,112,112,7856,7834,4107.375,16.958,0.4970
8298,8.2980,0.30,6.10,-0.1700,-2,10,8,12,6,7,7862,7841,4110.778,16.976,0.4254
8404,8.4040,0.30,2.00,-0.1700,-1,9,8,10,97,105,7959,7946,4163.661,17.253,0.4989
8523,8.5230,0.20,-0.10,-0.1800,0,9,9,9,103,108,8062,8054,4218.900,17.445,0.4642
8531,8.5310,0.20,-1.70,-0.1800,0,10,10,10,3,3,8065,8057,4220.471,17.451,0.1963
8628,8.6280,-0.70,-3.60,-0.1700,2,10,12,8,88,92,8153,8149,4267.591,16.875,0.4858
8751,8.7510,-0.80,-4.40,-0.1600,2,9,11,7,113,101,8266,8250,4323.611,16.093,0.4555
8755,8.7550,-0.80,-4.80,-0.1500,1,10,11,9,17,15,8283,8265,4331.988,15.976,2.0944
8856,8.8560,-0.40,1.10,-0.1500,0,10,10,10,97,88,8380,8353,4380.420,15.638,0.4795
8975,8.9750,-0.20,4.20,-0.1400,-2,9,7,11,112,113,8492,8466,4439.324,15.432,0.4950
8983,8.9830,-0.20,6.50,-0.1400,-3,11,8,14,1,1,8493,8467,4439.848,15.430,0.0654
9089,9.0890,0.30,1.50,-0.1400,-1,10,9,11,108,116,8601,8583,4498.490,15.737,0.5532
9207,9.2070,0.20,-1.20,-0.1500,0,9,9,9,116,121,8717,8704,4560.536,15.954,0.5258
9215,9.2150,0.20,-2.60,-0.1500,1,9,10,8,12,14,8729,8718,4567.343,15.978,0.8508
9313,9.3130,-0.20,-0.40,-0.1500,0,9,9,9,93,88,8822,8806,4614.728,15.812,0.4835
9434,9.4340,-0.10,1.10,-0.1500,-1,9,8,10,108,104,8930,8910,4670.229,15.716,0.4587
9439,9.4390,-0.10,3.00,-0.1500,-1,11,10,12,2,1,8932,8911,4671.015,15.714,0.1571
9545,9.5450,-0.10,-0.50,-0.1400,0,10,10,10,95,101,9027,9012,4722.327,15.625,0.4841
9733,9.7330,-0.70,-2.40,-0.1400,1,9,10,8,108,112,9135,9124,4779.919,14.921,0.3064
9734,9.7340,-0.70,-1.00,-0.1400,1,9,10,8,78,78,9213,9202,4820.757,14.422,40.8407
9862,9.8620,-0.60,-0.00,-0.1300,0,9,9,9,108,112,9321,9314,4878.349,13.819,0.4500
9871,9.8710,-0.60,0.30,-0.1200,0,10,10,10,3,4,9324,9318,4880.182,13.800,0.2036
9976,9.9760,-0.90,-0.20,-0.1100,1,9,10,8,105,105,9429,9423,4935.153,12.936,0.5236
