HB:t=5409,m=S,run=1,el=154,er=152,yaw=0.2,yr=-0.1,pc=57,hd=0,dp=0,OL=80,OR=80,hi=1.13
HB:t=5630,m=S,run=1,el=151,er=155,yaw=0.1,yr=-0.5,pc=64,hd=2,dp=2,OL=82,OR=78,hi=1.12
HB:t=5631,m=S,run=1,el=151,er=155,yaw=0.1,yr=-0.5,pc=64,hd=2,dp=2,OL=82,OR=78,hi=1.12
HB:t=5762,m=S,run=1,el=84,er=85,yaw=0.1,yr=-0.1,pc=75,hd=1,dp=0,OL=81,OR=79,hi=1.10
HB:t=5762,m=S,run=1,el=84,er=85,yaw=0.1,yr=-0.1,pc=75,hd=1,dp=0,OL=81,OR=79,hi=1.10
HB:t=5894,m=S,run=1,el=88,er=89,yaw=0.0,yr=-0.4,pc=56,hd=2,dp=1,OL=82,OR=78,hi=1.09
HB:t=5895,m=S,run=1,el=0,er=0,yaw=0.0,yr=-0.4,pc=77,hd=2,dp=1,OL=82,OR=78,hi=1.08
HB:t=6107,m=S,run=1,el=162,er=162,yaw=-0.0,yr=-0.5,pc=76,hd=3,dp=2,OL=83,OR=77,hi=1.09
HB:t=6107,m=S,run=1,el=162,er=162,yaw=-0.0,yr=-0.5,pc=76,hd=3,dp=2,OL=83,OR=77,hi=1.09
HB:t=6328,m=S,run=1,el=166,er=163,yaw=-0.1,yr=-0.2,pc=76,hd=2,dp=1,OL=82,OR=78,hi=1.10
HB:t=6329,m=S,run=1,el=166,er=163,yaw=-0.1,yr=-0.2,pc=76,hd=2,dp=1,OL=82,OR=78,hi=1.10
HB:t=6550,m=S,run=1,el=159,er=157,yaw=0.0,yr=0.4,pc=76,hd=0,dp=-1,OL=80,OR=80,hi=1.10
HB:t=6550,m=S,run=1,el=159,er=157,yaw=0.0,yr=0.4,pc=76,hd=0,dp=-1,OL=80,OR=80,hi=1.10
HB:t=6681,m=S,run=1,el=94,er=94,yaw=0.0,yr=0.7,pc=82,hd=-1,dp=-2,OL=81,OR=83,hi=1.09
HB:t=6682,m=S,run=1,el=94,er=94,yaw=0.0,yr=0.7,pc=82,hd=-1,dp=-2,OL=81,OR=83,hi=1.09
HB:t=6814,m=S,run=1,el=99,er=100,yaw=-0.0,yr=-0.2,pc=33,hd=2,dp=1,OL=82,OR=78,hi=1.09
HB:t=7026,m=S,run=1,el=161,er=168,yaw=-0.3,yr=-0.7,pc=46,hd=5,dp=2,OL=85,OR=75,hi=1.13
