HB:t=6198,m=S,run=1,el=230,er=228,yaw=-0.2,yr=0.0,pc=14,hd=1,dp=0,OL=95,OR=93,hi=0.04
HB:t=6198,m=S,run=1,el=230,er=228,yaw=-0.2,yr=0.0,pc=14,hd=1,dp=0,OL=95,OR=93,hi=0.04
HB:t=6419,m=S,run=1,el=231,er=232,yaw=-0.3,yr=-0.1,pc=17,hd=2,dp=0,OL=99,OR=95,hi=0.04
HB:t=6420,m=S,run=1,el=231,er=232,yaw=-0.3,yr=-0.1,pc=17,hd=2,dp=0,OL=99,OR=95,hi=0.04
HB:t=6641,m=S,run=1,el=228,er=232,yaw=-0.6,yr=-1.2,pc=18,hd=8,dp=4,OL=106,OR=90,hi=0.05
HB:t=6641,m=S,run=1,el=228,er=232,yaw=-0.6,yr=-1.2,pc=18,hd=8,dp=4,OL=106,OR=90,hi=0.05
HB:t=6772,m=S,run=1,el=141,er=142,yaw=-0.7,yr=-1.9,pc=20,hd=11,dp=6,OL=111,OR=89,hi=0.05
HB:t=6773,m=S,run=1,el=0,er=0,yaw=-0.7,yr=-1.9,pc=22,hd=11,dp=6,OL=113,OR=91,hi=0.05
HB:t=6905,m=S,run=1,el=142,er=139,yaw=-0.7,yr=0.5,pc=11,hd=3,dp=-2,OL=94,OR=88,hi=0.05
HB:t=7116,m=S,run=1,el=230,er=224,yaw=-0.3,yr=1.1,pc=14,hd=-1,dp=-3,OL=93,OR=95,hi=0.05
HB:t=7117,m=S,run=1,el=230,er=224,yaw=-0.3,yr=1.1,pc=14,hd=-1,dp=-3,OL=93,OR=95,hi=0.05
HB:t=7338,m=S,run=1,el=231,er=232,yaw=-0.2,yr=0.0,pc=17,hd=1,dp=0,OL=98,OR=96,hi=0.05
HB:t=7338,m=S,run=1,el=231,er=232,yaw=-0.2,yr=0.0,pc=17,hd=1,dp=0,OL=98,OR=96,hi=0.05
HB:t=7559,m=S,run=1,el=233,er=230,yaw=-0.3,yr=-0.4,pc=18,hd=3,dp=1,OL=101,OR=95,hi=0.05
HB:t=7560,m=S,run=1,el=233,er=230,yaw=-0.3,yr=-0.4,pc=18,hd=3,dp=1,OL=101,OR=95,hi=0.05
HB:t=7780,m=S,run=1,el=239,er=240,yaw=-0.3,yr=0.0,pc=20,hd=2,dp=0,OL=102,OR=98,hi=0.05
HB:t=7781,m=S,run=1,el=239,er=240,yaw=-0.3,yr=0.0,pc=20,hd=2,dp=0,OL=102,OR=98,hi=0.05
HB:t=7912,m=S,run=1,el=148,er=149,yaw=-0.3,yr=0.3,pc=21,hd=1,dp=-1,OL=102,OR=100,hi=0.06
HB:t=7912,m=S,run=1,el=148,er=149,yaw=-0.3,yr=0.3,pc=21,hd=1,dp=-1,OL=102,OR=100,hi=0.06
HB:t=8044,m=S,run=1,el=138,er=140,yaw=-0.4,yr=0.9,pc=11,hd=0,dp=-3,OL=91,OR=91,hi=0.06
HB:t=8045,m=S,run=1,el=138,er=140,yaw=-0.4,yr=0.9,pc=11,hd=0,dp=-3,OL=91,OR=91,hi=0.06
HB:t=8256,m=S,run=1,el=226,er=226,yaw=-0.4,yr=0.1,pc=14,hd=2,dp=0,OL=96,OR=92,hi=0.06
HB:t=8257,m=S,run=1,el=226,er=226,yaw=-0.4,yr=0.1,pc=14,hd=2,dp=0,OL=96,OR=92,hi=0.06
HB:t=8478,m=S,run=1,el=225,er=223,yaw=-0.6,yr=-0.6,pc=17,hd=6,dp=2,OL=103,OR=91,hi=0.06
HB:t=8478,m=S,run=1,el=225,er=223,yaw=-0.6,yr=-0.6,pc=17,hd=6,dp=2,OL=103,OR=91,hi=0.06
HB:t=8699,m=S,run=1,el=232,er=228,yaw=-0.5,yr=0.2,pc=18,hd=2,dp=-1,OL=100,OR=96,hi=0.06
HB:t=8700,m=S,run=1,el=232,er=228,yaw=-0.5,yr=0.2,pc=18,hd=2,dp=-1,OL=100,OR=96,hi=0.06
HB:t=8920,m=S,run=1,el=239,er=240,yaw=-0.5,yr=-0.1,pc=19,hd=3,dp=0,OL=102,OR=96,hi=0.07
HB:t=8921,m=S,run=1,el=239,er=240,yaw=-0.5,yr=-0.1,pc=19,hd=3,dp=0,OL=102,OR=96,hi=0.07
HB:t=9052,m=S,run=1,el=144,er=147,yaw=-0.5,yr=-0.4,pc=21,hd=4,dp=1,OL=105,OR=97,hi=0.07
HB:t=9052,m=S,run=1,el=144,er=147,yaw=-0.5,yr=-0.4,pc=21,hd=4,dp=1,OL=105,OR=97,hi=0.07
HB:t=9184,m=S,run=1,el=139,er=136,yaw=-0.4,yr=0.6,pc=11,hd=1,dp=-2,OL=92,OR=90,hi=0.07
HB:t=9184,m=S,run=1,el=139,er=136,yaw=-0.4,yr=0.6,pc=11,hd=1,dp=-2,OL=92,OR=90,hi=0.07
HB:t=9397,m=S,run=1,el=220,er=220,yaw=-0.5,yr=0.3,pc=14,hd=2,dp=-1,OL=96,OR=92,hi=0.07
HB:t=9397,m=S,run=1,el=220,er=220,yaw=-0.5,yr=0.3,pc=14,hd=2,dp=-1,OL=96,OR=92,hi=0.07
HB:t=9618,m=S,run=1,el=222,er=221,yaw=-0.7,yr=-0.5,pc=16,hd=6,dp=2,OL=102,OR=90,hi=0.07
HB:t=9619,m=S,run=1,el=222,er=221,yaw=-0.7,yr=-0.5,pc=16,hd=6,dp=2,OL=102,OR=90,hi=0.07
HB:t=9840,m=S,run=1,el=230,er=225,yaw=-0.5,yr=0.2,pc=18,hd=2,dp=-1,OL=100,OR=96,hi=0.08
HB:t=9840,m=S,run=1,el=230,er=225,yaw=-0.5,yr=0.2,pc=18,hd=2,dp=-1,OL=100,OR=96,hi=0.08
HB:t=9971,m=S,run=1,el=140,er=142,yaw=-0.4,yr=0.8,pc=20,hd=0,dp=-2,OL=100,OR=100,hi=0.08
HB:t=9971,m=S,run=1,el=140,er=142,yaw=-0.4,yr=0.8,pc=20,hd=0,dp=-2,OL=100,OR=100,hi=0.08
HB:t=10103,m=S,run=1,el=135,er=134,yaw=-0.4,yr=-0.0,pc=7,hd=2,dp=0,OL=89,OR=85,hi=0.08
HB:t=10104,m=S,run=1,el=135,er=134,yaw=-0.4,yr=-0.0,pc=7,hd=2,dp=0,OL=89,OR=85,hi=0.08
HB:t=10225,m=S,run=1,el=129,er=126,yaw=-0.4,yr=-0.3,pc=12,hd=3,dp=1,OL=95,OR=89,hi=0.08
HB:t=10230,m=S,run=1,el=129,er=126,yaw=-0.4,yr=-0.3,pc=12,hd=3,dp=1,OL=95,OR=89,hi=0.08
HB:t=10359,m=S,run=1,el=121,er=118,yaw=-0.1,yr=0.8,pc=1,hd=-2,dp=-3,OL=79,OR=83,hi=0.08
HB:t=10481,m=S,run=1,el=114,er=116,yaw=-0.1,yr=0.6,pc=8,hd=-1,dp=-2,OL=87,OR=89,hi=0.08
HB:t=10485,m=S,run=1,el=2,er=1,yaw=-0.1,yr=0.6,pc=14,hd=-1,dp=-2,OL=93,OR=95,hi=0.08
HB:t=10605,m=S,run=1,el=107,er=106,yaw=-0.3,yr=0.1,pc=10,hd=2,dp=0,OL=92,OR=88,hi=0.08
HB:t=10817,m=S,run=1,el=209,er=207,yaw=-0.2,yr=1.0,pc=14,hd=-2,dp=-3,OL=92,OR=96,hi=0.08
HB:t=10818,m=S,run=1,el=209,er=207,yaw=-0.2,yr=1.0,pc=14,hd=-2,dp=-3,OL=92,OR=96,hi=0.08
HB:t=11039,m=S,run=1,el=224,er=225,yaw=-0.2,yr=0.3,pc=17,hd=0,dp=-1,OL=97,OR=97,hi=0.08
HB:t=11039,m=S,run=1,el=224,er=225,yaw=-0.2,yr=0.3,pc=17,hd=0,dp=-1,OL=97,OR=97,hi=0.08
HB:t=11170,m=S,run=1,el=139,er=141,yaw=-0.2,yr=-0.2,pc=19,hd=2,dp=1,OL=101,OR=97,hi=0.08
HB:t=11171,m=S,run=1,el=139,er=141,yaw=-0.2,yr=-0.2,pc=19,hd=2,dp=1,OL=101,OR=97,hi=0.08
HB:t=11303,m=S,run=1,el=135,er=133,yaw=-0.2,yr=0.3,pc=7,hd=0,dp=-1,OL=87,OR=87,hi=0.08
HB:t=11515,m=S,run=1,el=212,er=208,yaw=-0.2,yr=-0.2,pc=12,hd=2,dp=1,OL=94,OR=90,hi=0.08
HB:t=11515,m=S,run=1,el=212,er=208,yaw=-0.2,yr=-0.2,pc=12,hd=2,dp=1,OL=94,OR=90,hi=0.08
HB:t=11736,m=S,run=1,el=214,er=215,yaw=-0.3,yr=0.1,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.08
HB:t=11736,m=S,run=1,el=214,er=215,yaw=-0.3,yr=0.1,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.08
HB:t=11958,m=S,run=1,el=232,er=228,yaw=-0.1,yr=0.8,pc=18,hd=-2,dp=-3,OL=96,OR=100,hi=0.09
HB:t=11958,m=S,run=1,el=232,er=228,yaw=-0.1,yr=0.8,pc=18,hd=-2,dp=-3,OL=96,OR=100,hi=0.09
HB:t=12179,m=S,run=1,el=239,er=243,yaw=-0.1,yr=0.2,pc=19,hd=0,dp=-1,OL=99,OR=99,hi=0.09
HB:t=12179,m=S,run=1,el=239,er=243,yaw=-0.1,yr=0.2,pc=19,hd=0,dp=-1,OL=99,OR=99,hi=0.09
HB:t=12310,m=S,run=1,el=149,er=148,yaw=-0.2,yr=0.2,pc=21,hd=0,dp=-1,OL=101,OR=101,hi=0.09
HB:t=12311,m=S,run=1,el=149,er=148,yaw=-0.2,yr=0.2,pc=21,hd=0,dp=-1,OL=101,OR=101,hi=0.09
HB:t=12442,m=S,run=1,el=137,er=135,yaw=-0.1,yr=1.2,pc=7,hd=-3,dp=-4,OL=84,OR=90,hi=0.09
HB:t=12654,m=S,run=1,el=208,er=216,yaw=-0.5,yr=-0.8,pc=12,hd=6,dp=3,OL=98,OR=86,hi=0.09
HB:t=12654,m=S,run=1,el=208,er=216,yaw=-0.5,yr=-0.8,pc=12,hd=6,dp=3,OL=98,OR=86,hi=0.09
HB:t=12876,m=S,run=1,el=219,er=217,yaw=-0.7,yr=-0.0,pc=15,hd=4,dp=0,OL=99,OR=91,hi=0.09
HB:t=12876,m=S,run=1,el=219,er=217,yaw=-0.7,yr=-0.0,pc=15,hd=4,dp=0,OL=99,OR=91,hi=0.09
HB:t=13097,m=S,run=1,el=232,er=232,yaw=-0.5,yr=0.4,pc=17,hd=2,dp=-1,OL=99,OR=95,hi=0.09
HB:t=13097,m=S,run=1,el=232,er=232,yaw=-0.5,yr=0.4,pc=17,hd=2,dp=-1,OL=99,OR=95,hi=0.09
HB:t=13318,m=S,run=1,el=243,er=244,yaw=-0.6,yr=-0.8,pc=19,hd=6,dp=3,OL=105,OR=93,hi=0.10
HB:t=13319,m=S,run=1,el=243,er=244,yaw=-0.6,yr=-0.8,pc=19,hd=6,dp=3,OL=105,OR=93,hi=0.10
HB:t=13539,m=S,run=1,el=249,er=242,yaw=-0.4,yr=0.3,pc=20,hd=2,dp=-1,OL=102,OR=98,hi=0.10
HB:t=13539,m=S,run=1,el=249,er=242,yaw=-0.4,yr=0.3,pc=20,hd=2,dp=-1,OL=102,OR=98,hi=0.10
HB:t=13670,m=S,run=1,el=145,er=143,yaw=-0.4,yr=0.8,pc=21,hd=0,dp=-3,OL=101,OR=101,hi=0.10
HB:t=13670,m=S,run=1,el=145,er=143,yaw=-0.4,yr=0.8,pc=21,hd=0,dp=-3,OL=101,OR=101,hi=0.10
HB:t=13802,m=S,run=1,el=138,er=139,yaw=-0.5,yr=0.5,pc=6,hd=1,dp=-2,OL=87,OR=85,hi=0.10
HB:t=13803,m=S,run=1,el=1,er=0,yaw=-0.5,yr=0.5,pc=12,hd=1,dp=-2,OL=93,OR=91,hi=0.10
HB:t=14015,m=S,run=1,el=235,er=234,yaw=-0.3,yr=0.6,pc=14,hd=0,dp=-2,OL=94,OR=94,hi=0.10
HB:t=14015,m=S,run=1,el=235,er=234,yaw=-0.3,yr=0.6,pc=14,hd=0,dp=-2,OL=94,OR=94,hi=0.10
HB:t=14236,m=S,run=1,el=238,er=238,yaw=-0.2,yr=0.3,pc=17,hd=1,dp=-1,OL=98,OR=96,hi=0.10
HB:t=14237,m=S,run=1,el=238,er=238,yaw=-0.2,yr=0.3,pc=17,hd=1,dp=-1,OL=98,OR=96,hi=0.10
HB:t=14458,m=S,run=1,el=244,er=241,yaw=-0.3,yr=-0.5,pc=18,hd=3,dp=2,OL=101,OR=95,hi=0.11
HB:t=14458,m=S,run=1,el=244,er=241,yaw=-0.3,yr=-0.5,pc=18,hd=3,dp=2,OL=101,OR=95,hi=0.11
HB:t=14589,m=S,run=1,el=143,er=141,yaw=-0.3,yr=-0.3,pc=20,hd=3,dp=1,OL=103,OR=97,hi=0.11
HB:t=14589,m=S,run=1,el=143,er=141,yaw=-0.3,yr=-0.3,pc=20,hd=3,dp=1,OL=103,OR=97,hi=0.11
HB:t=14722,m=S,run=1,el=135,er=136,yaw=-0.2,yr=-0.4,pc=6,hd=3,dp=1,OL=89,OR=83,hi=0.11
HB:t=14722,m=S,run=1,el=135,er=136,yaw=-0.2,yr=-0.4,pc=6,hd=3,dp=1,OL=89,OR=83,hi=0.11
HB:t=14934,m=S,run=1,el=227,er=225,yaw=-0.2,yr=0.4,pc=11,hd=0,dp=-1,OL=91,OR=91,hi=0.11
HB:t=14935,m=S,run=1,el=227,er=225,yaw=-0.2,yr=0.4,pc=11,hd=0,dp=-1,OL=91,OR=91,hi=0.11
HB:t=15156,m=S,run=1,el=223,er=224,yaw=-0.0,yr=0.5,pc=14,hd=-2,dp=-2,OL=92,OR=96,hi=0.11
HB:t=15156,m=S,run=1,el=223,er=224,yaw=-0.0,yr=0.5,pc=14,hd=-2,dp=-2,OL=92,OR=96,hi=0.11
HB:t=15377,m=S,run=1,el=236,er=239,yaw=-0.2,yr=-0.3,pc=16,hd=2,dp=1,OL=98,OR=94,hi=0.11
HB:t=15377,m=S,run=1,el=236,er=239,yaw=-0.2,yr=-0.3,pc=16,hd=2,dp=1,OL=98,OR=94,hi=0.11
HB:t=15508,m=S,run=1,el=141,er=137,yaw=-0.3,yr=0.2,pc=19,hd=1,dp=-1,OL=100,OR=98,hi=0.11
HB:t=15509,m=S,run=1,el=141,er=137,yaw=-0.3,yr=0.2,pc=19,hd=1,dp=-1,OL=100,OR=98,hi=0.11
HB:t=15641,m=S,run=1,el=134,er=132,yaw=-0.2,yr=-0.5,pc=2,hd=3,dp=1,OL=85,OR=79,hi=0.11
HB:t=15763,m=S,run=1,el=129,er=125,yaw=-0.2,yr=-0.2,pc=8,hd=2,dp=1,OL=90,OR=86,hi=0.11
