HB:t=4378,m=S,run=1,el=34,er=59,yaw=21.8,yr=41.9,pc=15,hd=-12,OL=3,OR=27
HB:t=4390,m=S,run=1,el=17,er=24,yaw=23.0,yr=33.5,pc=-60,hd=-5,OL=-60,OR=-55
HB:t=4413,m=S,run=1,el=21,er=32,yaw=22.7,yr=2.6,pc=-53,hd=-5,OL=-58,OR=-48
HB:t=4532,m=S,run=1,el=-217,er=-92,yaw=22.4,yr=0.9,pc=60,hd=-5,OL=55,OR=60
HB:t=4578,m=S,run=1,el=-28,er=2,yaw=18.9,yr=-41.5,pc=-34,hd=1,OL=-33,OR=-35
HB:t=4590,m=S,run=1,el=-26,er=-16,yaw=17.2,yr=-41.7,pc=60,hd=-4,OL=56,OR=60
HB:t=4613,m=S,run=1,el=-32,er=-30,yaw=16.6,yr=-25.2,pc=59,hd=-4,OL=55,OR=60
HB:t=4732,m=S,run=1,el=227,er=298,yaw=16.2,yr=-17.9,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=4778,m=S,run=1,el=31,er=67,yaw=18.6,yr=15.6,pc=11,hd=-9,OL=2,OR=20
HB:t=4790,m=S,run=1,el=19,er=24,yaw=19.8,yr=24.2,pc=-60,hd=-4,OL=-60,OR=-56
HB:t=4813,m=S,run=1,el=22,er=32,yaw=19.5,yr=-1.4,pc=-58,hd=-4,OL=-60,OR=-54
HB:t=4932,m=S,run=1,el=-235,er=-141,yaw=19.3,yr=-1.5,pc=60,hd=-4,OL=56,OR=60
HB:t=4978,m=S,run=1,el=-28,er=-4,yaw=16.6,yr=-33.0,pc=-33,hd=0,OL=-33,OR=-33
HB:t=4990,m=S,run=1,el=-26,er=-17,yaw=15.3,yr=-32.7,pc=60,hd=-3,OL=57,OR=60
HB:t=5013,m=S,run=1,el=-34,er=-30,yaw=14.6,yr=-23.8,pc=56,hd=-3,OL=53,OR=59
HB:t=5132,m=S,run=1,el=188,er=282,yaw=14.0,yr=-17.6,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=5178,m=S,run=1,el=26,er=60,yaw=15.3,yr=2.7,pc=19,hd=-6,OL=13,OR=25
HB:t=5190,m=S,run=1,el=19,er=25,yaw=15.9,yr=10.2,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=5213,m=S,run=1,el=26,er=32,yaw=15.5,yr=-5.9,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=5332,m=S,run=1,el=-224,er=-132,yaw=15.1,yr=-5.1,pc=60,hd=-3,OL=57,OR=60
HB:t=5378,m=S,run=1,el=-25,er=-6,yaw=13.3,yr=-25.4,pc=-34,hd=0,OL=-34,OR=-34
HB:t=5390,m=S,run=1,el=-24,er=-21,yaw=12.5,yr=-22.1,pc=60,hd=-3,OL=57,OR=60
HB:t=5413,m=S,run=1,el=-32,er=-32,yaw=12.3,yr=-11.7,pc=55,hd=-3,OL=52,OR=58
HB:t=5532,m=S,run=1,el=196,er=280,yaw=12.1,yr=-8.2,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=5578,m=S,run=1,el=24,er=65,yaw=15.3,yr=31.9,pc=16,hd=-9,OL=7,OR=25
HB:t=5591,m=S,run=1,el=17,er=23,yaw=16.7,yr=32.6,pc=-60,hd=-4,OL=-60,OR=-56
HB:t=5613,m=S,run=1,el=23,er=32,yaw=16.3,yr=0.1,pc=-60,hd=-4,OL=-60,OR=-56
HB:t=5731,m=S,run=1,el=-205,er=-128,yaw=15.9,yr=-1.2,pc=60,hd=-3,OL=57,OR=60
HB:t=5778,m=S,run=1,el=-25,er=-9,yaw=12.2,yr=-44.2,pc=-35,hd=2,OL=-33,OR=-37
HB:t=5790,m=S,run=1,el=-22,er=-17,yaw=11.1,yr=-34.9,pc=60,hd=-2,OL=58,OR=60
HB:t=5813,m=S,run=1,el=-30,er=-30,yaw=11.3,yr=-3.2,pc=54,hd=-2,OL=52,OR=56
HB:t=5931,m=S,run=1,el=237,er=236,yaw=11.9,yr=0.1,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=5978,m=S,run=1,el=29,er=50,yaw=13.1,yr=17.3,pc=20,hd=-4,OL=16,OR=24
HB:t=5990,m=S,run=1,el=20,er=28,yaw=11.5,yr=-15.8,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=6013,m=S,run=1,el=29,er=33,yaw=10.5,yr=-25.9,pc=-49,hd=-2,OL=-51,OR=-47
HB:t=6132,m=S,run=1,el=-160,er=-47,yaw=9.6,yr=-19.8,pc=60,hd=-2,OL=58,OR=60
HB:t=6178,m=S,run=1,el=-8,er=5,yaw=7.4,yr=-41.4,pc=-44,hd=0,OL=-44,OR=-44
HB:t=6190,m=S,run=1,el=-24,er=-23,yaw=6.1,yr=-35.4,pc=60,hd=-1,OL=59,OR=60
HB:t=6213,m=S,run=1,el=-34,er=-24,yaw=5.0,yr=-33.1,pc=46,hd=-1,OL=45,OR=47
HB:t=6332,m=S,run=1,el=151,er=182,yaw=4.5,yr=-23.4,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=6378,m=S,run=1,el=7,er=20,yaw=1.5,yr=-48.2,pc=55,hd=3,OL=58,OR=52
HB:t=6390,m=S,run=1,el=24,er=25,yaw=1.4,yr=-20.8,pc=-60,hd=0,OL=-60,OR=-60
HB:t=6413,m=S,run=1,el=35,er=33,yaw=1.3,yr=-9.5,pc=-47,hd=0,OL=-47,OR=-47
HB:t=6532,m=S,run=1,el=-110,er=-87,yaw=1.2,yr=-6.5,pc=60,hd=0,OL=60,OR=60
HB:t=6578,m=S,run=1,el=0,er=1,yaw=1.6,yr=1.3,pc=-47,hd=-1,OL=-48,OR=-46
HB:t=6590,m=S,run=1,el=-22,er=-20,yaw=1.3,yr=-3.6,pc=60,hd=0,OL=60,OR=60
HB:t=6613,m=S,run=1,el=-30,er=-32,yaw=1.3,yr=-0.7,pc=58,hd=0,OL=58,OR=58
HB:t=6732,m=S,run=1,el=246,er=283,yaw=1.2,yr=-0.9,pc=-60,hd=0,OL=-60,OR=-60
HB:t=6778,m=S,run=1,el=32,er=63,yaw=3.7,yr=26.1,pc=14,hd=-5,OL=9,OR=19
HB:t=6790,m=S,run=1,el=20,er=22,yaw=5.1,yr=31.5,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=6813,m=S,run=1,el=24,er=31,yaw=4.9,yr=3.0,pc=-58,hd=-1,OL=-59,OR=-57
HB:t=6932,m=S,run=1,el=-209,er=-155,yaw=4.8,yr=1.9,pc=60,hd=-1,OL=59,OR=60
HB:t=6978,m=S,run=1,el=-29,er=-9,yaw=2.5,yr=-26.5,pc=-38,hd=3,OL=-35,OR=-41
HB:t=6990,m=S,run=1,el=-25,er=-19,yaw=1.3,yr=-27.8,pc=60,hd=0,OL=60,OR=60
HB:t=7013,m=S,run=1,el=-34,er=-32,yaw=1.0,yr=-17.0,pc=57,hd=0,OL=57,OR=57
HB:t=7132,m=S,run=1,el=220,er=273,yaw=0.7,yr=-11.9,pc=-60,hd=0,OL=-60,OR=-60
HB:t=7178,m=S,run=1,el=30,er=58,yaw=4.6,yr=37.3,pc=19,hd=-8,OL=11,OR=27
HB:t=7190,m=S,run=1,el=20,er=22,yaw=6.5,yr=43.0,pc=-60,hd=-1,OL=-60,OR=-59
HB:t=7213,m=S,run=1,el=22,er=32,yaw=6.4,yr=8.2,pc=-51,hd=-1,OL=-52,OR=-50
HB:t=7332,m=S,run=1,el=-176,er=-91,yaw=6.5,yr=5.8,pc=60,hd=-1,OL=59,OR=60
HB:t=7378,m=S,run=1,el=-12,er=1,yaw=6.2,yr=0.3,pc=-43,hd=0,OL=-43,OR=-43
HB:t=7390,m=S,run=1,el=-23,er=-17,yaw=6.0,yr=-3.4,pc=60,hd=-1,OL=59,OR=60
HB:t=7413,m=S,run=1,el=-35,er=-33,yaw=6.5,yr=10.8,pc=60,hd=-1,OL=59,OR=60
HB:t=7532,m=S,run=1,el=258,er=276,yaw=6.9,yr=8.4,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=7578,m=S,run=1,el=42,er=52,yaw=13.2,yr=85.0,pc=16,hd=-12,OL=4,OR=28
