HB:t=12465,m=S,run=1,el=99,er=97,yaw=0.4,yr=-0.8,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=12465,m=S,run=1,el=76,er=76,yaw=0.4,yr=-1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=12594,m=S,run=1,el=105,er=106,yaw=0.4,yr=-1.2,pc=12,hd=0,dp=0,OL=12,OR=12
HB:t=12603,m=S,run=1,el=2,er=2,yaw=0.4,yr=-1.2,pc=14,hd=0,dp=0,OL=14,OR=14
HB:t=12713,m=S,run=1,el=118,er=119,yaw=0.4,yr=-0.2,pc=12,hd=-1,dp=0,OL=11,OR=13
HB:t=12901,m=S,run=1,el=115,er=116,yaw=0.4,yr=0.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=12902,m=S,run=1,el=76,er=78,yaw=0.4,yr=0.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=13031,m=S,run=1,el=98,er=100,yaw=0.3,yr=0.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=13039,m=S,run=1,el=5,er=5,yaw=0.3,yr=0.0,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=13150,m=S,run=1,el=89,er=94,yaw=-0.2,yr=-1.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13339,m=S,run=1,el=89,er=87,yaw=-0.3,yr=-1.6,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=13339,m=S,run=1,el=65,er=63,yaw=-0.3,yr=-0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13541,m=S,run=1,el=85,er=84,yaw=-0.3,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13542,m=S,run=1,el=66,er=67,yaw=-0.3,yr=-0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13741,m=S,run=1,el=87,er=90,yaw=-0.4,yr=-0.9,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13742,m=S,run=1,el=69,er=71,yaw=-0.4,yr=-0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13941,m=S,run=1,el=87,er=86,yaw=-0.4,yr=-1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13942,m=S,run=1,el=67,er=65,yaw=-0.4,yr=0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14142,m=S,run=1,el=84,er=84,yaw=-0.4,yr=1.8,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=14142,m=S,run=1,el=63,er=66,yaw=-0.4,yr=0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14267,m=S,run=1,el=85,er=87,yaw=-0.4,yr=-0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14276,m=S,run=1,el=9,er=9,yaw=-0.4,yr=-0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14381,m=S,run=1,el=79,er=81,yaw=-0.5,yr=-1.8,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=14546,m=S,run=1,el=89,er=88,yaw=-0.7,yr=-2.3,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=14546,m=S,run=1,el=45,er=41,yaw=-0.7,yr=-1.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14585,m=S,run=1,el=7,er=7,yaw=-0.6,yr=-0.7,pc=13,hd=0,dp=0,OL=13,OR=13
HB:t=14786,m=S,run=1,el=96,er=97,yaw=-0.6,yr=-0.4,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=14787,m=S,run=1,el=90,er=91,yaw=-0.6,yr=0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14905,m=S,run=1,el=94,er=94,yaw=-0.6,yr=1.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14913,m=S,run=1,el=1,er=1,yaw=-0.6,yr=1.4,pc=13,hd=-1,dp=-1,OL=12,OR=14
HB:t=15019,m=S,run=1,el=93,er=97,yaw=-0.7,yr=-0.9,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=15203,m=S,run=1,el=101,er=102,yaw=-0.9,yr=-2.1,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=15203,m=S,run=1,el=68,er=64,yaw=-0.9,yr=-1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15340,m=S,run=1,el=90,er=90,yaw=-0.9,yr=-0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15345,m=S,run=1,el=13,er=13,yaw=-0.9,yr=1.3,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=15459,m=S,run=1,el=82,er=83,yaw=-0.5,yr=0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15577,m=S,run=1,el=85,er=82,yaw=-0.6,yr=-0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15585,m=S,run=1,el=9,er=9,yaw=-0.6,yr=-1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15691,m=S,run=1,el=78,er=76,yaw=-0.5,yr=-1.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15876,m=S,run=1,el=81,er=83,yaw=-0.6,yr=-1.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=15876,m=S,run=1,el=59,er=59,yaw=-0.6,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=16012,m=S,run=1,el=97,er=97,yaw=-0.6,yr=0.8,pc=12,hd=0,dp=0,OL=12,OR=12
HB:t=16017,m=S,run=1,el=4,er=4,yaw=-0.6,yr=0.5,pc=12,hd=0,dp=0,OL=12,OR=12
HB:t=16131,m=S,run=1,el=102,er=99,yaw=-0.5,yr=1.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=16316,m=S,run=1,el=93,er=98,yaw=-0.6,yr=1.7,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=16316,m=S,run=1,el=61,er=63,yaw=-0.6,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=16523,m=S,run=1,el=104,er=101,yaw=-0.4,yr=-1.8,pc=12,hd=1,dp=1,OL=13,OR=11
HB:t=16523,m=S,run=1,el=89,er=86,yaw=-0.4,yr=-0.2,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=16723,m=S,run=1,el=108,er=103,yaw=-0.1,yr=1.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=16723,m=S,run=1,el=79,er=75,yaw=-0.1,yr=0.8,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=16923,m=S,run=1,el=96,er=93,yaw=0.2,yr=0.6,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=16923,m=S,run=1,el=68,er=72,yaw=0.2,yr=0.4,pc=10,hd=0,dp=0,OL=10,OR=10
