HB:t=4956,m=S,run=1,el=0,er=0,yaw=-0.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=5006,m=S,run=1,el=55,er=54,yaw=-0.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=5041,m=S,run=1,el=12,er=12,yaw=-0.8,yr=0.8,pc=11,hd=0,OL=11,OR=11
HB:t=5164,m=S,run=1,el=127,er=124,yaw=-0.8,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5168,m=S,run=1,el=18,er=19,yaw=-0.8,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5238,m=S,run=1,el=69,er=69,yaw=-0.7,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=5358,m=S,run=1,el=130,er=127,yaw=-0.7,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5367,m=S,run=1,el=1,er=1,yaw=-0.7,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5412,m=S,run=1,el=53,er=52,yaw=-0.7,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=5453,m=S,run=1,el=12,er=11,yaw=-0.6,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5453,m=S,run=1,el=30,er=29,yaw=-0.6,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5576,m=S,run=1,el=126,er=127,yaw=-0.6,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5580,m=S,run=1,el=2,er=2,yaw=-0.6,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5650,m=S,run=1,el=72,er=71,yaw=-0.5,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5771,m=S,run=1,el=119,er=123,yaw=-0.5,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5779,m=S,run=1,el=8,er=7,yaw=-0.5,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5825,m=S,run=1,el=41,er=34,yaw=-0.5,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5861,m=S,run=1,el=10,er=9,yaw=-0.2,yr=3.4,pc=11,hd=0,OL=11,OR=11
HB:t=5983,m=S,run=1,el=113,er=115,yaw=-0.4,yr=2.6,pc=9,hd=0,OL=9,OR=9
HB:t=5987,m=S,run=1,el=19,er=19,yaw=-0.4,yr=2.6,pc=10,hd=0,OL=10,OR=10
HB:t=6057,m=S,run=1,el=67,er=68,yaw=-0.7,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=6178,m=S,run=1,el=128,er=127,yaw=-0.7,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=6187,m=S,run=1,el=15,er=14,yaw=-0.7,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=6232,m=S,run=1,el=50,er=48,yaw=-0.7,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=6272,m=S,run=1,el=11,er=11,yaw=-0.6,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=6273,m=S,run=1,el=27,er=26,yaw=-0.6,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=6396,m=S,run=1,el=119,er=116,yaw=-0.6,yr=0.7,pc=9,hd=0,OL=9,OR=9
HB:t=6399,m=S,run=1,el=3,er=3,yaw=-0.6,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=6449,m=S,run=1,el=45,er=46,yaw=-0.5,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=6490,m=S,run=1,el=11,er=11,yaw=-0.4,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=6490,m=S,run=1,el=25,er=25,yaw=-0.4,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=6613,m=S,run=1,el=120,er=118,yaw=-0.4,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=6617,m=S,run=1,el=17,er=15,yaw=-0.4,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=6683,m=S,run=1,el=51,er=51,yaw=-0.2,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=6807,m=S,run=1,el=102,er=104,yaw=-0.2,yr=2.1,pc=9,hd=0,OL=9,OR=9
HB:t=6815,m=S,run=1,el=1,er=2,yaw=-0.2,yr=2.1,pc=11,hd=0,OL=11,OR=11
HB:t=6882,m=S,run=1,el=68,er=68,yaw=-0.4,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=7007,m=S,run=1,el=118,er=118,yaw=-0.3,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=7015,m=S,run=1,el=1,er=1,yaw=-0.3,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=7065,m=S,run=1,el=51,er=50,yaw=-0.3,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=7100,m=S,run=1,el=11,er=11,yaw=-0.3,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=7223,m=S,run=1,el=116,er=113,yaw=-0.3,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=7227,m=S,run=1,el=18,er=18,yaw=-0.3,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=7277,m=S,run=1,el=41,er=40,yaw=-0.2,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=7317,m=S,run=1,el=11,er=11,yaw=-0.2,yr=1.1,pc=11,hd=0,OL=11,OR=11
HB:t=7317,m=S,run=1,el=31,er=32,yaw=-0.2,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=7440,m=S,run=1,el=118,er=117,yaw=-0.1,yr=1.1,pc=9,hd=0,OL=9,OR=9
HB:t=7444,m=S,run=1,el=17,er=18,yaw=-0.1,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=7494,m=S,run=1,el=39,er=39,yaw=-0.1,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=7534,m=S,run=1,el=11,er=11,yaw=-0.1,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=7534,m=S,run=1,el=28,er=29,yaw=-0.1,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=7692,m=S,run=1,el=117,er=116,yaw=-0.1,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=7693,m=S,run=1,el=53,er=54,yaw=-0.1,yr=0.5,pc=9,hd=0,OL=9,OR=9
HB:t=7728,m=S,run=1,el=20,er=20,yaw=-0.1,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=7856,m=S,run=1,el=120,er=119,yaw=-0.1,yr=0.4,pc=9,hd=0,OL=9,OR=9
HB:t=7859,m=S,run=1,el=3,er=3,yaw=-0.1,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=7910,m=S,run=1,el=45,er=44,yaw=-0.1,yr=0.5,pc=10,hd=0,OL=10,OR=10
HB:t=7951,m=S,run=1,el=11,er=11,yaw=-0.0,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=7951,m=S,run=1,el=25,er=24,yaw=-0.0,yr=0.8,pc=10,hd=0,OL=10,OR=10
