HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=7696,m=S,run=1,el=168,er=169,yaw=0.1,yr=0.0,pc=70,hd=-1,dp=0,OL=79,OR=81,hi=0.00
HB:t=7696,m=S,run=1,el=168,er=169,yaw=0.1,yr=0.0,pc=70,hd=-1,dp=0,OL=79,OR=81,hi=0.00
HB:t=7916,m=S,run=1,el=174,er=178,yaw=-0.0,yr=-1.2,pc=81,hd=4,dp=4,OL=85,OR=77,hi=0.00
HB:t=7917,m=S,run=1,el=174,er=178,yaw=-0.0,yr=-1.2,pc=81,hd=4,dp=4,OL=85,OR=77,hi=0.00
HB:t=8138,m=S,run=1,el=173,er=170,yaw=-0.1,yr=-0.7,pc=90,hd=3,dp=2,OL=93,OR=87,hi=0.00
HB:t=8138,m=S,run=1,el=173,er=170,yaw=-0.1,yr=-0.7,pc=90,hd=3,dp=2,OL=93,OR=87,hi=0.00
HB:t=8350,m=S,run=1,el=183,er=177,yaw=-0.0,yr=0.0,pc=96,hd=0,dp=0,OL=96,OR=96,hi=0.00
HB:t=8351,m=S,run=1,el=0,er=1,yaw=-0.0,yr=0.0,pc=104,hd=0,dp=0,OL=104,OR=104,hi=0.00
HB:t=8572,m=S,run=1,el=239,er=241,yaw=-0.1,yr=-0.4,pc=99,hd=2,dp=1,OL=101,OR=97,hi=0.00
HB:t=8572,m=S,run=1,el=239,er=241,yaw=-0.1,yr=-0.4,pc=99,hd=2,dp=1,OL=101,OR=97,hi=0.00
HB:t=8793,m=S,run=1,el=249,er=247,yaw=0.0,yr=0.4,pc=101,hd=-1,dp=-1,OL=100,OR=102,hi=0.00
HB:t=8794,m=S,run=1,el=249,er=247,yaw=0.0,yr=0.4,pc=101,hd=-1,dp=-1,OL=100,OR=102,hi=0.00
HB:t=9014,m=S,run=1,el=246,er=249,yaw=0.1,yr=-0.9,pc=102,hd=3,dp=3,OL=105,OR=99,hi=0.00
HB:t=9014,m=S,run=1,el=246,er=249,yaw=0.1,yr=-0.9,pc=102,hd=3,dp=3,OL=105,OR=99,hi=0.00
HB:t=9145,m=S,run=1,el=145,er=143,yaw=0.0,yr=-1.5,pc=105,hd=5,dp=5,OL=110,OR=100,hi=0.00
HB:t=9146,m=S,run=1,el=145,er=143,yaw=0.0,yr=-1.5,pc=105,hd=5,dp=5,OL=110,OR=100,hi=0.00
HB:t=9277,m=S,run=1,el=139,er=134,yaw=0.1,yr=-0.4,pc=1,hd=1,dp=1,OL=81,OR=79,hi=0.00
HB:t=9489,m=S,run=1,el=214,er=210,yaw=0.2,yr=-0.9,pc=35,hd=2,dp=3,OL=82,OR=78,hi=0.00
HB:t=9490,m=S,run=1,el=214,er=210,yaw=0.2,yr=-0.9,pc=35,hd=2,dp=3,OL=82,OR=78,hi=0.00
HB:t=9711,m=S,run=1,el=188,er=190,yaw=0.3,yr=0.3,pc=60,hd=-2,dp=-1,OL=78,OR=82,hi=-0.00
HB:t=9711,m=S,run=1,el=188,er=190,yaw=0.3,yr=0.3,pc=60,hd=-2,dp=-1,OL=78,OR=82,hi=-0.00
HB:t=9932,m=S,run=1,el=184,er=182,yaw=0.4,yr=0.1,pc=77,hd=-3,dp=0,OL=77,OR=83,hi=-0.00
HB:t=9932,m=S,run=1,el=184,er=182,yaw=0.4,yr=0.1,pc=77,hd=-3,dp=0,OL=77,OR=83,hi=-0.00
HB:t=10153,m=S,run=1,el=177,er=178,yaw=0.4,yr=-0.1,pc=89,hd=-2,dp=0,OL=87,OR=91,hi=-0.00
HB:t=10153,m=S,run=1,el=177,er=178,yaw=0.4,yr=-0.1,pc=89,hd=-2,dp=0,OL=87,OR=91,hi=-0.00
HB:t=10284,m=S,run=1,el=108,er=111,yaw=0.4,yr=-0.8,pc=99,hd=0,dp=3,OL=99,OR=99,hi=-0.01
HB:t=10285,m=S,run=1,el=108,er=111,yaw=0.4,yr=-0.8,pc=99,hd=0,dp=3,OL=99,OR=99,hi=-0.01
HB:t=10417,m=S,run=1,el=123,er=120,yaw=0.1,yr=-0.6,pc=7,hd=1,dp=2,OL=81,OR=79,hi=-0.01
HB:t=10629,m=S,run=1,el=210,er=204,yaw=0.2,yr=-0.2,pc=39,hd=-1,dp=1,OL=79,OR=81,hi=-0.01
HB:t=10629,m=S,run=1,el=210,er=204,yaw=0.2,yr=-0.2,pc=39,hd=-1,dp=1,OL=79,OR=81,hi=-0.01
HB:t=10851,m=S,run=1,el=186,er=192,yaw=0.2,yr=-0.9,pc=61,hd=2,dp=3,OL=82,OR=78,hi=-0.01
HB:t=10851,m=S,run=1,el=186,er=192,yaw=0.2,yr=-0.9,pc=61,hd=2,dp=3,OL=82,OR=78,hi=-0.01
HB:t=11072,m=S,run=1,el=188,er=182,yaw=0.3,yr=0.2,pc=77,hd=-3,dp=-1,OL=77,OR=83,hi=-0.01
HB:t=11073,m=S,run=1,el=188,er=182,yaw=0.3,yr=0.2,pc=77,hd=-3,dp=-1,OL=77,OR=83,hi=-0.01
HB:t=11204,m=S,run=1,el=109,er=109,yaw=0.4,yr=1.2,pc=90,hd=-6,dp=-4,OL=84,OR=96,hi=-0.01
HB:t=11204,m=S,run=1,el=109,er=109,yaw=0.4,yr=1.2,pc=90,hd=-6,dp=-4,OL=84,OR=96,hi=-0.01
HB:t=11336,m=S,run=1,el=112,er=115,yaw=0.4,yr=0.1,pc=9,hd=-3,dp=0,OL=77,OR=83,hi=-0.01
HB:t=11337,m=S,run=1,el=112,er=115,yaw=0.4,yr=0.1,pc=9,hd=-3,dp=0,OL=77,OR=83,hi=-0.01
HB:t=11549,m=S,run=1,el=191,er=195,yaw=0.1,yr=-0.4,pc=40,hd=1,dp=1,OL=81,OR=79,hi=-0.01
HB:t=11549,m=S,run=1,el=191,er=195,yaw=0.1,yr=-0.4,pc=40,hd=1,dp=1,OL=81,OR=79,hi=-0.01
HB:t=11770,m=S,run=1,el=185,er=180,yaw=0.0,yr=0.1,pc=61,hd=0,dp=0,OL=80,OR=80,hi=-0.01
HB:t=11771,m=S,run=1,el=0,er=1,yaw=0.0,yr=0.1,pc=81,hd=0,dp=0,OL=81,OR=81,hi=-0.01
HB:t=11992,m=S,run=1,el=188,er=187,yaw=0.2,yr=0.0,pc=86,hd=-1,dp=0,OL=85,OR=87,hi=-0.01
HB:t=11992,m=S,run=1,el=188,er=187,yaw=0.2,yr=0.0,pc=86,hd=-1,dp=0,OL=85,OR=87,hi=-0.01
HB:t=12123,m=S,run=1,el=114,er=117,yaw=0.2,yr=0.2,pc=95,hd=-2,dp=-1,OL=93,OR=97,hi=-0.01
HB:t=12124,m=S,run=1,el=114,er=117,yaw=0.2,yr=0.2,pc=95,hd=-2,dp=-1,OL=93,OR=97,hi=-0.01
HB:t=12256,m=S,run=1,el=120,er=122,yaw=0.0,yr=-0.4,pc=2,hd=1,dp=1,OL=81,OR=79,hi=-0.01
HB:t=12468,m=S,run=1,el=208,er=206,yaw=0.1,yr=-0.3,pc=34,hd=0,dp=1,OL=80,OR=80,hi=-0.01
HB:t=12469,m=S,run=1,el=208,er=206,yaw=0.1,yr=-0.3,pc=34,hd=0,dp=1,OL=80,OR=80,hi=-0.01
HB:t=12690,m=S,run=1,el=176,er=177,yaw=0.0,yr=-0.1,pc=56,hd=0,dp=0,OL=80,OR=80,hi=-0.01
HB:t=12690,m=S,run=1,el=176,er=177,yaw=0.0,yr=-0.1,pc=56,hd=0,dp=0,OL=80,OR=80,hi=-0.01
HB:t=12911,m=S,run=1,el=177,er=176,yaw=-0.1,yr=-0.3,pc=72,hd=1,dp=1,OL=81,OR=79,hi=-0.01
HB:t=12911,m=S,run=1,el=177,er=176,yaw=-0.1,yr=-0.3,pc=72,hd=1,dp=1,OL=81,OR=79,hi=-0.01
HB:t=13132,m=S,run=1,el=192,er=185,yaw=0.1,yr=0.6,pc=83,hd=-3,dp=-2,OL=80,OR=86,hi=-0.01
HB:t=13132,m=S,run=1,el=192,er=185,yaw=0.1,yr=0.6,pc=83,hd=-3,dp=-2,OL=80,OR=86,hi=-0.01
HB:t=13352,m=S,run=1,el=189,er=194,yaw=0.1,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=13352,m=S,run=1,el=189,er=194,yaw=0.1,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=13483,m=S,run=1,el=123,er=126,yaw=0.1,yr=0.1,pc=98,hd=-1,dp=0,OL=97,OR=99,hi=-0.01
HB:t=13484,m=S,run=1,el=123,er=126,yaw=0.1,yr=0.1,pc=98,hd=-1,dp=0,OL=97,OR=99,hi=-0.01
HB:t=13615,m=S,run=1,el=127,er=125,yaw=0.1,yr=0.9,pc=1,hd=-3,dp=-3,OL=77,OR=83,hi=-0.02
HB:t=13827,m=S,run=1,el=199,er=202,yaw=0.0,yr=0.1,pc=33,hd=-1,dp=0,OL=79,OR=81,hi=-0.02
HB:t=13827,m=S,run=1,el=199,er=202,yaw=0.0,yr=0.1,pc=33,hd=-1,dp=0,OL=79,OR=81,hi=-0.02
HB:t=14049,m=S,run=1,el=179,er=182,yaw=-0.3,yr=-1.1,pc=56,hd=5,dp=3,OL=85,OR=75,hi=-0.01
HB:t=14049,m=S,run=1,el=179,er=182,yaw=-0.3,yr=-1.1,pc=56,hd=5,dp=3,OL=85,OR=75,hi=-0.01
HB:t=14270,m=S,run=1,el=195,er=185,yaw=-0.1,yr=0.4,pc=72,hd=-1,dp=-1,OL=79,OR=81,hi=-0.01
HB:t=14270,m=S,run=1,el=195,er=185,yaw=-0.1,yr=0.4,pc=72,hd=-1,dp=-1,OL=79,OR=81,hi=-0.01
HB:t=14491,m=S,run=1,el=188,er=189,yaw=0.1,yr=0.3,pc=84,hd=-2,dp=-1,OL=82,OR=86,hi=-0.01
HB:t=14491,m=S,run=1,el=188,er=189,yaw=0.1,yr=0.3,pc=84,hd=-2,dp=-1,OL=82,OR=86,hi=-0.01
HB:t=14622,m=S,run=1,el=115,er=117,yaw=0.2,yr=0.3,pc=93,hd=-2,dp=-1,OL=91,OR=95,hi=-0.01
HB:t=14623,m=S,run=1,el=115,er=117,yaw=0.2,yr=0.3,pc=93,hd=-2,dp=-1,OL=91,OR=95,hi=-0.01
HB:t=14755,m=S,run=1,el=119,er=118,yaw=0.1,yr=0.2,pc=3,hd=-1,dp=-1,OL=79,OR=81,hi=-0.02
HB:t=14876,m=S,run=1,el=123,er=123,yaw=0.1,yr=0.3,pc=35,hd=-2,dp=-1,OL=78,OR=82,hi=-0.02
HB:t=14881,m=S,run=1,el=4,er=4,yaw=0.1,yr=0.3,pc=60,hd=-2,dp=-1,OL=78,OR=82,hi=-0.02
HB:t=14953,m=S,run=1,el=54,er=55,yaw=0.1,yr=0.5,pc=48,hd=-2,dp=-2,OL=78,OR=82,hi=-0.02
HB:t=15093,m=S,run=1,el=115,er=115,yaw=0.1,yr=0.4,pc=67,hd=-2,dp=-1,OL=78,OR=82,hi=-0.02
HB:t=15093,m=S,run=1,el=115,er=115,yaw=0.1,yr=0.4,pc=67,hd=-2,dp=-1,OL=78,OR=82,hi=-0.02
HB:t=15202,m=S,run=1,el=81,er=80,yaw=0.0,yr=0.1,pc=27,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=15202,m=S,run=1,el=81,er=80,yaw=0.0,yr=0.1,pc=27,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=15414,m=S,run=1,el=193,er=191,yaw=-0.1,yr=0.1,pc=51,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=15414,m=S,run=1,el=193,er=191,yaw=-0.1,yr=0.1,pc=51,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=15627,m=S,run=1,el=187,er=186,yaw=0.1,yr=0.1,pc=67,hd=-1,dp=0,OL=79,OR=81,hi=-0.02
HB:t=15627,m=S,run=1,el=187,er=186,yaw=0.1,yr=0.1,pc=67,hd=-1,dp=0,OL=79,OR=81,hi=-0.02
HB:t=15848,m=S,run=1,el=190,er=192,yaw=0.1,yr=-0.1,pc=79,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=15848,m=S,run=1,el=190,er=192,yaw=0.1,yr=-0.1,pc=79,hd=0,dp=0,OL=80,OR=80,hi=-0.02
HB:t=16070,m=S,run=1,el=192,er=193,yaw=0.1,yr=0.0,pc=87,hd=-1,dp=0,OL=86,OR=88,hi=-0.02
HB:t=16070,m=S,run=1,el=192,er=193,yaw=0.1,yr=0.0,pc=87,hd=-1,dp=0,OL=86,OR=88,hi=-0.02
HB:t=16290,m=S,run=1,el=201,er=195,yaw=0.2,yr=0.5,pc=93,hd=-3,dp=-2,OL=90,OR=96,hi=-0.02
HB:t=16291,m=S,run=1,el=0,er=1,yaw=0.2,yr=0.5,pc=101,hd=-3,dp=-2,OL=98,OR=104,hi=-0.02
HB:t=16511,m=S,run=1,el=235,er=235,yaw=0.1,yr=0.4,pc=96,hd=-2,dp=-1,OL=94,OR=98,hi=-0.02
HB:t=16512,m=S,run=1,el=235,er=235,yaw=0.1,yr=0.4,pc=96,hd=-2,dp=-1,OL=94,OR=98,hi=-0.02
HB:t=16642,m=S,run=1,el=153,er=152,yaw=0.1,yr=0.1,pc=100,hd=-1,dp=0,OL=99,OR=101,hi=-0.02
HB:t=16643,m=S,run=1,el=153,er=152,yaw=0.1,yr=0.1,pc=100,hd=-1,dp=0,OL=99,OR=101,hi=-0.02
HB:t=16774,m=S,run=1,el=135,er=135,yaw=0.2,yr=0.7,pc=1,hd=-3,dp=-2,OL=77,OR=83,hi=-0.02
HB:t=16986,m=S,run=1,el=218,er=222,yaw=0.1,yr=-0.5,pc=35,hd=1,dp=2,OL=81,OR=79,hi=-0.02
HB:t=16986,m=S,run=1,el=218,er=222,yaw=0.1,yr=-0.5,pc=35,hd=1,dp=2,OL=81,OR=79,hi=-0.02
HB:t=17207,m=S,run=1,el=196,er=194,yaw=0.0,yr=0.2,pc=59,hd=-1,dp=-1,OL=79,OR=81,hi=-0.02
HB:t=17208,m=S,run=1,el=196,er=194,yaw=0.0,yr=0.2,pc=59,hd=-1,dp=-1,OL=79,OR=81,hi=-0.02
HB:t=17429,m=S,run=1,el=184,er=181,yaw=0.1,yr=0.5,pc=77,hd=-2,dp=-2,OL=78,OR=82,hi=-0.02
HB:t=17429,m=S,run=1,el=184,er=181,yaw=0.1,yr=0.5,pc=77,hd=-2,dp=-2,OL=78,OR=82,hi=-0.02
HB:t=17650,m=S,run=1,el=191,er=190,yaw=0.1,yr=0.2,pc=89,hd=-1,dp=-1,OL=88,OR=90,hi=-0.02
HB:t=17650,m=S,run=1,el=191,er=190,yaw=0.1,yr=0.2,pc=89,hd=-1,dp=-1,OL=88,OR=90,hi=-0.02
HB:t=17871,m=S,run=1,el=214,er=214,yaw=0.1,yr=0.4,pc=96,hd=-2,dp=-1,OL=94,OR=98,hi=-0.02
HB:t=17871,m=S,run=1,el=0,er=0,yaw=0.1,yr=0.4,pc=107,hd=-2,dp=-1,OL=105,OR=109,hi=-0.02
HB:t=18002,m=S,run=1,el=149,er=149,yaw=0.2,yr=0.1,pc=107,hd=-2,dp=0,OL=105,OR=109,hi=-0.02
HB:t=18002,m=S,run=1,el=149,
er=149,yaw=0.2,yr=0.1,pc=107,hd=-2,dp=0,OL=105,OR=109,hi=-0.02
HB:t=18134,m=S,run=1,el=147,er=146,yaw=0.3,yr=-0.3,pc=1,hd=-1,dp=1,OL=79,OR=81,hi=-0.02
HB:t=18135,m=S,run=1,el=147,er=146,yaw=0.3,yr=-0.3,pc=1,hd=-1,dp=1,OL=79,OR=81,hi=-0.02
