HB:t=6130,m=S,run=1,el=106,er=92,yaw=1.1,yr=4.0,pc=9,hd=-2,dp=-1,OL=7,OR=11
HB:t=6248,m=S,run=1,el=118,er=130,yaw=1.2,yr=6.5,pc=8,hd=-3,dp=-2,OL=5,OR=11
HB:t=6257,m=S,run=1,el=1,er=1,yaw=1.2,yr=8.3,pc=11,hd=-3,dp=-3,OL=8,OR=14
HB:t=6353,m=S,run=1,el=107,er=131,yaw=0.2,yr=-1.8,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=6476,m=S,run=1,el=121,er=130,yaw=-0.1,yr=-7.1,pc=8,hd=2,dp=2,OL=10,OR=6
HB:t=6480,m=S,run=1,el=3,er=4,yaw=-0.1,yr=-14.3,pc=10,hd=4,dp=5,OL=14,OR=6
HB:t=6581,m=S,run=1,el=111,er=95,yaw=-1.4,yr=-5.7,pc=9,hd=2,dp=2,OL=11,OR=7
HB:t=6700,m=S,run=1,el=128,er=117,yaw=-1.4,yr=-0.8,pc=8,hd=1,dp=0,OL=9,OR=7
HB:t=6708,m=S,run=1,el=14,er=13,yaw=-1.4,yr=1.6,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=6794,m=S,run=1,el=83,er=91,yaw=-0.8,yr=2.8,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=6992,m=S,run=1,el=112,er=115,yaw=-0.7,yr=2.5,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=6993,m=S,run=1,el=96,er=92,yaw=-0.7,yr=2.6,pc=8,hd=-1,dp=-1,OL=7,OR=9
HB:t=7182,m=S,run=1,el=104,er=105,yaw=-0.7,yr=2.6,pc=8,hd=0,dp=-1,OL=8,OR=8
HB:t=7182,m=S,run=1,el=75,er=75,yaw=-0.7,yr=2.0,pc=8,hd=0,dp=-1,OL=8,OR=8
HB:t=7312,m=S,run=1,el=100,er=102,yaw=-0.7,yr=1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7320,m=S,run=1,el=7,er=8,yaw=-0.7,yr=1.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7431,m=S,run=1,el=102,er=101,yaw=-0.6,yr=1.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7619,m=S,run=1,el=107,er=105,yaw=-0.5,yr=0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7620,m=S,run=1,el=79,er=78,yaw=-0.5,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7749,m=S,run=1,el=101,er=101,yaw=-0.5,yr=-0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7757,m=S,run=1,el=0,er=0,yaw=-0.5,yr=-0.6,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=7868,m=S,run=1,el=118,er=119,yaw=-0.6,yr=-0.9,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=7990,m=S,run=1,el=125,er=117,yaw=-0.6,yr=-1.0,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=7994,m=S,run=1,el=18,er=18,yaw=-0.6,yr=-1.6,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=8096,m=S,run=1,el=97,er=92,yaw=-0.0,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8280,m=S,run=1,el=111,er=111,yaw=0.3,yr=2.1,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=8281,m=S,run=1,el=77,er=79,yaw=0.3,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8417,m=S,run=1,el=110,er=108,yaw=0.2,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8422,m=S,run=1,el=2,er=2,yaw=0.2,yr=-2.0,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=8536,m=S,run=1,el=114,er=106,yaw=0.4,yr=0.9,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=8654,m=S,run=1,el=105,er=109,yaw=0.5,yr=2.5,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=8663,m=S,run=1,el=5,er=5,yaw=0.5,yr=3.7,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=8768,m=S,run=1,el=94,er=99,yaw=0.4,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8886,m=S,run=1,el=118,er=118,yaw=0.3,yr=-2.5,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=8895,m=S,run=1,el=3,er=4,yaw=0.3,yr=-4.1,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=8992,m=S,run=1,el=109,er=105,yaw=0.2,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9114,m=S,run=1,el=120,er=120,yaw=0.3,yr=1.2,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=9118,m=S,run=1,el=17,er=18,yaw=0.3,yr=2.1,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=9204,m=S,run=1,el=79,er=83,yaw=0.4,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9397,m=S,run=1,el=116,er=114,yaw=0.2,yr=-1.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9398,m=S,run=1,el=91,er=91,yaw=0.2,yr=-1.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9597,m=S,run=1,el=115,er=119,yaw=0.1,yr=-0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9597,m=S,run=1,el=91,er=91,yaw=0.1,yr=-0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9796,m=S,run=1,el=122,er=119,yaw=0.1,yr=-0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9797,m=S,run=1,el=95,er=94,yaw=0.1,yr=-0.7,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9996,m=S,run=1,el=122,er=126,yaw=-0.0,yr=-0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9996,m=S,run=1,el=94,er=90,yaw=-0.0,yr=-0.9,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10125,m=S,run=1,el=115,er=116,yaw=-0.1,yr=-1.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10130,m=S,run=1,el=5,er=4,yaw=-0.1,yr=-1.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10224,m=S,run=1,el=91,er=89,yaw=0.0,yr=-0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10342,m=S,run=1,el=117,er=118,yaw=0.0,yr=-0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10350,m=S,run=1,el=8,er=9,yaw=0.0,yr=-0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10456,m=S,run=1,el=119,er=119,yaw=0.2,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10574,m=S,run=1,el=128,er=125,yaw=0.1,yr=1.2,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=10583,m=S,run=1,el=6,er=6,yaw=0.1,yr=1.6,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=10688,m=S,run=1,el=108,er=111,yaw=0.1,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10806,m=S,run=1,el=118,er=115,yaw=0.1,yr=-0.9,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10815,m=S,run=1,el=4,er=3,yaw=0.1,yr=-1.6,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=10911,m=S,run=1,el=105,er=105,yaw=0.1,yr=-2.2,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=11100,m=S,run=1,el=131,er=117,yaw=0.4,yr=-2.5,pc=8,hd=1,dp=1,OL=9,OR=7
HB:t=11100,m=S,run=1,el=94,er=91,yaw=0.4,yr=0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11303,m=S,run=1,el=115,er=128,yaw=0.4,yr=2.7,pc=8,hd=-1,dp=-1,OL=7,OR=9
HB:t=11304,m=S,run=1,el=94,er=95,yaw=0.4,yr=0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11429,m=S,run=1,el=109,er=108,yaw=0.3,yr=-1.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11437,m=S,run=1,el=1,er=1,yaw=0.3,yr=-2.0,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=11548,m=S,run=1,el=123,er=124,yaw=0.2,yr=-0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11736,m=S,run=1,el=127,er=126,yaw=0.4,yr=0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11737,m=S,run=1,el=91,er=86,yaw=0.4,yr=0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11940,m=S,run=1,el=124,er=121,yaw=0.4,yr=0.8,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=11941,m=S,run=1,el=91,er=95,yaw=0.4,yr=-0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=12140,m=S,run=1,el=116,er=116,yaw=0.4,yr=-1.2,pc=7,hd=0,dp=0,OL=7,OR=7
HB:t=12141,m=S,run=1,el=85,er=83,yaw=0.4,yr=-0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=12265,m=S,run=1,el=108,er=105,yaw=0.5,yr=-0.2,pc=7,hd=0,dp=0,OL=7,OR=7
HB:t=12274,m=S,run=1,el=3,er=3,yaw=0.5,yr=0.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=12379,m=S,run=1,el=99,er=101,yaw=0.6,yr=0.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=12497,m=S,run=1,el=107,er=115,yaw=0.6,yr=0.5,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=12505,m=S,run=1,el=1,er=2,yaw=0.6,yr=0.6,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=12611,m=S,run=1,el=105,er=110,yaw=-0.2,yr=-1.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=12796,m=S,run=1,el=115,er=115,yaw=-0.5,yr=-2.1,pc=8,hd=1,dp=1,OL=9,OR=7
HB:t=12796,m=S,run=1,el=82,er=81,yaw=-0.5,yr=-1.4,pc=8,hd=1,dp=0,OL=9,OR=7
HB:t=12932,m=S,run=1,el=113,er=117,yaw=-0.5,yr=-0.8,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=12937,m=S,run=1,el=18,er=18,yaw=-0.5,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13050,m=S,run=1,el=116,er=118,yaw=-0.7,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13168,m=S,run=1,el=123,er=121,yaw=-0.7,yr=-0.2,pc=8,hd=1,dp=0,OL=9,OR=7
HB:t=13176,m=S,run=1,el=1,er=1,yaw=-0.7,yr=-0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=13275,m=S,run=1,el=105,er=106,yaw=-0.7,yr=-0.9,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=13442,m=S,run=1,el=113,er=109,yaw=-0.5,yr=-1.0,pc=8,hd=1,dp=0,OL=9,OR=7
HB:t=13443,m=S,run=1,el=63,er=61,yaw=-0.5,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13481,m=S,run=1,el=22,er=22,yaw=-0.4,yr=1.7,pc=10,hd=0,dp=-1,OL=10,OR=10
HB:t=13679,m=S,run=1,el=113,er=110,yaw=-0.2,yr=1.6,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=13679,m=S,run=1,el=99,er=96,yaw=-0.2,yr=1.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=13873,m=S,run=1,el=119,er=117,yaw=0.1,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13874,m=S,run=1,el=95,er=92,yaw=0.1,yr=1.3,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=14073,m=S,run=1,el=113,er=117,yaw=-0.1,yr=1.8,pc=8,hd=-1,dp=-1,OL=7,OR=9
HB:t=14073,m=S,run=1,el=90,er=92,yaw=-0.1,yr=0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14273,m=S,run=1,el=109,er=111,yaw=-0.1,yr=-0.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14273,m=S,run=1,el=85,er=84,yaw=-0.1,yr=-0.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14473,m=S,run=1,el=103,er=101,yaw=-0.1,yr=0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14473,m=S,run=1,el=81,er=81,yaw=-0.1,yr=0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14673,m=S,run=1,el=100,er=100,yaw=-0.2,yr=0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14673,m=S,run=1,el=80,er=82,yaw=-0.2,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14873,m=S,run=1,el=104,er=103,yaw=-0.2,yr=-0.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14873,m=S,run=1,el=85,er=84,yaw=-0.2,yr=-0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15073,m=S,run=1,el=104,er=102,yaw=-0.2,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15074,m=S,run=1,el=85,er=85,yaw=-0.2,yr=0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15273,m=S,run=1,el=107,er=109,yaw=-0.3,yr=1.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15273,m=S,run=1,el=86,er=87,yaw=-0.3,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15473,m=S,run=1,el=108,er=107,yaw=-0.3,yr=-1.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15473,m=S,run=1,el=84,er=83,yaw=-0.3,yr=-0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15673,m=S,run=1,el=101,er=103,yaw=-0.3,yr=-0.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15673,m=S,run=1,el=80,er=80,yaw=-0.3,yr=-0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15803,m=S,run=1,el=104,er=104,yaw=-0.3,yr=-0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=15807,m=S,run=1,el=16,er=16,yaw=-0.3,yr=-0.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=15913,m=S,run=1,el=102,er=101,yaw=-0.4,yr=-0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=16081,m=S,run=1,el=119,er=117,yaw=-0.3,yr=-0.7,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16082,m=S,run=1,el=65,er=65,yaw=-0.3,yr=-0.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16151,m=S,run=1,el=10,er=10,yaw=-0.2,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=16151,m=S,run=1,el=53,er=54,yaw=-0.2,yr=1.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=16339,m=S,run=1,el=119,er=117,yaw=-0.3,yr=1.9,pc=8,hd=0,dp=-1,OL=8,OR=8
HB:t=16340,m=S,run=1,el=90,er=88,yaw=-0.3,yr=0.9,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16469,m=S,run=1,el=110,er=113,yaw=-0.3,yr=0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16477,m=S,run=1,el=1,er=0,yaw=-0.3,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=16588,m=S,run=1,el=115,er=116,yaw=-0.2,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=16710,m=S,run=1,el=115,er=112,yaw=-0.2,yr=0.7,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16715,m=S,run=1,el=18,er=17,yaw=-0.2,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=16815,m=S,run=1,el=90,er=89,yaw=-0.2,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=16933,m=S,run=1,el=112,er=114,yaw=-0.2,yr=0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=16942,m=S,run=1,el=7,er=6,yaw=-0.2,yr=0.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17047,m=S,run=1,el=102,er=100,yaw=-0.2,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17166,m=S,run=1,el=114,er=112,yaw=-0.2,yr=0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17174,m=S,run=1,el=4,er=3,yaw=-0.2,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17271,m=S,run=1,el=100,er=100,yaw=-0.1,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17393,m=S,run=1,el=117,er=119,yaw=-0.1,yr=0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17398,m=S,run=1,el=17,er=18,yaw=-0.1,yr=0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17503,m=S,run=1,el=96,er=97,yaw=-0.2,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17691,m=S,run=1,el=109,er=106,yaw=-0.2,yr=0.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17691,m=S,run=1,el=77,er=75,yaw=-0.2,yr=0.9,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17820,m=S,run=1,el=101,er=102,yaw=-0.1,yr=1.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=17829,m=S,run=1,el=11,er=12,yaw=-0.1,yr=1.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=17934,m=S,run=1,el=97,er=99,yaw=-0.2,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=18117,m=S,run=1,el=116,er=113,yaw=-0.2,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=18117,m=S,run=1,el=79,er=78,yaw=-0.2,yr=-0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=18255,m=S,run=1,el=115,er=116,yaw=-0.2,yr=-0.7,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=18260,m=S,run=1,el=5,er=5,yaw=-0.2,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=18374,m=S,run=1,el=115,er=116,yaw=-0.1,yr=0.8,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=18492,m=S,run=1,el=111,er=110,yaw=-0.1,yr=0.9,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=18500,m=S,run=1,el=7,er=7,yaw=-0.1,yr=0.9,pc=9,hd=0,dp=0,OL=9,OR=9
