seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,ts_mean,ts_end,as_mean,as_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,micro_deviation_eps,micro_deviation_side,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,micro_cum_lat_eps,micro_cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,3.0,20.102,20.517,0.415,-0.285,-0.385,-0.10000000000000003,-0.306,-0.4166666666666667,0.4291798379855854,17.333333333333332,17.666666666666668,-0.3333333333333333,17.0,18.0,-1.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,,,,-0.26899999999999996,-0.249,0.26899999999999996,0.249,0.33466666666666667,0.284,17.5,17.5,15.097666666666667,15.141,0.00029439142120813816,-0.6553483596631657,-0.6778873135479886,-0.6651579623376647,0.6778873135479886,-0.022538953884822854,0.0,0.1473,left,high,0.07891999999999999,left,-0.9878525561834473,0.9878525561834473,0.35,left,0.18,left,low,straight,7.36488246729341,-0.04066584860089259,7.364999999999999,196.89295412133117,-0.9471867075825546,204.25783658862457,-0.9878525561834473,moving,balanced,straight,0.0,3.0,0.1473,straight,1.0,1.0,1.0,1.0,0.0,17.74698795180723,0.0,0.0,0.0,0.0
1.0,3.0,20.722,21.092,0.37,-0.372,-0.399,-0.027000000000000024,-0.37633333333333335,-0.18766666666666665,0.19311222989063465,17.666666666666668,17.0,0.6666666666666666,18.0,17.0,1.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,,,,-0.37166666666666665,-0.358,0.37166666666666665,0.358,0.40399999999999997,0.375,17.666666666666668,17.5,15.325666666666669,15.263,0.00012701253045106165,-0.6919366295678139,-0.7185238396563853,-0.7053276816907458,0.7185238396563853,-0.026587210088571456,0.0,0.1295,left,high,0.0718,left,-1.0303761041975026,1.0303761041975026,0.35,left,0.18,left,low,straight,6.474859955509732,-0.04252354801405528,6.475,204.25783658862457,-0.9878525561834473,210.7326965441343,-1.0303761041975026,moving,balanced,straight,0.0,3.0,0.1295,straight,1.0,1.0,1.0,1.0,0.0,17.5,0.0,0.0,0.0,0.0
1.0,3.0,21.324,21.738,0.414,-0.209,-0.219,-0.010000000000000009,-0.22633333333333336,0.09700000000000002,0.11102702373746674,17.333333333333332,17.333333333333332,0.0,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,-0.287,-0.251,0.287,0.251,0.2853333333333333,0.246,17.666666666666668,18.0,15.4,15.6,0.0003924866903382567,-0.7233409953150292,-0.7351048421378258,-0.7296025032727672,0.7351048421378258,-0.01176384682279663,0.0,0.14285,left,high,0.07714,left,-1.059719324929231,1.059719324929231,0.35,left,0.18,left,low,straight,7.142439446676395,-0.029343220731728292,7.1425,210.7326965441343,-1.0303761041975026,217.87513599081072,-1.059719324929231,moving,balanced,straight,0.0,3.0,0.14285,straight,1.0,1.0,1.0,1.0,0.0,17.2524154589372,0.0,0.0,0.0,0.0
1.0,3.0,21.943,22.358,0.415,0.01,0.193,0.183,0.074,0.4136666666666667,0.4213869955278639,17.666666666666668,18.0,-0.3333333333333333,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,-0.064,0.019,0.064,-0.019,0.031,-0.055,17.166666666666668,18.0,15.1,15.6,0.0006556128617746272,-0.7251086609372178,-0.6942351679652161,-0.7112984990059251,0.7251086609372178,0.030873492972001704,0.0,0.14529999999999998,left,high,0.07812,left,-1.0467266798681656,1.0467266798681656,0.35,left,0.18,left,low,straight,7.2649800205665125,0.012992645061065289,7.265,217.87513599081072,-1.059719324929231,225.14011601137724,-1.0467266798681656,moving,balanced,straight,0.0,3.0,0.14529999999999998,straight,1.0,1.0,1.0,1.0,0.0,17.50602409638554,0.0,0.0,0.0,0.0
1.0,3.0,22.518,22.956,0.438,0.207,0.32,0.11300000000000002,0.26333333333333336,0.3223333333333333,0.3230464362905123,17.666666666666668,17.333333333333332,0.3333333333333333,18.0,17.0,1.0,15.333333333333334,15.333333333333334,0.0,15.0,15.0,15.333333333333334,15.0,15.333333333333334,15.0,0.0,0.0,,,,,0.22,0.262,-0.22,-0.262,-0.26666666666666666,-0.3,17.5,17.5,15.299999999999999,15.3,0.00020006109269084704,-0.6777137777548626,-0.6192744006679062,-0.6483761228621744,0.6777137777548626,0.05843937708695646,0.0,0.15563000000000002,left,high,0.082252,left,-1.007439106202958,1.007439106202958,0.35,left,0.18,left,low,straight,7.781399864132753,0.03928757366520764,7.781500000000001,225.14011601137724,-1.0467266798681656,232.92151587551,-1.007439106202958,moving,balanced,straight,0.0,3.0,0.15563000000000002,straight,1.0,1.0,1.0,1.0,0.0,17.76598173515982,0.0,0.0,0.0,0.0
1.0,3.0,23.161,23.575,0.414,0.266,0.337,0.07100000000000001,0.29400000000000004,0.11499999999999999,0.11841874851559613,18.0,17.666666666666668,0.3333333333333333,18.0,17.0,1.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,,,,0.28800000000000003,0.278,-0.28800000000000003,-0.278,-0.3076666666666667,-0.289,17.166666666666668,17.5,15.1,15.3,0.00019789129464117716,-0.5930615174894667,-0.5354972316080906,-0.5648567235911474,0.5930615174894667,0.057564285881376076,0.0,0.14695,left,high,0.07878,left,-0.967958426407542,0.967958426407542,0.35,left,0.18,left,low,straight,7.347392986355649,0.03948067979541586,7.3475,232.92151587551,-1.007439106202958,240.26890886186567,-0.967958426407542,moving,balanced,straight,0.0,3.0,0.14695,straight,1.0,1.0,1.0,1.0,0.0,17.747584541062803,0.0,0.0,0.0,0.0
1.0,3.0,23.78,24.15,0.37,0.268,0.294,0.025999999999999968,0.29933333333333334,0.022333333333333334,0.06258061467685767,17.666666666666668,17.333333333333332,0.3333333333333333,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,0.3126666666666667,0.335,-0.3126666666666667,-0.335,-0.32266666666666666,-0.348,17.5,18.0,15.299999999999999,15.6,0.00030621741100064927,-0.5098872598749596,-0.4578695276277953,-0.4823077043921878,0.5098872598749596,0.05201773224716433,0.0,0.12990000000000002,left,high,0.07196,left,-0.9319261166583901,0.9319261166583901,0.35,left,0.18,left,low,straight,6.494899622849495,0.03603230974915192,6.495,240.26890886186567,-0.967958426407542,246.76380848471516,-0.9319261166583901,moving,balanced,straight,0.0,3.0,0.12990000000000002,straight,1.0,1.0,1.0,1.0,0.0,17.554054054054053,0.0,0.0,0.0,0.0
1.0,3.0,24.382,24.752,0.37,0.388,0.329,-0.059,0.3746666666666667,0.04933333333333334,0.11348127598859646,18.0,17.333333333333332,0.6666666666666666,18.0,17.0,1.0,14.666666666666666,15.333333333333334,-0.6666666666666666,15.0,15.0,15.0,15.0,15.0,15.0,-0.3333333333333333,0.0,,,,,0.36233333333333334,0.406,-0.36233333333333334,-0.406,-0.371,-0.42,17.333333333333332,17.5,15.200000000000001,15.3,0.00032513931514775973,-0.42038357756275174,-0.3612888253003728,-0.38869133027645947,0.42038357756275174,0.059094752262378925,0.0,0.13159,left,high,0.072636,left,-0.8890246403149679,0.8890246403149679,0.35,left,0.18,left,low,straight,6.579358636636131,0.042901476343422236,6.5795,246.76380848471516,-0.9319261166583901,253.34316712135129,-0.8890246403149679,moving,balanced,straight,0.0,3.0,0.13159,straight,1.0,1.0,1.0,1.0,0.0,17.782432432432433,0.0,0.0,0.0,0.0
1.0,3.0,24.985,25.399,0.414,0.324,0.222,-0.10200000000000001,0.2866666666666667,-0.109,0.12555344147679373,17.0,17.0,0.0,17.0,17.0,0.0,16.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,,,,,0.3216666666666667,0.314,-0.3216666666666667,-0.314,-0.31266666666666665,-0.306,18.0,18.0,15.6,15.6,0.00017797521660659855,-0.32914125427455704,-0.27881743577426615,-0.3029162670457943,0.32914125427455704,0.050323818500290884,0.0,0.14076,left,moderate,0.076304,left,-0.8560227599245122,0.8560227599245122,0.35,left,0.18,left,low,straight,7.03792035723685,0.03300188039045568,7.038,253.34316712135129,-0.8890246403149679,260.38108747858814,-0.8560227599245122,moving,balanced,straight,0.0,3.0,0.14076,straight,1.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0
1.0,3.0,25.604,26.002,0.398,0.28,0.17,-0.11000000000000001,0.23433333333333337,-0.09299999999999999,0.11089484508608444,17.333333333333332,17.333333333333332,0.0,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,0.25166666666666665,0.253,-0.25166666666666665,-0.253,-0.23900000000000002,-0.243,17.666666666666668,18.0,15.4,15.6,0.0002703643072311955,-0.2524561195105576,-0.21109772795157297,-0.23205099668762252,0.2524561195105576,0.0413583915589846,0.0,0.13697000000000004,left,moderate,0.07478800000000001,left,-0.8315200103345214,0.8315200103345214,0.35,left,0.18,left,low,straight,6.848454414231105,0.02450274958999081,6.848500000000001,260.38108747858814,-0.8560227599245122,267.22954189281927,-0.8315200103345214,moving,balanced,straight,0.0,3.0,0.13697000000000004,straight,1.0,1.0,1.0,1.0,0.0,17.207286432160803,0.0,0.0,0.0,0.0
1.0,3.0,26.211,26.621,0.41,0.118,-0.118,-0.236,-0.03966666666666666,-0.36033333333333334,0.38554766242320804,17.0,17.333333333333332,0.3333333333333333,17.0,17.0,2.0,15.666666666666666,15.666666666666666,0.0,16.0,16.0,15.666666666666666,16.0,15.666666666666666,16.0,0.0,0.0,,,,,0.05633333333333334,-0.119,-0.05633333333333334,0.119,-0.019666666666666666,0.184,17.833333333333332,18.0,15.5,15.6,0.0004800239809040527,-0.19456319661547386,-0.1918237695487634,-0.19320362053540754,0.19456319661547386,0.002739427066710459,0.0,0.1394,left,mild,0.07576,left,-0.8459354597473042,0.8459354597473042,0.35,left,0.18,left,low,straight,6.969985092603755,-0.014415449412782845,6.97,267.22954189281927,-0.8315200103345214,274.199526985423,-0.8459354597473042,moving,balanced,straight,0.0,3.0,0.1394,straight,1.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0
1.0,3.0,26.831,27.24,0.409,-0.038,-0.018,0.019999999999999997,-0.048666666666666664,-0.07066666666666667,0.10208819716304134,17.666666666666668,17.666666666666668,0.0,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,-0.08266666666666667,-0.091,0.08266666666666667,0.091,0.106,0.109,17.333333333333332,18.0,15.200000000000001,15.6,0.00032589606794906787,-0.18502725307107934,-0.17429540086921766,-0.1803547156608888,0.18502725307107934,0.01073185220186168,0.0,0.14315999999999998,left,mild,0.077264,left,-0.8528212001239135,0.8528212001239135,0.35,left,0.18,left,low,straight,7.157995276506967,-0.0068857403766092555,7.1579999999999995,274.199526985423,-0.8459354597473042,281.35752226193,-0.8528212001239135,moving,balanced,straight,0.0,3.0,0.14315999999999998,straight,1.0,1.0,1.0,1.0,0.0,17.501222493887532,0.0,0.0,0.0,0.0
1.0,3.0,27.45,27.86,0.41,0.057,0.045,-0.011999999999999997,0.027,0.06299999999999999,0.09949706863353647,18.333333333333332,17.666666666666668,0.6666666666666666,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,0.005666666666666668,-0.022,-0.005666666666666668,0.022,-0.010666666666666666,0.027,17.0,18.0,15.0,15.6,0.0003421440765022186,-0.1608685412961714,-0.1416097581630764,-0.15180086458613806,0.1608685412961714,0.01925878313309501,0.0,0.14555,balanced,mild,0.07822,left,-0.8514741116242693,0.8514741116242693,0.35,left,0.18,left,low,straight,7.277498670403279,0.001347088499644195,7.2775,281.35752226193,-0.8528212001239135,288.6350209323333,-0.8514741116242693,moving,balanced,straight,0.0,3.0,0.14555,straight,1.0,1.0,1.0,1.0,0.0,17.75,0.0,0.0,0.0,0.0
1.0,3.0,28.069,28.48,0.411,-0.051,-0.083,-0.03200000000000001,-0.10566666666666667,-0.13866666666666666,0.17949001829256875,18.0,17.666666666666668,0.3333333333333333,18.0,17.0,1.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,,,,-0.06366666666666666,-0.184,0.06366666666666666,0.184,0.076,0.219,17.166666666666668,17.5,15.1,15.3,0.0005177322077684274,-0.1356991755605933,-0.13478326543398725,-0.13629949698502739,0.1384160499605016,0.000915910126606051,0.0,0.14590999999999998,balanced,mild,0.078364,left,-0.8685142016700859,0.8685142016700859,0.35,left,0.18,left,low,straight,7.295477322544533,-0.017040090045816476,7.2955,288.6350209323333,-0.8514741116242693,295.9304982548778,-0.8685142016700859,moving,balanced,straight,0.0,3.0,0.14590999999999998,straight,1.0,1.0,1.0,1.0,0.0,17.75060827250608,0.0,0.0,0.0,0.0
1.0,3.0,28.689,29.055,0.366,0.019,0.196,0.17700000000000002,0.06833333333333334,0.23099999999999998,0.29408105458642975,18.0,17.666666666666668,0.3333333333333333,17.0,17.0,0.0,15.333333333333334,15.333333333333334,0.0,16.0,16.0,15.333333333333334,16.0,15.333333333333334,16.0,0.0,0.0,,,,,-0.025000000000000005,-0.01,0.025000000000000005,0.01,0.01733333333333333,0.004,17.166666666666668,18.0,15.1,15.6,0.0006370708600097564,-0.12398469063351499,-0.09944753356100246,-0.1129929832556647,0.12398469063351499,0.024537157072512528,0.0,0.12854,balanced,mild,0.071416,left,-0.8597953927428537,0.8597953927428537,0.35,left,0.18,left,low,straight,6.426983929376544,0.008718808927232214,6.427,295.9304982548778,-0.8685142016700859,302.35748218425437,-0.8597953927428537,moving,balanced,straight,0.0,3.0,0.12854,straight,1.0,1.0,1.0,1.0,0.0,17.560109289617486,0.0,0.0,0.0,0.0
1.0,3.0,29.288,29.697,0.409,0.076,0.07,-0.0059999999999999915,0.05466666666666667,0.06666666666666667,0.08992218858546538,17.333333333333332,17.333333333333332,0.0,18.0,17.0,1.0,15.333333333333334,15.333333333333334,0.0,15.0,15.0,15.333333333333334,15.0,15.333333333333334,15.0,0.0,0.0,,,,,0.09600000000000002,0.017,-0.09600000000000002,-0.017,-0.12033333333333333,-0.016,17.666666666666668,17.5,15.4,15.3,0.000355096847690291,-0.08444450340725158,-0.06132366882414076,-0.07343483014359685,0.08444450340725158,0.023120834583110823,0.0,0.14315,balanced,mild,0.07726,balanced,-0.8542908871902524,0.8542908871902524,0.35,left,0.18,left,low,straight,7.157497146431162,0.005504505552601267,7.1575,302.35748218425437,-0.8597953927428537,309.51497933068555,-0.8542908871902524,moving,balanced,straight,0.0,3.0,0.14315,straight,1.0,1.0,1.0,1.0,0.0,17.5,0.0,0.0,0.0,0.0
1.0,3.0,29.902,30.299,0.397,-0.042,0.165,0.20700000000000002,0.04033333333333334,0.03466666666666666,0.16416455159382004,18.0,17.666666666666668,0.3333333333333333,18.0,17.0,1.0,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,,,,0.008333333333333333,-0.002,-0.008333333333333333,0.002,-0.005666666666666668,0.003,17.166666666666668,17.5,15.1,15.3,0.0004942383926536841,-0.05494658436449527,-0.02605584482519226,-0.04291426387389047,0.05494658436449527,0.028890739539303007,0.0,0.1406,balanced,low,0.07624,balanced,-0.8427026152493291,0.8427026152493291,0.35,left,0.18,left,low,straight,7.029983162987422,0.011588271940923253,7.029999999999999,309.51497933068555,-0.8542908871902524,316.544962493673,-0.8427026152493291,moving,balanced,straight,0.0,3.0,0.1406,straight,1.0,1.0,1.0,1.0,0.0,17.70780856423174,0.0,0.0,0.0,0.0
