idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
11,1,11,1190367.0,1.803,3.027,3.027,0.368,12.0,13.0,-1.0,10.0,12.0,10.0,12.0,-2.0,11.0,11.0,-1.0,3.085,-3.085,-0.785,17.5,10.824,11.375771338242311,0.5333535677149595,11.3895,2.558924700411662,0.1353167677085318,2.5625,-0.0003950403770367646,11.376061861892309,0.028191261317642134,0.5271205579076248,0.5271205579076248,balanced
12,1,12,1190572.0,2.008,2.316,2.316,-0.974,11.0,12.0,-1.0,10.0,12.0,10.0,12.0,-2.0,11.0,11.0,-1.0,3.027,-3.027,-0.755,18.5,11.47,13.731345612585848,0.6286220727463377,13.747,2.355574274343538,0.09526850503137833,2.3575,-0.005263750151295731,13.731687981479455,0.03402878860170159,0.6210983995449204,0.6210983995449204,balanced
13,1,13,1190776.0,2.212,1.199,1.199,-2.55,12.0,12.0,0.0,10.0,12.0,10.0,12.0,-2.0,11.0,11.0,-1.0,2.316,-2.316,-0.518,18.0,11.214,16.178809620138214,0.6798464003233439,16.195,2.447464007552365,0.051224327577006075,2.448,-0.007963777673519875,16.17917968811759,0.04009396995463776,0.6709817227859403,0.6709817227859403,balanced
14,1,14,1190986.0,2.422,-0.14,-0.1399999999999999,-3.9,12.0,12.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,1.199,-1.199,-0.172,18.0,11.26,18.698802097310157,0.6736888848495546,18.715,2.519992477171944,-0.006157515473789239,2.52,-0.00927379312865241,18.699168413247104,0.04633880771396943,0.6634434723187818,0.6634434723187818,balanced
15,1,15,1191190.0,2.626,-0.511,-0.5109999999999999,-3.168,12.0,12.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,-0.141,0.141,0.217,18.0,11.305,21.14670473854105,0.6518563619806278,21.163,2.447902641230892,-0.021832522868926833,2.448,-0.0026450864072299685,21.147058724720715,0.05240497685804244,0.640269715747038,0.640269715747038,balanced
16,1,16,1191351.0,2.787,-0.754,-0.7539999999999999,-2.588,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.511,0.511,0.27,18.0,11.34,23.078537449194126,0.6264323959093487,23.095,1.9318327106530748,-0.02542396607127906,1.932,-0.0021952122579431787,23.078877215283363,0.057192257425506376,0.6137872777883527,0.6137872777883527,balanced
17,1,17,1191583.0,3.019,-1.307,-1.307,-2.515,11.0,12.0,-1.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,-0.755,0.755,0.3,18.5,11.69,25.745843315849736,0.5655767165970889,25.762999999999998,2.6673058666556115,-0.060855679312259936,2.668,-0.003617567752447016,25.74614933796479,0.06380208131084049,0.5514701568140938,0.5514701568140938,balanced
18,1,18,1191787.0,3.223,-2.018,-2.018,-2.856,12.0,12.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,-1.307,1.307,0.429,18.0,11.434,28.192325099789958,0.4793741595081268,28.211,2.4464817839402206,-0.08620255708896207,2.448,-0.005069154812777647,28.192583523200852,0.06986464199745497,0.46392715419030073,0.46392715419030073,balanced
19,1,19,1191991.0,3.427,-2.661,-2.661,-2.959,13.0,12.0,1.0,12.0,10.0,12.0,10.0,2.0,11.0,11.0,1.0,-2.018,2.018,0.618,17.5,11.179,30.73957545493245,0.3609865409560141,30.761,2.547250355142493,-0.11838761855211268,2.55,-0.004400967486401391,30.739768629909015,0.07617687568951678,0.34414388255312767,0.34414388255312767,balanced
20,1,20,1192201.0,3.637,-2.619,-2.619,-1.853,13.0,13.0,0.0,13.0,11.0,13.0,11.0,2.0,12.0,12.0,1.0,-2.661,2.661,0.779,17.0,10.924,33.466723893294855,0.23624121985143798,33.491,2.7271484383624074,-0.12474532110457613,2.73,0.00026851219261451385,33.46684830936758,0.08293490995576679,0.21790434087077326,0.21790434087077326,balanced
21,1,21,1192346.0,3.782,-2.61882,-2.61882,-1.85335,12.0,12.0,0.0,13.0,11.0,13.0,11.0,2.0,12.0,12.0,1.0,-2.619128,2.619128,0.714209,18.0,11.553579,35.20490666422211,0.15673867365540767,35.231,1.7381827709272542,-0.07950254619603031,1.7399999999999998,1.8055130193012083e-06,35.204987258930466,0.0872422291254736,0.13744943416881514,0.13744943416881514,balanced
22,1,22,1192409.0,3.845,-2.39,-2.39,-0.82,12.0,12.0,0.0,13.0,11.0,13.0,11.0,2.0,12.0,12.0,1.0,-2.619,2.619,0.715,18.0,11.567,35.96024903763472,0.1252125110692513,35.987,0.7553423734126077,-0.031526162586156356,0.756,0.005282622214832576,35.960312245377715,0.0891140160699529,0.10550941462498861,0.10550941462498861,balanced
23,1,23,1192570.0,4.006,-2.275,-2.275,-0.282,13.0,12.0,1.0,12.0,10.0,12.0,10.0,2.0,11.0,11.0,1.0,-2.391,2.391,0.609,17.5,11.303,37.971162806860654,0.04532469762104427,37.999500000000005,2.010913769225937,-0.07988781344820703,2.0125,0.0009973310011396168,37.9711819412084,0.09409719511372971,0.024519807947191354,0.024519807947191354,balanced
24,1,24,1192802.0,4.238,-1.762,-1.762,0.591,13.0,12.0,1.0,13.0,11.0,13.0,11.0,2.0,12.0,12.0,1.0,-2.275,2.275,0.556,17.5,11.352,40.869791608396184,-0.04384408003525246,40.8995,2.898628801535527,-0.08916877765629673,2.9000000000000004,0.0030874272630106586,40.86976145094065,0.10128022676394899,-0.06623715189826983,0.06623715189826983,balanced
25,1,25,1193007.0,4.443,-0.377,-0.377,2.748,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-1.762,1.762,0.39,18.0,11.695,43.32973835577613,-0.060030495785112936,43.359500000000004,2.459946747379945,-0.016186415749860475,2.46,0.009826345585415229,43.3296989603293,0.1073762503258945,-0.08377140131734025,0.08377140131734025,balanced
26,1,26,1193211.0,4.647,0.644,0.6439999999999999,3.538,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,-0.378,0.378,-0.05,18.0,11.739,45.77758372237242,-0.0325157500460673,45.807500000000005,2.447845366596288,0.027514745739045634,2.448,0.0072793348296005325,45.777559035172786,0.11344234453993007,-0.057597865306842334,0.057597865306842334,balanced
27,1,27,1193420.0,4.856,0.723,0.7229999999999999,2.431,12.0,13.0,-1.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.644,-0.644,-0.335,17.5,11.484,48.389875727863156,0.0004498084838753802,48.42,2.6122920054907355,0.03296555852994268,2.6125,0.0005277742044308213,48.389868710796215,0.11991596481398992,-0.02606361972787581,0.02606361972787581,balanced
28,1,28,1193625.0,5.061,1.007,1.0069999999999997,2.067,13.0,12.0,1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.722,-0.722,-0.299,17.5,11.527,50.95197996378251,0.04548462039760879,50.9825,2.5621042359193535,0.04503481191373341,2.5625,0.0019343356392834707,50.95199723727904,0.12626523011303145,0.017567375940275718,0.017567375940275718,balanced
29,1,29,1193829.0,5.265,1.325,1.3249999999999997,1.888,13.0,13.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,1.007,-1.007,-0.35,17.0,11.268,53.60327085859766,0.10680827872206339,53.6345,2.6512908948151472,0.06132365832445459,2.6519999999999997,0.002092815618907228,53.603321334136396,0.1328355328557272,0.0774383490697888,0.0774383490697888,balanced
30,1,30,1194034.0,5.47,1.62,1.6199999999999999,1.731,12.0,13.0,-1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.325,-1.325,-0.418,17.5,11.612,56.16474664695144,0.1792516060708886,56.197,2.5614757883537824,0.07244332734882522,2.5625,0.0020092570901007914,56.16483643062207,0.13918327800082092,0.14847820039331064,0.14847820039331064,balanced
31,1,31,1194199.0,5.635,1.732,1.7319999999999998,1.362,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.62,-1.62,-0.481,18.0,11.946,58.14384205517892,0.23909611403024886,58.177,1.9790954082274816,0.05984450795936025,1.98,0.0009872569506230522,58.14396433134581,0.14408779702574284,0.20723832783320717,0.20723832783320717,balanced
32,1,32,1194431.0,5.867,1.624,1.6239999999999999,0.723,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.731,-1.731,-0.49,17.0,11.396,61.158630623153044,0.32457061556456873,61.193,3.0147885679741226,0.08547450153431987,3.016,-0.0006249852759130874,61.15879927935369,0.15155892375489305,0.29106097555077926,0.29106097555077926,balanced
33,1,33,1194641.0,6.077,2.05,2.05,1.18,13.0,12.0,1.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,1.623,-1.623,-0.433,17.5,11.739,63.781950599336234,0.4184711084186114,63.818,2.623319976183189,0.09390049285404267,2.625,0.002832420043236509,63.78217031103947,0.1580599554111225,0.3835241039419044,0.3835241039419044,balanced
34,1,34,1194846.0,6.282,2.285,2.285,1.168,12.0,14.0,-2.0,10.0,12.0,10.0,12.0,-2.0,11.0,11.0,-1.0,2.05,-2.05,-0.56,17.0,11.481,66.44483157082716,0.5247251985589986,66.483,2.6628809714909223,0.10625409014038714,2.665,0.0015390332991319635,66.44510910078773,0.16465904077177396,0.48831915179273644,0.48831915179273644,balanced
35,1,35,1195050.0,6.486,1.837,1.837,-0.01,13.0,14.0,-1.0,11.0,13.0,11.0,13.0,-2.0,12.0,12.0,-1.0,2.285,-2.285,-0.617,16.5,11.224,69.19741620148297,0.6130079889400727,69.23700000000001,2.752584630655801,0.08828279038107416,2.754,-0.0028391703155172844,69.19774168953236,0.17148039824704436,0.5750937528064664,0.5750937528064664,balanced
36,1,36,1195259.0,6.695,0.778,0.778,-1.778,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.836,-1.836,-0.451,17.0,11.566,71.91416572503321,0.6499000787357182,71.95400000000001,2.71674952355025,0.03689208979564547,2.717,-0.00680273712867867,71.9145110189322,0.1782128822151059,0.6104972954595206,0.6104972954595206,balanced
37,1,37,1195464.0,6.9,0.774,0.774,-1.163,13.0,13.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.778,-0.778,-0.109,17.0,11.608,74.57892256215811,0.6859000647927302,74.61900000000001,2.664756837124899,0.03599998605701205,2.665,-2.6196311474585972e-05,74.57928718091601,0.1848165208070477,0.6450372219617817,0.6450372219617817,balanced
