Opened COM18 @ 115200, wait 0.80s...
Pre-drain: lines=3 bytes=1192

>>> #SDUMP!
RX: lines=137 bytes=13291 ok=True err=False
iv=18.000 hdt=800 ok=123 fail=0 vofa=firewater rx=161 txdrop=0
HB tick=47838 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=7.214 yr=6.495 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=124 fail=0 vofa=firewater rx=168 txdrop=0
SDUMP_BEGIN
FIELDS:t_ms,run,imuValid,yaw100,yawRate100,icmYaw100,icmYawRate100,yawSampleAgeMs,targetYaw100,actualAngle100,yawErr100,yawOut100,speedTarget10,actualSpeed10,speedErr10,speedOut10,pwmCore,headingDiff,startupBiasOut,leftPWM,rightPWM,outLeftPWM,outRightPWM,el,er,ed,dl,dr
SD 365,1,1,0,0,0,0,139,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 370,1,1,0,0,0,0,144,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 375,1,1,0,0,0,0,149,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 380,1,1,0,0,0,0,154,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 385,1,1,0,0,0,0,159,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 390,1,1,0,0,0,0,164,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 395,1,1,0,0,0,0,169,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 400,1,1,0,0,0,0,174,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 405,1,1,0,0,0,0,179,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 410,1,1,0,0,0,0,184,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 415,1,1,0,0,0,0,189,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 420,1,1,0,0,0,0,194,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 425,1,1,0,0,0,0,199,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 430,1,1,0,0,0,0,204,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 435,1,1,0,0,0,0,209,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 440,1,1,0,0,0,0,214,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 445,1,1,0,0,0,0,219,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 450,1,1,0,0,0,0,224,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 455,1,1,0,0,0,0,229,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 460,1,1,0,0,0,0,234,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 465,1,1,0,0,0,0,239,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 470,1,1,0,0,0,0,244,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 475,1,1,0,0,0,0,249,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 480,1,1,0,0,0,0,254,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 485,1,1,0,0,0,0,259,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,25,26,-1,25,26
SD 490,1,1,0,0,0,0,264,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,25,26,-1,25,26
SD 495,1,1,0,0,0,0,269,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 500,1,1,0,0,0,0,274,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 505,1,1,0,0,0,0,279,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 510,1,1,0,0,0,0,284,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 515,1,1,0,0,0,0,289,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 520,1,1,0,0,0,0,294,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 525,1,1,0,0,0,0,299,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 530,1,1,0,0,0,0,304,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 535,1,1,0,0,0,0,309,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 540,1,1,0,0,0,0,314,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 545,1,1,0,0,0,0,319,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 550,1,1,0,0,0,0,324,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 555,1,1,0,0,0,0,329,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 560,1,1,0,0,0,0,334,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 565,1,1,0,0,0,0,339,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 570,1,1,0,0,0,0,344,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,25,27,-2,25,27
SD 575,1,1,0,0,-297,0,349,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 580,1,1,0,0,-297,0,354,0,0,0,0,400,265,135,14,9,0,1,10,10,21,21,25,28,-3,25,28
SD 585,1,1,0,0,-297,0,359,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 590,1,1,0,0,-297,0,364,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 595,1,1,0,0,-297,0,369,0,0,0,0,400,260,140,15,9,0,1,10,10,21,21,25,27,-2,25,27
SD 600,1,1,0,0,-297,0,374,0,0,0,0,400,260,140,15,9,0,1,10,10,21,21,25,27,-2,25,27
SDUMP_END
OK SDUMP
BNO tick=49271 run=0 y=2.853 yr=3.157 q0=0.00183 q1=0.02509 q2=0.99963 q3=-0.01056 who=0x85 addr=0x4A paddr=0x4A st=6 pwho=0xF8 sfa=0x00 sla=0x00 shc=0 ch=3 rid=0x08 len=17 txch=2 txlen=21 wfail=0 scl=1 sda=1 rst=1 int=1 iok=126 if=0 rx=168 txd=0
HB tick=49272 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=2.853 yr=3.157 L=0 R=0 OL=0 OR=0 el=0 er=-2 ed=2 dl=0 dr=-2 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=125 fail=0 vofa=firewater rx=168 txdrop=0
HB tick=49662 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.399 yr=2.541 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=126 fail=0 vofa=firewater rx=168 txdrop=0
HB tick=50033 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.428 yr=1.679 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=127 fail=0 vofa=firewater rx=168 txdrop=0
BNO tick=50445 run=0 y=3.442 yr=1.104 q0=0.00092 q1=0.03021 q2=0.99951 q3=-0.00562 who=0x85 addr=0x4A paddr=0x4A st=6 pwho=0xF8 sfa=0x00 sla=0x00 shc=0 ch=3 rid=0x08 len=17 txch=2 txlen=21 wfail=0 scl=1 sda=1 rst=1 int=0 iok=129 if=0 rx=168 txd=0
HB tick=50447 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.442 yr=1.104 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=128 fail=0 vofa=firewater rx=168 txdrop=0
HB tick=50844 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.436 yr=0.711 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=129 fail=0 vofa=firewater rx=168 txdrop=0
HB tick=51215 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.436 yr=0.462 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=130 fail=0 vofa=firewater rx=168 txdrop=0
BNO tick=51628 run=0 y=3.428 yr=0.294 q0=0.00183 q1=0.03009 q2=0.99957 q3=-0.00177 who=0x85 addr=0x4A paddr=0x4A st=6 pwho=0xF8 sfa=0x00 sla=0x00 shc=0 ch=3 rid=0x08 len=17 txch=2 txlen=21 wfail=0 scl=1 sda=1 rst=1 int=0 iok=132 if=0 rx=168 txd=0
HB tick=51629 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.428 yr=0.294 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=131 fail=0 vofa=firewater rx=168 txdrop=0
HB tick=52044 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=3.428 yr=0.191 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=132 fail=0 vofa=firewater rx=168 txdrop=0
