idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
33,1,33,48871.0,5.508,-9.802,-9.801999999999996,-4.632,6.0,7.0,-1.0,10.0,8.0,10.0,8.0,2.0,9.0,9.0,1.0,-3.336,3.336,0.996,16.14,9.766,21.278496200008554,-0.3781764371500396,21.553499999999996,2.4723735087350303,-0.42714193578392085,2.509,-0.011735234946649784,21.2550182389314,0.1969500258720912,1.0684650738735022,1.0684650738735022,balanced
34,1,34,49076.0,5.713,-11.24,-11.239999999999997,-5.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.278496200008554,-0.3781764371500396,21.553499999999996,0.0,-0.0,0.0,0.0,21.2550182389314,0.1969500258720912,1.0684650738735022,1.0684650738735022,balanced
35,1,35,49077.0,5.714,-11.24,-11.239999999999997,-5.466,7.0,8.0,-1.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-4.735,4.735,1.373,16.5,10.02,21.285852344872175,-0.3796383306979518,21.560999999999996,0.0073561448636206735,-0.0014618935479121535,0.0075,0.0,21.26245671261029,0.19701895112856654,1.0675063719758846,1.0675063719758846,balanced
36,1,36,49287.0,5.924,-12.644,-12.643999999999997,-5.882,8.0,8.0,0.0,12.0,8.0,12.0,8.0,4.0,10.0,10.0,2.0,-6.173,6.173,1.763,16.0,9.761,22.92511058457428,-0.7473779445128834,23.240999999999996,1.6392582397021052,-0.36773961381493164,1.68,-0.014585965891666908,22.922912808282128,0.21240481753083792,0.8119959918614535,0.8119959918614535,balanced
37,1,37,49678.0,6.315,-12.092,-12.091999999999997,-1.626,10.0,8.0,2.0,11.0,7.0,11.0,7.0,4.0,9.0,9.0,2.0,-7.826,7.826,2.113,15.0,9.231,26.36603275623908,-1.4845452311891179,26.759999999999998,3.4409221716647997,-0.7371672866762345,3.519,0.0027377713756773733,26.405970078528757,0.24467899447003105,0.3103257294558595,0.3103257294558595,balanced
38,1,38,49882.0,6.519,-8.969,-8.968999999999996,4.301,11.0,8.0,3.0,11.0,7.0,11.0,7.0,4.0,9.0,9.0,2.0,-7.025,7.025,1.786,14.5,8.969,28.280336510886173,-1.7866795307051546,28.697999999999997,1.914303754647092,-0.3021342995160368,1.938,0.028125197388948885,28.33637852408084,0.26256625238820164,0.13895702361610693,0.13895702361610693,balanced
39,1,39,50087.0,6.724,-5.928,-5.927999999999996,7.989,9.0,8.0,1.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.902,3.902,0.742,15.5,9.605,30.013518430158424,-1.966642539981372,30.440499999999997,1.7331819192722522,-0.17996300927621744,1.7425,0.030459375927200896,30.077782765379624,0.27870218821861037,0.07717095409702762,0.07717095409702762,balanced
40,1,40,50291.0,6.928,-3.121,-3.1209999999999964,10.009,10.0,8.0,2.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-0.86,0.86,-0.172,15.0,9.344,31.846795242528458,-2.0666031783665484,32.2765,1.8332768123700325,-0.09996063838517627,1.8359999999999999,0.026683764762244464,31.9136148256248,0.29571309678136304,0.10200332361647237,0.10200332361647237,balanced
41,1,41,50500.0,7.137,-1.031,-1.0309999999999966,10.005,10.0,8.0,2.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,1.947,-1.947,-0.947,15.0,9.382,33.727490720196386,-2.1004487139570513,34.1575,1.880695477667927,-0.03384553559050304,1.881,0.019392547244381435,33.79226377873316,0.31312074874195106,0.1960198699520564,0.1960198699520564,balanced
42,1,42,50705.0,7.342,0.849,0.8490000000000033,9.712,10.0,9.0,1.0,8.0,10.0,8.0,10.0,-2.0,9.0,9.0,-1.0,4.036,-4.036,-1.451,14.5,9.119,35.67477691924182,-2.071592016169922,36.105,1.9472861990454362,0.0288566977871294,1.9474999999999998,0.016848364537865673,35.73308926289893,0.3311045314431829,0.357118256078945,0.357118256078945,balanced
