HB:t=2629,m=T,run=1,el=93,er=24,yaw=61.7,yr=166.5,pc=60,hd=-42,OL=18,OR=102,sb=16,lp=79.00
HB:t=2629,m=T,run=1,el=93,er=24,yaw=61.7,yr=166.5,pc=60,hd=-42,OL=18,OR=102,sb=16,lp=79.00
HB:t=2665,m=T,run=1,el=17,er=7,yaw=65.3,yr=168.4,pc=92,hd=-18,OL=74,OR=110,sb=16,lp=51.00
HB:t=2669,m=T,run=1,el=2,er=1,yaw=65.3,yr=168.4,pc=104,hd=-8,OL=96,OR=112,sb=16,lp=50.00
HB:t=2738,m=T,run=1,el=61,er=34,yaw=68.9,yr=170.0,pc=85,hd=2,OL=87,OR=83,sb=0,lp=50.00
HB:t=2812,m=T,run=1,el=40,er=62,yaw=72.5,yr=171.4,pc=79,hd=-55,OL=24,OR=134,sb=4,lp=-137.00
HB:t=2813,m=T,run=1,el=40,er=62,yaw=72.5,yr=171.4,pc=79,hd=-55,OL=24,OR=134,sb=4,lp=-137.00
HB:t=2866,m=T,run=1,el=28,er=54,yaw=76.1,yr=172.6,pc=96,hd=-46,OL=50,OR=142,sb=4,lp=-148.00
HB:t=2936,m=T,run=1,el=58,er=91,yaw=79.7,yr=173.7,pc=110,hd=-31,OL=79,OR=141,sb=4,lp=-149.00
HB:t=2936,m=T,run=1,el=58,er=91,yaw=79.7,yr=173.7,pc=110,hd=-31,OL=79,OR=141,sb=4,lp=-149.00
HB:t=2995,m=T,run=1,el=58,er=83,yaw=83.3,yr=174.5,pc=124,hd=-27,OL=97,OR=151,sb=4,lp=-149.00
HB:t=2995,m=T,run=1,el=58,er=83,yaw=83.3,yr=174.5,pc=124,hd=-27,OL=97,OR=151,sb=4,lp=-149.00
HB:t=3069,m=T,run=1,el=87,er=119,yaw=86.9,yr=175.3,pc=118,hd=-27,OL=91,OR=145,sb=4,lp=-149.00
HB:t=3069,m=T,run=1,el=87,er=119,yaw=86.9,yr=175.3,pc=118,hd=-27,OL=91,OR=145,sb=4,lp=-149.00
HB:t=3119,m=T,run=1,el=46,er=66,yaw=90.5,yr=176.0,pc=121,hd=-26,OL=95,OR=147,sb=4,lp=-149.00
HB:t=3119,m=T,run=1,el=46,er=66,yaw=90.5,yr=176.0,pc=121,hd=-26,OL=95,OR=147,sb=4,lp=-149.00
HB:t=3154,m=T,run=1,el=26,er=37,yaw=94.1,yr=176.5,pc=140,hd=-26,OL=114,OR=166,sb=4,lp=-149.00
HB:t=3159,m=T,run=1,el=3,er=5,yaw=94.1,yr=176.5,pc=158,hd=-26,OL=132,OR=184,sb=4,lp=-149.00
HB:t=3237,m=T,run=1,el=108,er=156,yaw=97.7,yr=177.0,pc=90,hd=-26,OL=64,OR=116,sb=4,lp=-149.00
HB:t=3296,m=T,run=1,el=66,er=101,yaw=101.3,yr=177.4,pc=109,hd=-26,OL=83,OR=135,sb=4,lp=-149.00
HB:t=3296,m=T,run=1,el=66,er=101,yaw=101.3,yr=177.4,pc=109,hd=-26,OL=83,OR=135,sb=4,lp=-149.00
HB:t=3369,m=T,run=1,el=95,er=131,yaw=104.9,yr=177.8,pc=102,hd=-26,OL=76,OR=128,sb=4,lp=-149.00
HB:t=3404,m=T,run=1,el=24,er=37,yaw=108.5,yr=178.1,pc=135,hd=-26,OL=109,OR=161,sb=4,lp=-149.00
HB:t=3409,m=T,run=1,el=3,er=5,yaw=108.5,yr=178.1,pc=154,hd=-26,OL=128,OR=180,sb=4,lp=-149.00
HB:t=3478,m=T,run=1,el=88,er=136,yaw=112.1,yr=178.4,pc=110,hd=-26,OL=84,OR=136,sb=4,lp=-149.00
HB:t=3552,m=T,run=1,el=79,er=122,yaw=115.7,yr=178.6,pc=75,hd=31,OL=106,OR=44,sb=8,lp=-89.00
HB:t=3553,m=T,run=1,el=79,er=122,yaw=115.7,yr=178.6,pc=75,hd=31,OL=106,OR=44,sb=8,lp=-89.00
HB:t=3626,m=T,run=1,el=88,er=111,yaw=119.3,yr=178.8,pc=78,hd=54,OL=132,OR=24,sb=16,lp=-5.00
HB:t=3656,m=T,run=1,el=31,er=31,yaw=122.9,yr=179.0,pc=139,hd=44,OL=183,OR=95,sb=16,lp=46.00
HB:t=3666,m=T,run=1,el=0,er=1,yaw=122.9,yr=179.0,pc=158,hd=32,OL=190,OR=126,sb=16,lp=48.00
HB:t=3735,m=T,run=1,el=117,er=117,yaw=126.5,yr=179.1,pc=122,hd=-85,OL=37,OR=207,sb=23,lp=-85.00
HB:t=3809,m=T,run=1,el=77,er=138,yaw=130.1,yr=179.2,pc=109,hd=-75,OL=34,OR=184,sb=0,lp=-160.00
HB:t=3809,m=T,run=1,el=77,er=138,yaw=130.1,yr=179.2,pc=109,hd=-75,OL=34,OR=184,sb=0,lp=-160.00
HB:t=3844,m=T,run=1,el=9,er=42,yaw=133.7,yr=179.3,pc=141,hd=-75,OL=-60,OR=200,sb=0,lp=-160.00
HB:t=3849,m=T,run=1,el=1,er=6,yaw=133.7,yr=179.3,pc=158,hd=-75,OL=-60,OR=200,sb=0,lp=-160.00
HB:t=3918,m=T,run=1,el=0,er=144,yaw=133.0,yr=149.9,pc=130,hd=-75,OL=-60,OR=200,sb=0,lp=-160.00
HB:t=4055,m=S,run=0,el=-3,er=224,yaw=130.2,yr=-120.5,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=4059,m=S,run=0,el=0,er=1,yaw=130.2,yr=-120.5,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=4164,m=S,run=0,el=0,er=67,yaw=126.6,yr=-91.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
