HB:t=2419,m=T,run=1,el=89,er=3,yaw=55.3,yr=163.8,pc=34,hd=-23,OL=11,OR=57,sb=16,lp=97.00
HB:t=2454,m=T,run=1,el=35,er=1,yaw=58.9,yr=166.1,pc=70,hd=-20,OL=50,OR=90,sb=16,lp=52.00
HB:t=2459,m=T,run=1,el=35,er=1,yaw=58.9,yr=166.1,pc=70,hd=-20,OL=50,OR=90,sb=16,lp=52.00
HB:t=2536,m=T,run=1,el=88,er=19,yaw=62.5,yr=168.0,pc=49,hd=-34,OL=15,OR=83,sb=4,lp=-70.00
HB:t=2595,m=T,run=1,el=31,er=30,yaw=66.1,yr=169.7,pc=78,hd=-54,OL=24,OR=132,sb=4,lp=-144.00
HB:t=2595,m=T,run=1,el=31,er=30,yaw=66.1,yr=169.7,pc=78,hd=-54,OL=24,OR=132,sb=4,lp=-144.00
HB:t=2669,m=T,run=1,el=43,er=55,yaw=69.7,yr=171.1,pc=77,hd=-39,OL=38,OR=116,sb=4,lp=-149.00
HB:t=2669,m=T,run=1,el=43,er=55,yaw=69.7,yr=171.1,pc=77,hd=-39,OL=38,OR=116,sb=4,lp=-149.00
HB:t=2718,m=T,run=1,el=30,er=41,yaw=73.3,yr=172.4,pc=108,hd=-29,OL=79,OR=137,sb=4,lp=-149.00
HB:t=2754,m=T,run=1,el=22,er=28,yaw=76.9,yr=173.5,pc=128,hd=-27,OL=101,OR=155,sb=4,lp=-149.00
HB:t=2758,m=T,run=1,el=22,er=28,yaw=76.9,yr=173.5,pc=128,hd=-27,OL=101,OR=155,sb=4,lp=-149.00
HB:t=2836,m=T,run=1,el=81,er=100,yaw=80.5,yr=174.4,pc=74,hd=-26,OL=48,OR=100,sb=4,lp=-149.00
HB:t=2895,m=T,run=1,el=57,er=73,yaw=84.1,yr=175.2,pc=92,hd=-26,OL=66,OR=118,sb=4,lp=-149.00
HB:t=2895,m=T,run=1,el=57,er=73,yaw=84.1,yr=175.2,pc=92,hd=-26,OL=66,OR=118,sb=4,lp=-149.00
