HB:t=2728,m=T,run=1,el=59,er=170,yaw=129.0,yr=176.7,pc=105,hd=-62,OL=43,OR=167,sb=0,lp=-349.00
HB:t=2728,m=T,run=1,el=59,er=170,yaw=129.0,yr=176.7,pc=105,hd=-62,OL=43,OR=167,sb=0,lp=-349.00
HB:t=2759,m=T,run=1,el=12,er=37,yaw=132.6,yr=177.2,pc=141,hd=-62,OL=79,OR=203,sb=0,lp=-349.00
HB:t=2768,m=T,run=1,el=5,er=15,yaw=132.6,yr=177.2,pc=157,hd=-62,OL=95,OR=219,sb=0,lp=-349.00
HB:t=2838,m=T,run=1,el=60,er=172,yaw=129.0,yr=127.2,pc=70,hd=-49,OL=21,OR=119,sb=0,lp=-349.00
HB:t=2913,m=T,run=1,el=46,er=147,yaw=125.4,yr=84.2,pc=65,hd=-45,OL=20,OR=110,sb=0,lp=-349.00
HB:t=2913,m=T,run=1,el=46,er=147,yaw=125.4,yr=84.2,pc=65,hd=-45,OL=20,OR=110,sb=0,lp=-349.00
HB:t=2987,m=T,run=1,el=-5,er=138,yaw=121.8,yr=47.2,pc=117,hd=-45,OL=-120,OR=150,sb=0,lp=-349.00
HB:t=2987,m=T,run=1,el=-5,er=138,yaw=121.8,yr=47.2,pc=117,hd=-45,OL=-120,OR=150,sb=0,lp=-349.00
HB:t=3037,m=T,run=1,el=-19,er=63,yaw=118.2,yr=15.4,pc=150,hd=-45,OL=-120,OR=150,sb=0,lp=-349.00
HB:t=3038,m=T,run=1,el=-19,er=63,yaw=118.2,yr=15.4,pc=150,hd=-45,OL=-120,OR=150,sb=0,lp=-349.00
HB:t=3111,m=T,run=1,el=-49,er=97,yaw=114.6,yr=-12.0,pc=160,hd=-45,OL=-120,OR=150,sb=0,lp=-349.00
HB:t=3161,m=T,run=1,el=-41,er=63,yaw=111.0,yr=-35.5,pc=178,hd=-45,OL=-120,OR=150,sb=1,lp=-349.00
HB:t=3161,m=T,run=1,el=-41,er=63,yaw=111.0,yr=-35.5,pc=178,hd=-45,OL=-120,OR=150,sb=1,lp=-349.00
HB:t=3236,m=T,run=1,el=-77,er=103,yaw=107.4,yr=-55.7,pc=183,hd=-45,OL=-120,OR=150,sb=2,lp=-289.00
HB:t=3236,m=T,run=1,el=-77,er=103,yaw=107.4,yr=-55.7,pc=183,hd=-45,OL=-120,OR=150,sb=2,lp=-289.00
HB:t=3295,m=T,run=1,el=-52,er=65,yaw=103.8,yr=-73.1,pc=189,hd=-45,OL=-120,OR=150,sb=4,lp=-192.00
HB:t=3295,m=T,run=1,el=-52,er=65,yaw=103.8,yr=-73.1,pc=189,hd=-45,OL=-120,OR=150,sb=4,lp=-192.00
HB:t=3354,m=T,run=1,el=-55,er=61,yaw=100.2,yr=-88.1,pc=195,hd=-45,OL=-120,OR=150,sb=4,lp=-152.00
HB:t=3355,m=T,run=1,el=0,er=1,yaw=100.2,yr=-88.1,pc=197,hd=-45,OL=-120,OR=150,sb=4,lp=-150.00
HB:t=3428,m=T,run=1,el=-88,er=91,yaw=96.6,yr=-101.0,pc=199,hd=-45,OL=-120,OR=150,sb=16,lp=-29.00
HB:t=3478,m=T,run=1,el=-49,er=52,yaw=93.0,yr=-112.0,pc=200,hd=-45,OL=-120,OR=150,sb=48,lp=91.00
HB:t=3478,m=T,run=1,el=-49,er=52,yaw=93.0,yr=-112.0,pc=200,hd=-45,OL=-120,OR=150,sb=48,lp=91.00
HB:t=3552,m=T,run=1,el=-86,er=90,yaw=89.4,yr=-121.5,pc=200,hd=-45,OL=-120,OR=150,sb=192,lp=252.00
HB:t=3552,m=T,run=1,el=-86,er=90,yaw=89.4,yr=-121.5,pc=200,hd=-45,OL=-120,OR=150,sb=192,lp=252.00
HB:t=3626,m=T,run=1,el=-93,er=99,yaw=85.8,yr=-129.7,pc=200,hd=-45,OL=-120,OR=150,sb=0,lp=322.00
HB:t=3626,m=T,run=1,el=-93,er=99,yaw=85.8,yr=-129.7,pc=200,hd=-45,OL=-120,OR=150,sb=0,lp=322.00
HB:t=3656,m=T,run=1,el=-18,er=18,yaw=82.2,yr=-136.8,pc=201,hd=-45,OL=-120,OR=150,sb=0,lp=322.00
HB:t=3666,m=T,run=1,el=-13,er=13,yaw=82.2,yr=-136.8,pc=202,hd=-45,OL=-120,OR=150,sb=0,lp=322.00
HB:t=3735,m=T,run=1,el=-92,er=96,yaw=78.6,yr=-142.8,pc=200,hd=-45,OL=-120,OR=150,sb=3,lp=-51.00
HB:t=3808,m=T,run=1,el=-1,er=65,yaw=75.0,yr=-148.0,pc=80,hd=4,OL=84,OR=76,sb=6,lp=-212.00
HB:t=3809,m=T,run=1,el=-1,er=65,yaw=75.0,yr=-148.0,pc=80,hd=4,OL=84,OR=76,sb=6,lp=-212.00
HB:t=3858,m=T,run=1,el=3,er=38,yaw=71.4,yr=-152.5,pc=94,hd=4,OL=98,OR=90,sb=4,lp=-153.00
HB:t=3933,m=T,run=1,el=24,er=55,yaw=67.8,yr=-156.3,pc=87,hd=-18,OL=69,OR=105,sb=4,lp=-150.00
HB:t=3933,m=T,run=1,el=24,er=55,yaw=67.8,yr=-156.3,pc=87,hd=-18,OL=69,OR=105,sb=4,lp=-150.00
HB:t=4006,m=T,run=1,el=34,er=77,yaw=64.2,yr=-159.7,pc=100,hd=-25,OL=75,OR=125,sb=4,lp=-150.00
HB:t=4036,m=T,run=1,el=7,er=18,yaw=60.6,yr=-162.5,pc=133,hd=-26,OL=107,OR=159,sb=4,lp=-150.00
HB:t=4046,m=T,run=1,el=6,er=13,yaw=60.6,yr=-162.5,pc=144,hd=-26,OL=118,OR=170,sb=4,lp=-150.00
HB:t=4115,m=T,run=1,el=47,er=106,yaw=57.0,yr=-165.0,pc=87,hd=-26,OL=61,OR=113,sb=4,lp=-150.00
