HB:t=6580,m=S,run=1,el=9,er=8,yaw=2.4,yr=-0.5,pc=8,hd=0,OL=8,OR=8
HB:t=6600,m=S,run=1,el=8,er=9,yaw=2.4,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=6810,m=S,run=1,el=95,er=91,yaw=2.4,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=6811,m=S,run=1,el=67,er=67,yaw=2.4,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=6924,m=S,run=1,el=85,er=83,yaw=2.4,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=6944,m=S,run=1,el=8,er=7,yaw=2.4,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=6964,m=S,run=1,el=7,er=7,yaw=2.4,yr=-0.3,pc=8,hd=0,OL=8,OR=8
HB:t=6984,m=S,run=1,el=8,er=7,yaw=2.4,yr=-0.3,pc=9,hd=0,OL=9,OR=9
HB:t=7004,m=S,run=1,el=8,er=8,yaw=2.4,yr=-0.3,pc=9,hd=0,OL=9,OR=9
HB:t=7083,m=S,run=1,el=67,er=65,yaw=2.4,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=7190,m=S,run=1,el=96,er=92,yaw=2.4,yr=-0.1,pc=7,hd=0,OL=7,OR=7
HB:t=7210,m=S,run=1,el=9,er=8,yaw=2.4,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=7230,m=S,run=1,el=9,er=8,yaw=2.4,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=7250,m=S,run=1,el=8,er=8,yaw=2.4,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=7270,m=S,run=1,el=9,er=8,yaw=2.4,yr=-0.1,pc=9,hd=0,OL=9,OR=9
HB:t=7487,m=S,run=1,el=175,er=169,yaw=2.9,yr=0.8,pc=6,hd=0,OL=6,OR=6
HB:t=7605,m=S,run=1,el=88,er=83,yaw=3.0,yr=0.7,pc=6,hd=0,OL=6,OR=6
HB:t=7614,m=S,run=1,el=2,er=2,yaw=3.0,yr=0.7,pc=8,hd=0,OL=8,OR=8
HB:t=7634,m=S,run=1,el=8,er=8,yaw=3.0,yr=0.7,pc=8,hd=0,OL=8,OR=8
HB:t=7654,m=S,run=1,el=8,er=8,yaw=3.0,yr=0.7,pc=9,hd=0,OL=9,OR=9
HB:t=7674,m=S,run=1,el=8,er=8,yaw=3.0,yr=0.7,pc=9,hd=0,OL=9,OR=9
HB:t=7793,m=S,run=1,el=102,er=94,yaw=3.0,yr=0.7,pc=8,hd=0,OL=8,OR=8
HB:t=7892,m=S,run=1,el=79,er=75,yaw=3.8,yr=1.8,pc=8,hd=0,OL=8,OR=8
HB:t=7998,m=S,run=1,el=81,er=79,yaw=3.8,yr=1.8,pc=7,hd=0,OL=7,OR=7
