tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
63148,24,4164.0,1,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.167,0.167,0.0,22.0,22.0,1,-1.5,left_bias,0,0,0,0,0,1,0,0,TRK tick=63148 exp_id=24 t_ms=4164 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.900 lpr=1.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=22 R=22 s1=0 s2=0 s3=0 s4=0 s5=0 s6=1 s7=0 s8=0 rx=151 txdrop=0
63347,24,4363.0,1,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.143,0.143,0.0,25.0,25.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=63347 exp_id=24 t_ms=4363 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.900 lpr=1.500 y=0.000 el=0.143 er=0.143 ed=0.000 L=25 R=25 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
63545,24,4561.0,1,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.125,0.0,0.125,21.0,23.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=63545 exp_id=24 t_ms=4561 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.900 lpr=1.500 y=0.000 el=0.125 er=0.000 ed=0.125 L=21 R=23 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
63743,24,4759.0,1,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.125,-0.125,22.0,21.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=63743 exp_id=24 t_ms=4759 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.125 ed=-0.125 L=22 R=21 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
63940,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=63940 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
64137,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=64137 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
64334,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=64334 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
64531,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=64531 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
64728,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=64728 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
64925,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=64925 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
65122,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=65122 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
65319,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=65319 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
65516,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=65516 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
65713,24,0.0,0,18.0,0.5,0.004,0.0,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=65713 exp_id=24 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0.900 lpr=1.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
