HB:t=4821,m=S,run=1,el=1,er=0,yaw=-1.5,yr=-1.3,pc=11,hd=1,dp=0,OL=12,OR=10
HB:t=4892,m=S,run=1,el=84,er=69,yaw=1.0,yr=6.5,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=5011,m=S,run=1,el=132,er=123,yaw=1.7,yr=6.5,pc=9,hd=-2,dp=-1,OL=7,OR=11
HB:t=5020,m=S,run=1,el=8,er=8,yaw=1.7,yr=6.5,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=5065,m=S,run=1,el=39,er=42,yaw=2.0,yr=6.2,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=5106,m=S,run=1,el=10,er=11,yaw=2.9,yr=6.2,pc=11,hd=-2,dp=-1,OL=9,OR=13
HB:t=5106,m=S,run=1,el=31,er=32,yaw=2.9,yr=9.9,pc=11,hd=-3,dp=-1,OL=8,OR=14
HB:t=5263,m=S,run=1,el=112,er=135,yaw=2.8,yr=9.9,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=5264,m=S,run=1,el=52,er=65,yaw=2.8,yr=9.9,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=5299,m=S,run=1,el=10,er=13,yaw=1.2,yr=9.9,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=5303,m=S,run=1,el=21,er=25,yaw=1.2,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5424,m=S,run=1,el=115,er=137,yaw=0.5,yr=-0.1,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5432,m=S,run=1,el=4,er=4,yaw=0.5,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5483,m=S,run=1,el=44,er=51,yaw=0.1,yr=-1.8,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=5524,m=S,run=1,el=10,er=12,yaw=-1.7,yr=-1.8,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=5524,m=S,run=1,el=27,er=31,yaw=-1.7,yr=-8.8,pc=11,hd=2,dp=1,OL=13,OR=9
HB:t=5647,m=S,run=1,el=124,er=121,yaw=-2.3,yr=-8.8,pc=9,hd=3,dp=1,OL=12,OR=6
HB:t=5651,m=S,run=1,el=2,er=1,yaw=-2.3,yr=-8.8,pc=11,hd=2,dp=1,OL=13,OR=9
