HB:t=12207,m=S,run=1,el=102,er=99,yaw=-1.8,yr=-1.8,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=12216,m=S,run=1,el=6,er=6,yaw=-1.8,yr=-2.1,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=12326,m=S,run=1,el=99,er=89,yaw=-1.4,yr=1.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=12514,m=S,run=1,el=101,er=99,yaw=-1.0,yr=3.3,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=12515,m=S,run=1,el=77,er=75,yaw=-1.0,yr=1.7,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=12644,m=S,run=1,el=97,er=94,yaw=-0.9,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=12652,m=S,run=1,el=0,er=1,yaw=-0.9,yr=0.2,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=12763,m=S,run=1,el=112,er=105,yaw=-0.4,yr=2.8,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=12884,m=S,run=1,el=89,er=97,yaw=-0.4,yr=4.2,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=12889,m=S,run=1,el=12,er=11,yaw=-0.4,yr=3.6,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=12950,m=S,run=1,el=44,er=46,yaw=-0.8,yr=-1.4,pc=11,hd=1,dp=0,OL=12,OR=10
HB:t=13172,m=S,run=1,el=117,er=107,yaw=0.0,yr=-5.0,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=13173,m=S,run=1,el=117,er=98,yaw=0.0,yr=1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13294,m=S,run=1,el=108,er=106,yaw=0.2,yr=4.0,pc=8,hd=-1,dp=-1,OL=7,OR=9
HB:t=13299,m=S,run=1,el=14,er=13,yaw=0.2,yr=5.9,pc=9,hd=-2,dp=-2,OL=7,OR=11
HB:t=13405,m=S,run=1,el=86,er=92,yaw=0.8,yr=1.3,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=13527,m=S,run=1,el=86,er=94,yaw=0.6,yr=-1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13531,m=S,run=1,el=13,er=13,yaw=0.6,yr=-3.7,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=13633,m=S,run=1,el=77,er=75,yaw=0.2,yr=-2.4,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=13816,m=S,run=1,el=100,er=97,yaw=0.4,yr=-0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=13817,m=S,run=1,el=75,er=73,yaw=0.4,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=14033,m=S,run=1,el=110,er=105,yaw=0.6,yr=0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=14034,m=S,run=1,el=89,er=88,yaw=0.6,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=14152,m=S,run=1,el=95,er=94,yaw=0.6,yr=0.6,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=14160,m=S,run=1,el=1,er=1,yaw=0.6,yr=0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=14266,m=S,run=1,el=96,er=94,yaw=0.9,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=14384,m=S,run=1,el=106,er=109,yaw=0.9,yr=1.2,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=14392,m=S,run=1,el=12,er=12,yaw=0.9,yr=1.3,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=14489,m=S,run=1,el=91,er=95,yaw=0.6,yr=-0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=14611,m=S,run=1,el=96,er=98,yaw=0.6,yr=-1.9,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=14616,m=S,run=1,el=2,er=2,yaw=0.6,yr=-2.2,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=14721,m=S,run=1,el=87,er=83,yaw=0.7,yr=1.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=14843,m=S,run=1,el=99,er=101,yaw=0.7,yr=2.8,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=14848,m=S,run=1,el=1,er=1,yaw=0.7,yr=2.9,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=14909,m=S,run=1,el=56,er=57,yaw=0.5,yr=0.4,pc=11,hd=0,dp=0,OL=11,OR=11
